x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 1,0.0,-0.014376028817396276,-0.08122319267941869,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 1,-0.014376028817396276,-0.038191612590994274,-0.038576416647244954,-0.02990556908541118,0.0011535114506186286,-0.030030526851618847,0.0012784692168262956,-0.02990556908541118,0.0011535114506186286
3,R3,Stor Bane,'24-R3,Stor bane 1,-0.038191612590994274,-0.03806419921706459,-0.029194881793912976,-0.0412455504483613,-0.03513767473362725,-0.06385388143224759,-0.012529343749740966,-0.0412455504483613,-0.03513767473362725
4,R4,Stor Bane,'24-R4,Stor bane 1,-0.03806419921706459,-0.035973324674719316,-0.01042075298666676,-0.04189646501931559,-0.034231933414813585,-0.05199858173819331,-0.02412981669593587,-0.04189646501931559,-0.034231933414813585
5,R5,Stor Bane,'24-R5,Stor bane 1,-0.035973324674719316,-0.03691093590861118,-0.04514364821266343,-0.040339929935372734,-0.0316067194140659,-0.049629367237534215,-0.022317282111904417,-0.040339929935372734,-0.0316067194140659
6,R6,Stor Bane,'24-R6,Stor bane 1,-0.03691093590861118,-0.034186288054524484,-0.0170178065602732,-0.04166588469338052,-0.03215598712384184,-0.049759133494181276,-0.024062738323041084,-0.04166588469338052,-0.03215598712384184
7,R7,Stor Bane,'24-R7,Stor bane 1,-0.034186288054524484,-0.034441265065531315,-0.03857769567911993,-0.03918675283971129,-0.029185823269337677,-0.054938372982924005,-0.013434203126124963,-0.03918675283971129,-0.029185823269337677
8,R8,Stor Bane,'24-R8,Stor bane 1,-0.034441265065531315,-0.032861148047048656,-0.024615867178459386,-0.0398305710892191,-0.02905195904184353,-0.04788015178013207,-0.021002378350930558,-0.0398305710892191,-0.02905195904184353
9,R9,Stor Bane,'24-R9,Stor bane 1,-0.032861148047048656,-0.032732460095812245,-0.02571795134043043,-0.03832608014765277,-0.027396215946444546,-0.07357686924565943,0.00785457315156212,-0.03832608014765277,-0.027396215946444546
10,R10,Stor Bane,'24-R10,Stor bane 1,-0.032732460095812245,-0.04122755095490618,-0.08128554845838645,-0.0406241199884209,-0.02484080020320359,-0.051599022477391635,-0.013865897714232852,-0.0406241199884209,-0.02484080020320359
