x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 1,0.0,-7.80121124685107,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 1,-1.427318712333392,-3.7841822971525163,-2.946282206523665,0.1154177000834089,-2.9584090646129657,0.12792868069795293,-2.946282206523665,0.1154177000834089
3,R3,'24-R3,Stor Bane,Stor bane 1,-3.7471509357728916,-2.8772828471154255,-4.040652759131868,-3.4527514060122777,-6.1857930508205206,-1.245117831677045,-4.040652759131868,-3.4527514060122777
4,R4,'24-R4,Stor Bane,Stor bane 1,-3.7348862541976446,-1.0366645051836931,-4.103093772382904,-3.365264959679215,-5.06697867592818,-2.3841020201210594,-4.103093772382904,-3.365264959679215
5,R5,'24-R5,Stor Bane,Stor bane 1,-3.533397408006045,-4.413983563353574,-3.9537106435179936,-3.1112448175629304,-4.8417953367323685,-2.2070093843010063,-3.9537106435179936,-3.1112448175629304
6,R6,'24-R6,Stor Bane,Stor bane 1,-3.6238031889306854,-1.6873821616504525,-4.080979283003671,-3.164448069473269,-4.8541428595775375,-2.3775538848992306,-4.080979283003671,-3.164448069473269
7,R7,'24-R7,Stor Bane,Stor bane 1,-3.3608539317111386,-3.784305360171525,-3.8428883759396126,-2.876403054610477,-5.345652119278121,-1.3344366961704268,-3.8428883759396126,-2.876403054610477
8,R8,'24-R8,Stor Bane,Stor bane 1,-3.3854915511751127,-2.4315367456666737,-3.9047761548446913,-2.86340080908557,-4.6751974689330345,-2.078336435410655,-3.9047761548446913,-2.86340080908557
9,R9,'24-R9,Stor Bane,Stor bane 1,-3.2327086464975285,-2.539006172672831,-3.7600929510478887,-2.702434332872816,-7.0935273458115455,0.7885501233856784,-3.7600929510478887,-2.702434332872816
10,R10,'24-R10,Stor Bane,Stor bane 1,-3.2202550607305147,-7.806960194901724,-3.981002165412084,-2.453480647179529,-5.029039729178242,-1.3770208935362072,-3.981002165412084,-2.453480647179529
11,R11,'24-R11,Stor Bane,Stor bane 1,-4.038925523944625,-17.623900286664007,-4.7598899220162805,-3.3125034498700523,-9.312339331265884,1.5411330129703193,-4.7598899220162805,-3.3125034498700523
12,R12,'24-R12,Stor Bane,Stor bane 1,-4.299348944103887,-5.43346551121171,-5.0460257099636525,-3.5468006368279403,-6.5244782199140765,-2.021251787507583,-5.0460257099636525,-3.5468006368279403
13,R13,'24-R13,Stor Bane,Stor bane 1,-4.425739385797778,-0.34265598935595554,-5.1634601638603,-3.682279976324554,-6.1682532054657795,-2.6508660021712926,-5.1634601638603,-3.682279976324554
14,R14,'24-R14,Stor Bane,Stor bane 1,-3.7140341356145967,-6.251178690833226,-4.424739377714948,-2.9980440327892044,-7.188653220088382,-0.10933421295603596,-4.424739377714948,-2.9980440327892044
