x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,-0.0015803363833524142,-0.00892874994852555,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 2,-0.0015803363833524142,0.02145167054021453,0.021823813829752854,-0.01710987665136732,0.013949203884662491,-0.017234834417574986,0.014074161650870158,-0.01710987665136732,0.013949203884662491
3,R3,Stor Bane,'24-R3,Stor bane 2,0.02145167054021453,0.021539124962656985,0.027626877046897213,0.018397732682847504,0.024505608397581553,-0.00421059830103878,0.04711393938146784,0.018397732682847504,0.024505608397581553
4,R4,Stor Bane,'24-R4,Stor bane 2,0.021539124962656985,0.02180444970938817,0.025046982665888905,0.017706859160405986,0.025371390764907985,0.0076047424415282665,0.03547350748378571,0.017706859160405986,0.025371390764907985
5,R5,Stor Bane,'24-R5,Stor bane 2,0.02180444970938817,0.020412182506225156,0.008187355286065685,0.017437844448734748,0.02617105497004159,0.008148407146573272,0.03546049227220307,0.017437844448734748,0.02617105497004159
6,R6,Stor Bane,'24-R6,Stor bane 2,0.020412182506225156,0.022716078952813162,0.037233332420482365,0.015657233721455818,0.025167131290994495,0.007563984920655062,0.03326038009179525,0.015657233721455818,0.025167131290994495
7,R7,Stor Bane,'24-R7,Stor bane 2,0.022716078952813162,,,0.017715614167626355,0.02771654373799997,0.0019639940244136414,0.04346816388121268,0.017715614167626355,0.02771654373799997
8,R8,Stor Bane,'24-R8,Stor bane 2,0.022716078952813162,0.02414885294519781,0.03126934812600271,0.017193719225935482,0.028238438679690843,0.009223284073176258,0.03620887383245007,0.017193719225935482,0.028238438679690843
9,R9,Stor Bane,'24-R9,Stor bane 2,0.02414885294519781,0.023332851319657708,-0.019684750536261893,0.018591898047183628,0.029705807843211994,-0.01657932179413164,0.06487702768452726,0.018591898047183628,0.029705807843211994
10,R10,Stor Bane,'24-R10,Stor bane 2,0.023332851319657708,0.019031103143164495,-0.0009400398741329051,0.015379503156615895,0.03128619948269952,0.004440402371996655,0.04222530026731876,0.015379503156615895,0.03128619948269952
11,R11,Stor Bane,'24-R11,Stor bane 2,0.019031103143164495,0.02072082392672348,0.11286980519059611,0.011445782113360631,0.026616424172968358,-0.03749609884022379,0.07555830512655279,0.011445782113360631,0.026616424172968358
12,R12,Stor Bane,'24-R12,Stor bane 2,0.02072082392672348,0.021120098488559565,0.024289520162982806,0.012847269862438091,0.028594377991008866,-0.00281827231087144,0.0442599201643184,0.012847269862438091,0.028594377991008866
13,R13,Stor Bane,'24-R13,Stor bane 2,0.021120098488559565,0.023790734753085283,0.036075799831989615,0.01333879084188434,0.02890140613523479,0.002706078629802964,0.03953411834731617,0.01333879084188434,0.02890140613523479
14,R14,Stor Bane,'24-R14,Stor bane 2,0.023790734753085283,0.023399353521841255,0.014215511493368901,0.016359154774222638,0.031222314731947927,-0.012967581754500523,0.06054905126067109,0.016359154774222638,0.031222314731947927
