x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 1,0.0,-0.003540217657297046,-0.020001892355541173,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 1,-0.003540217657297046,-0.00694105750957226,-0.006996007116613395,-0.019069757925311952,0.011989322610717858,-0.019194715691519617,0.012114280376925527,-0.019069757925311952,0.011989322610717858
3,R3,Stor Bane,'24-R3,Stor bane 1,-0.00694105750957226,,,-0.009994995366939284,-0.0038871196522052356,-0.032603326350825565,0.01872121133168105,-0.009994995366939284,-0.0038871196522052356
4,R4,Stor Bane,'24-R4,Stor bane 1,-0.00694105750957226,-0.00748133846701746,-0.01402525629887981,-0.010790517903160783,-0.0030915971159837363,-0.02088017872964355,0.00699806371049903,-0.010790517903160783,-0.0030915971159837363
5,R5,Stor Bane,'24-R5,Stor bane 1,-0.00748133846701746,-0.004475552822137723,0.02176161013859437,-0.011860838850759559,-0.0031018380832753623,-0.02114150979047615,0.006178832856441229,-0.011860838850759559,-0.0031018380832753623
6,R6,Stor Bane,'24-R6,Stor bane 1,-0.004475552822137723,,,-0.009240044559770736,0.0002889389154952897,-0.017327285186688544,0.008376179542413096,-0.009240044559770736,0.0002889389154952897
7,R7,Stor Bane,'24-R7,Stor bane 1,-0.004475552822137723,-0.0047879812127951185,-0.009283368739012681,-0.00978518467407628,0.0008340790298008334,-0.02530429669234588,0.016353191048070433,-0.00978518467407628,0.0008340790298008334
8,R8,Stor Bane,'24-R8,Stor bane 1,-0.0047879812127951185,-0.0014737361230901568,0.014296208326996178,-0.010431736516684149,0.000855774091093912,-0.018330914079832852,0.008754951654242615,-0.010431736516684149,0.000855774091093912
9,R9,Stor Bane,'24-R9,Stor bane 1,-0.0014737361230901568,-0.002607239070496638,-0.060611178245480186,-0.007113969061465826,0.004166496815285512,-0.04221335685595815,0.03926588460977783,-0.007113969061465826,0.004166496815285512
10,R10,Stor Bane,'24-R10,Stor bane 1,-0.002607239070496638,-0.0014149322244455973,0.004042982894291734,-0.01061681630995839,0.005402338168965113,-0.02152342811037257,0.016308949969379295,-0.01061681630995839,0.005402338168965113
11,R11,Stor Bane,'24-R11,Stor bane 1,-0.0014149322244455973,-0.0010574901823970854,0.01823242200281434,-0.009040100865117574,0.006210236416226379,-0.05794749510411946,0.05511763065522827,-0.009040100865117574,0.006210236416226379
12,R12,Stor Bane,'24-R12,Stor bane 1,-0.0010574901823970854,-0.006833629934529684,-0.05225617697334594,-0.008968066219087637,0.006853085854293467,-0.024608995682296513,0.022494015317502343,-0.008968066219087637,0.006853085854293467
13,R13,Stor Bane,'24-R13,Stor bane 1,-0.006833629934529684,,,-0.014644467173124214,0.000977207304064847,-0.0252601477019835,0.011592887832924132,-0.014644467173124214,0.000977207304064847
14,R14,Stor Bane,'24-R14,Stor bane 1,-0.006833629934529684,-0.004730290795936625,0.03625876669325662,-0.014988443681817983,0.0013211838127586157,-0.04374496205276385,0.03007770218370448,-0.014988443681817983,0.0013211838127586157
15,R15,Stor Bane,'24-R15,Stor bane 1,-0.004730290795936625,-0.006671407121233143,-0.03560552346455876,-0.013021664873465805,0.003561083281592557,-0.03779813233803454,0.028337550746161292,-0.013021664873465805,0.003561083281592557
16,R16,Stor Bane,'24-R16,Stor bane 1,-0.006671407121233143,-0.003965992878253019,0.147071573567349,-0.015033021657045745,0.0016902074145794576,-0.06970483206643573,0.05636201782396944,-0.015033021657045745,0.0016902074145794576
17,R17,Stor Bane,'24-R17,Stor bane 1,-0.003965992878253019,-0.0014132142954903985,0.01890637139207422,-0.01257866288303591,0.004646677126529872,-0.029746221431954573,0.02181423567544853,-0.01257866288303591,0.004646677126529872
18,R18,Stor Bane,'24-R18,Stor bane 1,-0.0014132142954903985,0.0010357414656963935,0.007661070496525375,-0.009674734761162068,0.00684830617018127,-0.017316091873121175,0.014489663282140377,-0.009674734761162068,0.00684830617018127
19,R1,Stor Bane,'25-R1,Stor bane 1,0.0010357414656963935,-0.008068250227855012,-0.022130238085894215,-0.013719773136786125,0.015791256068178914,-0.022501944709613034,0.024573427641005823,-0.013719773136786125,0.015791256068178914
20,R2,Stor Bane,'25-R2,Stor bane 1,-0.008068250227855012,-0.009850883088479456,-0.037391424075702895,-0.019800822471571698,0.003664322015861674,-0.055652997897400754,0.03951649744169073,-0.019800822471571698,0.003664322015861674
21,R3,Stor Bane,'25-R3,Stor bane 1,-0.009850883088479456,-0.011913506465964912,-0.019003999894602865,-0.02146022230928172,0.0017584561323228057,-0.03430669219416434,0.014604926017205424,-0.02146022230928172,0.0017584561323228057
22,R4,Stor Bane,'25-R4,Stor bane 1,-0.011913506465964912,,,-0.022396687641404876,-0.0014303252905249475,-0.025044163287083122,0.0012171503551532993,-0.022396687641404876,-0.0014303252905249475
23,R5,Stor Bane,'25-R5,Stor bane 1,-0.011913506465964912,-0.025130390028072075,-0.04288298402421099,-0.02265542884709605,-0.0011715840848337735,-0.028356633706530472,0.004529620774600647,-0.02265542884709605,-0.0011715840848337735
24,R6,Stor Bane,'25-R6,Stor bane 1,-0.025130390028072075,-0.027794064669027528,-0.05764695065869599,-0.033594197584715366,-0.016666582471428784,-0.054702171860216614,0.004441391804072468,-0.033594197584715366,-0.016666582471428784
25,R7,Stor Bane,'25-R7,Stor bane 1,-0.027794064669027528,-0.01472021351725573,0.011546489987678078,-0.03623560502864895,-0.019352524309406108,-0.042437405552790214,-0.013150723785264846,-0.03623560502864895,-0.019352524309406108
26,R8,Stor Bane,'25-R8,Stor bane 1,-0.01472021351725573,-0.010580918043232572,-0.006680311156967777,-0.022005133719059627,-0.007435293315451836,-0.024873040186092488,-0.004567386848418974,-0.022005133719059627,-0.007435293315451836
27,R9,Stor Bane,'25-R9,Stor bane 1,-0.010580918043232572,-0.017564958449768953,-0.024253765332894688,-0.016170110128284627,-0.004991725958180518,-0.018401249225324115,-0.002760586861141027,-0.016170110128284627,-0.004991725958180518
28,R10,Stor Bane,'25-R10,Stor bane 1,-0.017564958449768953,,,-0.02450996526539209,-0.010619951634145818,-0.04117956889145388,0.006049651991915976,-0.02450996526539209,-0.010619951634145818
29,R11,Stor Bane,'25-R11,Stor bane 1,-0.017564958449768953,,,-0.024894687541229227,-0.010235229358308682,-0.08547547920651663,0.05034556230697873,-0.024894687541229227,-0.010235229358308682
30,R12,Stor Bane,'25-R12,Stor bane 1,-0.017564958449768953,-0.017416212305926645,-0.016123317512481906,-0.025260199670117167,-0.009869717229420741,-0.04152171024122682,0.006391793341688913,-0.025260199670117167,-0.009869717229420741
31,R13,Stor Bane,'25-R13,Stor bane 1,-0.017416212305926645,-0.018878721509136775,-0.20239266069509493,-0.025071188506153978,-0.009761236105699313,-0.10350622250086153,0.06867379788900824,-0.025071188506153978,-0.009761236105699313
32,R14,Stor Bane,'25-R14,Stor bane 1,-0.018878721509136775,-0.020781533891175902,-0.030068848528675696,-0.026855385062635843,-0.010902057955637706,-0.03822247718423297,0.00046503416595941247,-0.026855385062635843,-0.010902057955637706
33,R15,Stor Bane,'25-R15,Stor bane 1,-0.020781533891175902,-0.027018366527403477,-0.06275178965748276,-0.028416948893393922,-0.013146118888957881,-0.040588657406967384,-0.0009744103753844199,-0.028416948893393922,-0.013146118888957881
34,R16,Stor Bane,'25-R16,Stor bane 1,-0.027018366527403477,-0.02321410856861806,-0.01631639377010736,-0.03444318861848462,-0.019593544436322337,-0.03947162475021088,-0.01456510830459607,-0.03444318861848462,-0.019593544436322337
35,R17,Stor Bane,'25-R17,Stor bane 1,-0.02321410856861806,-0.024446767227885056,-0.02908709798031562,-0.029619052371654696,-0.016809164765581423,-0.03719463474762375,-0.009233582389612369,-0.029619052371654696,-0.016809164765581423
36,R1,Stor Bane,'26-R1,Stor bane 1,-0.024446767227885056,-0.026302736873712804,-0.06320271520951967,-0.038682607923888584,-0.01021092653188153,-0.08949969797590414,0.040606163520134034,-0.038682607923888584,-0.01021092653188153
37,R2,Stor Bane,'26-R2,Stor bane 1,-0.026302736873712804,-0.026293791896007883,-0.02624637976590742,-0.04038981952446877,-0.012215654222956842,-0.06166220959094,0.009056735843514394,-0.04038981952446877,-0.012215654222956842
