x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 1,0.0,0.003733200947863893,0.007286711682734648,-0.02776227935288768,0.02776227935288768,-0.03878646762262732,0.03878646762262732,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 1,0.003733200947863893,-0.009515940048717152,-0.02292758079028911,-0.016031671980914177,0.023498073876641965,-0.024304125956229026,0.03177052785195681,-0.016031671980914177,0.023498073876641965
3,R3,Lille Bane,'24-R3,Lille bane 1,-0.009515940048717152,-0.017767353237036987,-0.029731314022886434,-0.024051999311553156,0.005020119214118853,-0.03226814061297716,0.013236260515542858,-0.024051999311553156,0.005020119214118853
4,R4,Lille Bane,'24-R4,Lille bane 1,-0.017767353237036987,,,-0.02959242078330674,-0.005942285690767232,-0.04847506957212286,0.012940363098048885,-0.02959242078330674,-0.005942285690767232
5,R5,Lille Bane,'24-R5,Lille bane 1,-0.017767353237036987,,,-0.03020172564680223,-0.005332980827271747,-0.040971147110691206,0.005436440636617228,-0.03020172564680223,-0.005332980827271747
6,R6,Lille Bane,'24-R6,Lille bane 1,-0.017767353237036987,,,-0.030782537137989743,-0.00475216933608423,-0.06276864895677368,0.02723394248269971,-0.030782537137989743,-0.00475216933608423
7,R7,Lille Bane,'24-R7,Lille bane 1,-0.017767353237036987,,,-0.03133851408371877,-0.004196192390355203,-0.037919975978799585,0.002385269504725611,-0.03133851408371877,-0.004196192390355203
8,R8,Lille Bane,'24-R8,Lille bane 1,-0.017767353237036987,,,-0.031872593450425674,-0.0036621130236482967,-0.03589027689987049,0.0003555704257965156,-0.031872593450425674,-0.0036621130236482967
9,R9,Lille Bane,'24-R9,Lille bane 1,-0.017767353237036987,-0.018754343047853353,-0.03393289029433072,-0.032387175268384916,-0.003147531205689058,-0.07693452634776285,0.041399819873688876,-0.032387175268384916,-0.003147531205689058
10,R10,Lille Bane,'24-R10,Lille bane 1,-0.018754343047853353,,,-0.035765447631596115,-0.0017432384641105914,-0.07873751608328236,0.041228829987575655,-0.035765447631596115,-0.0017432384641105914
11,R11,Lille Bane,'24-R11,Lille bane 1,-0.018754343047853353,-0.03303893723845368,-0.15894970875018072,-0.03619449998263817,-0.001314186113068539,-0.0733908925154747,0.03588220641976799,-0.03619449998263817,-0.001314186113068539
12,R12,Lille Bane,'24-R12,Lille bane 1,-0.03303893723845368,,,-0.05000801231278171,-0.016069862164125648,-0.06472083659044553,-0.001357037886461819,-0.05000801231278171,-0.016069862164125648
13,R13,Lille Bane,'24-R13,Lille bane 1,-0.03303893723845368,,,-0.050438101115751616,-0.015639773361155736,-0.06910430188031817,0.003026427403410817,-0.050438101115751616,-0.015639773361155736
14,R14,Lille Bane,'24-R14,Lille bane 1,-0.03303893723845368,-0.03539162409393677,-0.038197946896389376,-0.05085781201718082,-0.015220062459726534,-0.059425412668780306,-0.00665246180812705,-0.05085781201718082,-0.015220062459726534
15,R15,Lille Bane,'24-R15,Lille bane 1,-0.03539162409393677,,,-0.04908458221984674,-0.0216986659680268,-0.1007903349177264,0.03000708672985286,-0.04908458221984674,-0.0216986659680268
16,R16,Lille Bane,'24-R16,Lille bane 1,-0.03539162409393677,,,-0.04961408861274689,-0.021169159575126655,-0.10581896732764211,0.035035719139768565,-0.04961408861274689,-0.021169159575126655
17,R17,Lille Bane,'24-R17,Lille bane 1,-0.03539162409393677,,,-0.05012457667445171,-0.02065867151342184,-0.0831389306818682,0.012355682493994657,-0.05012457667445171,-0.02065867151342184
18,R18,Lille Bane,'24-R18,Lille bane 1,-0.03539162409393677,,,-0.05033802082372982,-0.02044522736414373,-0.05265515495324756,-0.01812809323462598,-0.05033802082372982,-0.02044522736414373
19,R1,Stor Bane,'25-R1,Stor bane 2,-0.03539162409393677,-0.04022771555534262,-0.04590718610896667,-0.05231375771101074,-0.018469490476862804,-0.06034470136824069,-0.010438546819632855,-0.05231375771101074,-0.018469490476862804
20,R2,Stor Bane,'25-R2,Stor bane 2,-0.04022771555534262,-0.04513353706671475,-0.11027681251355212,-0.052882932440748924,-0.027572498669936323,-0.08804831230754744,0.007592881196862189,-0.052882932440748924,-0.027572498669936323
21,R3,Stor Bane,'25-R3,Stor bane 2,-0.04513353706671475,-0.040341178904234554,-0.025963493798441435,-0.057560526044518626,-0.03270654808891088,-0.06998791086539455,-0.020279163268034955,-0.057560526044518626,-0.03270654808891088
22,R4,Stor Bane,'25-R4,Stor bane 2,-0.040341178904234554,,,-0.051355514105733815,-0.029326843702735295,-0.05389966852984791,-0.026782689278621194,-0.051355514105733815,-0.029326843702735295
