x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 1,0.0,-0.008180209332751823,-0.046217403097305265,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 1,-0.008180209332751823,-0.0330277855476566,-0.03342926418477038,-0.02370974960076673,0.007349330935263082,-0.023834707366974395,0.007474288701470749,-0.02370974960076673,0.007349330935263082
3,R3,Stor Bane,'24-R3,Stor bane 1,-0.0330277855476566,-0.03356934036315422,-0.07126727906882976,-0.03608172340502362,-0.029973847690289573,-0.05869005438890991,-0.007365516706403289,-0.03608172340502362,-0.029973847690289573
4,R4,Stor Bane,'24-R4,Stor bane 1,-0.03356934036315422,-0.03508814768491237,-0.053649487537485704,-0.03740160616540522,-0.029737074560903215,-0.04750372288428294,-0.0196349578420255,-0.03740160616540522,-0.029737074560903215
5,R5,Stor Bane,'24-R5,Stor bane 1,-0.03508814768491237,,,-0.03945475294556579,-0.03072154242425895,-0.04874419024772727,-0.02143210512209747,-0.03945475294556579,-0.03072154242425895
6,R6,Stor Bane,'24-R6,Stor bane 1,-0.03508814768491237,-0.035422161557898596,-0.03735977048548828,-0.040043856553229125,-0.03013243881659561,-0.04801198974676005,-0.022164305623064696,-0.040043856553229125,-0.03013243881659561
7,R7,Stor Bane,'24-R7,Stor bane 1,-0.035422161557898596,-0.035815582551768144,-0.04185153132593414,-0.04056412192695649,-0.0302802011888407,-0.05620879517771725,-0.014635527938079939,-0.04056412192695649,-0.0302802011888407
8,R8,Stor Bane,'24-R8,Stor bane 1,-0.035815582551768144,-0.035708762997953725,-0.03517469822879532,-0.0413213689907734,-0.03030979611276289,-0.04930160275873986,-0.022329562344796425,-0.0413213689907734,-0.03030979611276289
9,R9,Stor Bane,'24-R9,Stor bane 1,-0.035708762997953725,-0.0359874256213437,-0.05073840384698641,-0.04125429744743137,-0.030163228548476074,-0.07643538110195461,0.005017855106047166,-0.04125429744743137,-0.030163228548476074
10,R10,Stor Bane,'24-R10,Stor bane 1,-0.0359874256213437,,,-0.043933092310624214,-0.028041758932063194,-0.054876642105215145,-0.017098209137472262,-0.043933092310624214,-0.028041758932063194
11,R11,Stor Bane,'24-R11,Stor bane 1,-0.0359874256213437,-0.0369183868150529,-0.07948509207110697,-0.044271472218405376,-0.027703379024282028,-0.09261262228297024,0.020637771040282832,-0.044271472218405376,-0.027703379024282028
12,R12,Stor Bane,'24-R12,Stor bane 1,-0.0369183868150529,,,-0.04544179443275182,-0.028394979197353974,-0.060682744064870925,-0.013154029565234874,-0.04544179443275182,-0.028394979197353974
13,R13,Stor Bane,'24-R13,Stor bane 1,-0.0369183868150529,,,-0.04575808626144785,-0.028078687368657946,-0.05580403387754645,-0.018032739752559347,-0.04575808626144785,-0.028078687368657946
14,R14,Stor Bane,'24-R14,Stor bane 1,-0.0369183868150529,-0.039132691134265485,-0.07344508764012227,-0.04606344532704408,-0.02777332830306171,-0.07406105159125556,0.0002242779611497589,-0.04606344532704408,-0.02777332830306171
15,R15,Stor Bane,'24-R15,Stor bane 1,-0.039132691134265485,-0.04552081263335137,-0.12340090676639787,-0.04830078793219679,-0.02996459433633418,-0.07243117847312236,-0.005834203795408603,-0.04830078793219679,-0.02996459433633418
16,R16,Stor Bane,'24-R16,Stor bane 1,-0.04552081263335137,-0.04794254474358027,-0.16159279467250695,-0.05464078661426963,-0.03640083865243311,-0.10865931109577603,0.017617685829073283,-0.05464078661426963,-0.03640083865243311
17,R17,Stor Bane,'24-R17,Stor bane 1,-0.04794254474358027,-0.05520765245745558,-0.10455317479162517,-0.05726619150973717,-0.03861889797742337,-0.07396892537343101,-0.02191616411372953,-0.05726619150973717,-0.03861889797742337
18,R18,Stor Bane,'24-R18,Stor bane 1,-0.05520765245745558,-0.05385004066886713,-0.05064143550406826,-0.06404664769373802,-0.04636865722117314,-0.07141803899298962,-0.038997265921921535,-0.06404664769373802,-0.04636865722117314
19,R1,Stor Bane,'25-R1,Stor bane 1,-0.05385004066886713,-0.06491923844761978,-0.08162787281328666,-0.06877624522217157,-0.038923836115562695,-0.07749510445965366,-0.03020497687808061,-0.06877624522217157,-0.038923836115562695
20,R2,Stor Bane,'25-R2,Stor bane 1,-0.06491923844761978,-0.06989794685509713,-0.14579586662280092,-0.07673038139913352,-0.05310809549610604,-0.11252341953648425,-0.017315057358755312,-0.07673038139913352,-0.05310809549610604
21,R3,Stor Bane,'25-R3,Stor bane 1,-0.06989794685509713,,,-0.08157729589593166,-0.05821859781426262,-0.09438706762101448,-0.045408826089179795,-0.08157729589593166,-0.05821859781426262
22,R4,Stor Bane,'25-R4,Stor bane 1,-0.06989794685509713,-0.05007614206930891,-0.041343163306164984,-0.08181008364506011,-0.05798581006513416,-0.08419536144304515,-0.055600532267149116,-0.08181008364506011,-0.05798581006513416
23,R5,Stor Bane,'25-R5,Stor bane 1,-0.05007614206930891,,,-0.05706821796786125,-0.04308406617075657,-0.06435468059320201,-0.03579760354541581,-0.05706821796786125,-0.04308406617075657
24,R6,Stor Bane,'25-R6,Stor bane 1,-0.05007614206930891,-0.05356840405723631,-0.10512649865100956,-0.05745048504046666,-0.04270179909815116,-0.07935472087068392,-0.020797563267933902,-0.05745048504046666,-0.04270179909815116
25,R7,Stor Bane,'25-R7,Stor bane 1,-0.05356840405723631,-0.054216318208193594,-0.0558603383436406,-0.061079925054541746,-0.04605688305993088,-0.06769606402935904,-0.03944074408511358,-0.061079925054541746,-0.04605688305993088
26,R8,Stor Bane,'25-R8,Stor bane 1,-0.054216318208193594,-0.054170609291033366,-0.054120877405485525,-0.060996021378292936,-0.04743661503809425,-0.0640129605970658,-0.0444196758193214,-0.060996021378292936,-0.04743661503809425
27,R9,Stor Bane,'25-R9,Stor bane 1,-0.054170609291033366,-0.05793541356057333,-0.061761055550916176,-0.05959672475155475,-0.04874449383051198,-0.06187523391685999,-0.04646598466520674,-0.05959672475155475,-0.04874449383051198
