x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 1,0.0,-4.516564432195502,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 1,-0.8146842465029835,-3.2876680931665847,-2.34308817973502,0.7376403549088861,-2.3552904068934177,0.7502290919345178,-2.34308817973502,0.7376403549088861
3,R3,'24-R3,Stor Bane,Stor bane 1,-3.248832362624088,-6.878703487161597,-3.543853698509236,-2.9529086727473564,-5.700099773140943,-0.7338457763349737,-3.543853698509236,-2.9529086727473564
4,R4,'24-R4,Stor Bane,Stor bane 1,-3.301214238254413,-5.223574853041191,-3.671080522429593,-2.9299278087177805,-4.639307704220775,-1.94434475377816,-3.671080522429593,-2.9299278087177805
5,R5,'24-R5,Stor Bane,Stor bane 1,-3.4479695873141702,,-3.8686550391450747,-3.0254431516766433,-4.757526192521744,-2.120406955659726,-3.8686550391450747,-3.0254431516766433
6,R6,'24-R6,Stor Bane,Stor bane 1,-3.4479695873141702,-3.6670504522878122,-3.9252696836880596,-2.9682982599074426,-4.687764068672262,-2.1920482116388307,-3.9252696836880596,-2.9682982599074426
7,R7,'24-R7,Stor Bane,Stor bane 1,-3.4802139196100645,-4.098784673391098,-3.9752410388517734,-2.982634835110265,-5.465826751236413,-1.4528949178060246,-3.9752410388517734,-2.982634835110265
8,R8,'24-R8,Stor Bane,Stor bane 1,-3.518179361087337,-3.4563258564343613,-4.047927981168642,-2.9855060141650847,-4.810600745417693,-2.208210297627211,-4.047927981168642,-2.9855060141650847
9,R9,'24-R9,Stor Bane,Stor bane 1,-3.507872665586975,-4.947270770524048,-4.041492111782041,-2.9712857939949933,-7.3587223872573215,0.5030465624742186,-4.041492111782041,-2.9712857939949933
10,R10,'24-R10,Stor Bane,Stor bane 1,-3.5347576688297244,,-4.2982012806803365,-2.7652238250683747,-5.339808842951054,-1.6952864317297367,-4.2982012806803365,-2.7652238250683747
11,R11,'24-R11,Stor Bane,Stor bane 1,-3.5347576688297244,-7.640821129331332,-4.330579368149401,-2.7323159631075233,-8.84534552695837,2.085220242521535,-4.330579368149401,-2.7323159631075233
12,R12,'24-R12,Stor Bane,Stor bane 1,-3.624521276281134,,-4.4424779248932955,-2.7995630534916605,-5.887823111470203,-1.3067893411142673,-4.4424779248932955,-2.7995630534916605
13,R13,'24-R13,Stor Bane,Stor bane 1,-3.624521276281134,,-4.472697208987853,-2.7688144870359754,-5.427555231469128,-1.787112282449288,-4.472697208987853,-2.7688144870359754
14,R14,'24-R14,Stor Bane,Stor bane 1,-3.624521276281134,-7.081283174919861,-4.501862883678831,-2.739119529499423,-7.138500131269354,0.02243031133319917,-4.501862883678831,-2.739119529499423
15,R15,'24-R15,Stor Bane,Stor bane 1,-3.837689817974288,-11.60907736720902,-4.715286095112214,-2.9520106575061433,-6.987024259230634,-0.5817217877601366,-4.715286095112214,-2.9520106575061433
16,R16,'24-R16,Stor Bane,Stor bane 1,-4.45002841002462,-14.921242075253183,-5.317480084016024,-3.5746294147390834,-10.29640243512625,1.777379265557566,-5.317480084016024,-3.5746294147390834
17,R17,'24-R17,Stor Bane,Stor bane 1,-4.681144880312827,-9.9273099831796,-5.565734009187395,-3.7882695862553772,-7.129944758423912,-2.1677749873843744,-5.565734009187395,-3.7882695862553772
18,R18,'24-R18,Stor Bane,Stor bane 1,-5.371137160884265,-4.938053217982641,-6.20387552186763,-4.531005603415316,-6.892741388558477,-3.824666134850785,-6.20387552186763,-4.531005603415316
19,R1,'25-R1,Stor Bane,Stor bane 1,-5.242580655985208,-7.83851471653052,-6.646446025205266,-3.817603739416575,-7.456844512693806,-2.975336496181158,-6.646446025205266,-3.817603739416575
20,R2,'25-R2,Stor Bane,Stor bane 1,-6.28568545435092,-13.566587537883434,-7.38604756101876,-5.172249758511005,-10.64235802821013,-1.7166013228791188,-7.38604756101876,-5.172249758511005
21,R3,'25-R3,Stor Bane,Stor bane 1,-6.7511021516908905,,-7.833853354828369,-5.655630983462457,-9.006951056136813,-4.439327499742762,-7.833853354828369,-5.655630983462457
22,R4,'25-R4,Stor Bane,Stor bane 1,-6.7511021516908905,-4.050019168100616,-7.855306007597484,-5.63366621369068,-8.074834777743977,-5.408307628266817,-7.855306007597484,-5.63366621369068
23,R5,'25-R5,Stor Bane,Stor bane 1,-4.884300131869413,,-5.547036672346806,-4.216913449071336,-6.232763364617721,-3.516444698227472,-5.547036672346806,-4.216913449071336
24,R6,'25-R6,Stor Bane,Stor bane 1,-4.884300131869413,-9.978936004816074,-5.583136029899515,-4.180291729777641,-7.628779367379446,-2.0582785477516574,-5.583136029899515,-4.180291729777641
25,R7,'25-R7,Stor Bane,Stor bane 1,-5.215889739081003,-5.432879932575407,-5.925195256782734,-4.501236197338021,-6.5455527902421595,-3.867308339115594,-5.925195256782734,-4.501236197338021
26,R8,'25-R8,Stor Bane,Stor bane 1,-5.277281814859958,-5.268240971175853,-5.917301703677957,-4.632908038818262,-6.200715749533381,-4.344756870180211,-5.917301703677957,-4.632908038818262
27,R9,'25-R9,Stor Bane,Stor bane 1,-5.272952043027401,-5.989250657713818,-5.785559949917873,-4.7575551064927835,-5.999984038683259,-4.540296904467766,-5.785559949917873,-4.7575551064927835
28,R10,'25-R10,Stor Bane,Stor bane 1,-5.628910360481443,-8.090979525616548,-6.279052259395246,-4.974258429403933,-7.83047525361863,-3.3747588017188135,-6.279052259395246,-4.974258429403933
29,R11,'25-R11,Stor Bane,Stor bane 1,-5.842636781155786,-13.737572336333548,-6.500659047596913,-5.179983537654042,-12.021683026435493,0.7703869919365891,-6.500659047596913,-5.179983537654042
30,R12,'25-R12,Stor Bane,Stor bane 1,-5.93061871192877,-11.01212535063013,-6.620303085333368,-5.235840463189023,-8.147701111235161,-3.660021545710923,-6.620303085333368,-5.235840463189023
31,R13,'25-R13,Stor Bane,Stor bane 1,-6.426572661424945,-6.430985777380105,-7.114746082433532,-5.733300663005969,-14.143240606161067,1.9836570318529034,-7.114746082433532,-5.733300663005969
32,R14,'25-R14,Stor Bane,Stor bane 1,-6.426605124188079,-4.634585351930709,-7.146089076768991,-5.701546208174014,-8.209639467270657,-4.608935210985054,-7.146089076768991,-5.701546208174014
33,R15,'25-R15,Stor Bane,Stor bane 1,-6.140443644000482,-7.279914058947101,-6.836958550637262,-5.438721382519773,-7.974679382122352,-4.269648177312446,-6.836958550637262,-5.438721382519773
34,R16,'25-R16,Stor Bane,Stor bane 1,-6.303598967780422,-2.7397336084393875,-6.98368510600157,-5.6185403991213745,-7.455514729500057,-5.137345129424242,-6.98368510600157,-5.6185403991213745
35,R17,'25-R17,Stor Bane,Stor bane 1,-5.082683662248966,-4.9510483810046075,-5.682265815268495,-4.479289938040553,-6.39754022737975,-3.749356986492147,-5.682265815268495,-4.479289938040553
36,R1,'26-R1,Stor Bane,Stor bane 1,-5.055533429046344,-16.768115553822916,-6.3957846459188,-3.696092122095851,-11.034967012366481,1.3257841841747053,-6.3957846459188,-3.696092122095851
37,R2,'26-R2,Stor Bane,Stor bane 1,-5.650765243490541,-11.618007805068832,-6.968924938667131,-4.313928509691712,-8.927976873361887,-2.2556236972931853,-6.968924938667131,-4.313928509691712
