x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,,,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 2,0.0,0.005353661751195394,0.005426512881943069,-0.016922133617073967,0.016922133617073967,-0.01703688040463062,0.01703688040463062,-0.016922133617073967,0.016922133617073967
3,R3,Stor Bane,'24-R3,Stor bane 2,0.005353661751195394,0.005790623840117647,0.03617637340896512,0.0022981448588836684,0.008409178643507119,-0.02030879505097581,0.031016118553366598,0.0022981448588836684,0.008409178643507119
4,R4,Stor Bane,'24-R4,Stor bane 2,0.005790623840117647,0.006244470168893139,0.011787386276041489,0.001957134988853403,0.009624112691381892,-0.008144095096366228,0.019725342776601523,0.001957134988853403,0.009624112691381892
5,R5,Stor Bane,'24-R5,Stor bane 2,0.006244470168893139,0.00883337404209612,0.031555744913300224,0.0018769477524060154,0.010611992585380262,-0.0074118656879010765,0.019900806025687355,0.0018769477524060154,0.010611992585380262
6,R6,Stor Bane,'24-R6,Stor bane 2,0.00883337404209612,,,0.004077746438720438,0.0135890016454718,-0.004015074780779681,0.02168182286497192,0.004077746438720438,0.0135890016454718
7,R7,Stor Bane,'24-R7,Stor bane 2,0.00883337404209612,,,0.003531694799899743,0.014135053284292497,-0.011993343980548476,0.029660092064740715,0.003531694799899743,0.014135053284292497
8,R8,Stor Bane,'24-R8,Stor bane 2,0.00883337404209612,0.013004797309145815,0.03182099618853769,0.0030368568401650175,0.014629891244027221,-0.004773927982302343,0.02244067606649458,0.0030368568401650175,0.014629891244027221
9,R9,Stor Bane,'24-R9,Stor bane 2,0.013004797309145815,0.014280434815014318,0.07721905510334047,0.0072607304203932774,0.018748864197898354,-0.02774932854678751,0.053758923165079145,0.0072607304203932774,0.018748864197898354
10,R10,Stor Bane,'24-R10,Stor bane 2,0.014280434815014318,0.01586489680565508,0.022991703515786086,0.0062002296849033665,0.02236063994512527,-0.004665767843621264,0.0332266374736499,0.0062002296849033665,0.02236063994512527
11,R11,Stor Bane,'24-R11,Stor bane 2,0.01586489680565508,0.017154860458975324,0.08586802262929796,0.008189858859764844,0.023539934751545318,-0.040674414088769935,0.0724042077000801,0.008189858859764844,0.023539934751545318
12,R12,Stor Bane,'24-R12,Stor bane 2,0.017154860458975324,0.02157494623175501,0.05593002765976832,0.009197942829514947,0.0251117780884357,-0.006412250866801278,0.040721971784751926,0.009197942829514947,0.0251117780884357
13,R13,Stor Bane,'24-R13,Stor bane 2,0.02157494623175501,0.02428894050478701,0.03656295122391525,0.013727196219632169,0.029422696243877847,0.0031327511639424425,0.04001714129956757,0.013727196219632169,0.029422696243877847
14,R14,Stor Bane,'24-R14,Stor bane 2,0.02428894050478701,0.025037031102642344,0.0423718779363058,0.016810510128366225,0.0317673708812078,-0.01247887656917859,0.061056757578752605,0.016810510128366225,0.0317673708812078
15,R15,Stor Bane,'24-R15,Stor bane 2,0.025037031102642344,0.02664368669230073,0.054499124769681453,0.017349051219581153,0.03272501098570353,-0.00788469872496737,0.057958760930252054,0.017349051219581153,0.03272501098570353
16,R16,Stor Bane,'24-R16,Stor bane 2,0.02664368669230073,0.028578324507335835,0.15161910300497844,0.01880955175317491,0.034477821631426556,-0.03632193672970159,0.08960931011430305,0.01880955175317491,0.034477821631426556
17,R17,Stor Bane,'24-R17,Stor bane 2,0.028578324507335835,0.03743908632565142,0.11681001270773955,0.020459494191785835,0.03669715482288584,0.002958849388542014,0.05419779962612965,0.020459494191785835,0.03669715482288584
18,R18,Stor Bane,'24-R18,Stor bane 2,0.03743908632565142,0.0366243392691811,0.034184055490888,0.029587372319520862,0.045290800331781976,0.02174519554998758,0.05313297710131526,0.029587372319520862,0.045290800331781976
19,R1,Stor Bane,'25-R1,Stor bane 2,0.0366243392691811,0.021845087676025464,-0.001368246637465681,0.02199181506097933,0.05125686347738287,0.013163558719359477,0.06008511981900272,0.02199181506097933,0.05125686347738287
20,R2,Stor Bane,'25-R2,Stor bane 2,0.021845087676025464,0.029937187279427423,0.15618441910488914,0.010169783761039955,0.03352039159101097,-0.025725572197762114,0.06941574754981304,0.010169783761039955,0.03352039159101097
21,R3,Stor Bane,'25-R3,Stor bane 2,0.029937187279427423,0.031307344299342434,0.03605912445111905,0.018378919193732766,0.04149545536512208,0.005505580639445076,0.05436879391940977,0.018378919193732766,0.04149545536512208
22,R4,Stor Bane,'25-R4,Stor bane 2,0.031307344299342434,0.03353302483322982,0.034807395548666166,0.020858150145366204,0.04175653845331866,0.018203805866370583,0.044410882732314284,0.020858150145366204,0.04175653845331866
23,R5,Stor Bane,'25-R5,Stor bane 2,0.03353302483322982,0.042283514404159436,0.07225756068725783,0.02680648253742916,0.040259567129030484,0.01938262172008925,0.047683427946370385,0.02680648253742916,0.040259567129030484
24,R6,Stor Bane,'25-R6,Stor bane 2,0.042283514404159436,0.04084979748635526,0.01243822022686368,0.035918456099468365,0.04864857270885051,0.013242711908460752,0.07132431689985812,0.035918456099468365,0.04864857270885051
25,R7,Stor Bane,'25-R7,Stor bane 2,0.04084979748635526,0.04016975025310372,0.0379599937743182,0.034212060343900924,0.0474875346288096,0.027166691736297044,0.05453290323641348,0.034212060343900924,0.0474875346288096
26,R8,Stor Bane,'25-R8,Stor bane 2,0.04016975025310372,0.03532183205643268,0.029134361893485797,0.0339101188761973,0.04642938163001015,0.03072555563442163,0.04961394487178582,0.0339101188761973,0.04642938163001015
27,R9,Stor Bane,'25-R9,Stor bane 2,0.03532183205643268,0.04148386876902231,0.04819724150331905,0.030081464455595733,0.04056219965726963,0.02774687567201129,0.042896788440854074,0.030081464455595733,0.04056219965726963
28,R10,Stor Bane,'25-R10,Stor bane 2,0.04148386876902231,,,0.034608583973027816,0.048359153565016806,0.01788966931937969,0.06507806821866494,0.034608583973027816,0.048359153565016806
29,R11,Stor Bane,'25-R11,Stor bane 2,0.04148386876902231,0.04306417138265535,0.17958833770806126,0.034220167927772015,0.04874756961027261,-0.026419557144620937,0.10938729468266556,0.034220167927772015,0.04874756961027261
30,R12,Stor Bane,'25-R12,Stor bane 2,0.04306417138265535,,,0.03547144980753582,0.05065689295777488,0.01914015332808394,0.06698818943722676,0.03547144980753582,0.05065689295777488
31,R13,Stor Bane,'25-R13,Stor bane 2,0.04306417138265535,,,0.035118025788568055,0.051010316976742645,-0.04305221744398076,0.12918056020929147,0.035118025788568055,0.051010316976742645
32,R14,Stor Bane,'25-R14,Stor bane 2,0.04306417138265535,0.052102621249797865,0.09300018753247703,0.034779665441588004,0.0513486773237227,0.023591453009000486,0.06253688975631022,0.034779665441588004,0.0513486773237227
33,R15,Stor Bane,'25-R15,Stor bane 2,0.052102621249797865,0.06285207587890142,0.12104382768994876,0.04424754486314181,0.05995769763645392,0.03220978825009856,0.07199545424949716,0.04424754486314181,0.05995769763645392
34,R16,Stor Bane,'25-R16,Stor bane 2,0.06285207587890142,0.06311524591278862,0.06357214755763664,0.05526436896856654,0.0704397827892363,0.050301022001363584,0.07540312975643926,0.05526436896856654,0.0704397827892363
35,R17,Stor Bane,'25-R17,Stor bane 2,0.06311524591278862,0.06074057979026003,0.05201390966437637,0.056632703375797365,0.06959778844977987,0.049098999451424326,0.07713149237415291,0.056632703375797365,0.06959778844977987
36,R1,Stor Bane,'26-R1,Stor bane 2,0.06074057979026003,0.06535419403774088,0.15680077613736,0.046482939903472624,0.07499821967704744,-0.004317124855122978,0.12579828443564303,0.046482939903472624,0.07499821967704744
37,R2,Stor Bane,'26-R2,Stor bane 2,0.06535419403774088,0.06618625756651769,0.07058406645952718,0.051247143188798416,0.07946124488668335,0.02998676132223617,0.1007216267532456,0.051247143188798416,0.07946124488668335
