x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 2,0.0,0.5441263071600533,-1.6779758541908496,1.7066123981565484,-1.6892573433379465,1.718283574804702,-1.6779758541908496,1.7066123981565484
3,R3,'24-R3,Stor Bane,Stor bane 2,0.5368018206703296,3.6838701141368,0.23007876178731124,0.8444635103118436,-2.010396046422469,3.150213007465874,0.23007876178731124,0.8444635103118436
4,R4,'24-R4,Stor Bane,Stor bane 2,0.5807421910463129,1.1857131281364897,0.19590514275749094,0.9670573391988624,-0.8111021798824725,1.9921172836129264,0.19590514275749094,0.9670573391988624
5,R5,'24-R5,Stor Bane,Stor bane 2,0.6264007518366199,3.205890602635386,0.1878710321416177,1.0668499485409155,-0.7384465548589181,2.010014722018072,0.1878710321416177,1.0668499485409155
6,R6,'24-R6,Stor Bane,Stor bane 2,0.8872503420530586,,0.40860717590651685,1.3681751779383244,-0.40070251449323413,2.191858161059579,0.40860717590651685,1.3681751779383244
7,R7,'24-R7,Stor Bane,Stor bane 2,0.8872503420530586,,0.3537938582193645,1.4235425514652844,-1.1921710491642035,3.0104333801779237,0.3537938582193645,1.4235425514652844
8,R8,'24-R8,Stor Bane,Stor bane 2,0.8872503420530586,3.2332697277431377,0.30414727613468084,1.4737431898969033,-0.4762550899769957,2.2694362112477107,0.30414727613468084,1.4737431898969033
9,R9,'24-R9,Stor Bane,Stor bane 2,1.3089727452766597,8.027869103613305,0.728715343492814,1.892572775338608,-2.7367852640623247,5.523017993676849,0.728715343492814,1.892572775338608
10,R10,'24-R10,Stor Bane,Stor bane 2,1.4382887332178962,2.3258050067741953,0.6219490896377744,2.26125128978778,-0.4654900057594613,3.3784807070340372,0.6219490896377744,2.26125128978778
11,R11,'24-R11,Stor Bane,Stor bane 2,1.599141244804736,8.966250802206478,0.8223487495740534,2.3819185895070705,-3.9858312330867673,7.508981583131802,0.8223487495740534,2.3819185895070705
12,R12,'24-R12,Stor Bane,Stor bane 2,1.7302850113798618,5.752368374066319,0.9240373898735443,2.542973469420229,-0.6391736257905234,4.156248152771225,0.9240373898735443,2.542973469420229
13,R13,'24-R13,Stor Bane,Stor bane 2,2.1809368229454673,3.72395974647306,1.3821846777365865,2.9859820362264644,0.31376633570903145,4.082861519457026,1.3821846777365865,2.9859820362264644
14,R14,'24-R14,Stor Bane,Stor bane 2,2.458631961350566,4.328238031885268,1.695260184854619,3.2277339603572486,-1.2401338254439231,6.295924346807902,1.695260184854619,3.2277339603572486
15,R15,'24-R15,Stor Bane,Stor bane 2,2.535308977691497,5.601155215999332,1.750042011054176,3.3266363271719612,-0.7853696023805479,5.967129495076207,1.750042011054176,3.3266363271719612
16,R16,'24-R16,Stor Bane,Stor bane 2,2.7001803152601145,16.371689573526147,1.898756574119087,3.5079071756388913,-3.5670209674431907,9.374688437511125,1.898756574119087,3.5079071756388913
17,R17,'24-R17,Stor Bane,Stor bane 2,2.89906028603395,12.390588157026938,2.067022433350818,3.7378808092779936,0.2963231103940256,5.5693397263888444,2.067022433350818,3.7378808092779936
18,R18,'24-R18,Stor Bane,Stor bane 2,3.8148757700421143,3.4775045230862833,3.0029427600688274,4.633208939030475,2.1983345387085462,5.456986944020992,3.0029427600688274,4.633208939030475
19,R1,'25-R1,Stor Bane,Stor bane 2,3.7303273530546077,-0.13673110148046952,2.223541750163971,5.259323131939997,1.3250579774802818,6.192693372682778,2.223541750163971,5.259323131939997
