x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 1,0.0,0.05542599268136574,0.13132805463616393,-0.02776227935288768,0.02776227935288768,-0.04273435322793307,0.04273435322793307,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'25-R2,Lille bane 1,0.05542599268136574,,,0.03397281289621443,0.07687917246651706,-0.005511472315086301,0.11636345767781778,0.03397281289621443,0.07687917246651706
3,R3,Lille Bane,'25-R3,Lille bane 1,0.05542599268136574,0.08208890562180061,0.13235265454387926,0.03363103184990486,0.07722095351282662,0.01840562403248243,0.09244636133024905,0.03363103184990486,0.07722095351282662
4,R4,Lille Bane,'25-R4,Lille bane 1,0.08208890562180061,0.04526767560319926,0.03131233744479213,0.06405674392164484,0.10012106732195639,0.0609135691638027,0.10326424207979853,0.06405674392164484,0.10012106732195639
5,R5,Lille Bane,'25-R5,Lille bane 1,0.04526767560319926,,,0.03506240962441256,0.055472941581985964,0.034527203703505226,0.0560081475028933,0.03506240962441256,0.055472941581985964
6,R6,Lille Bane,'25-R6,Lille bane 1,0.04526767560319926,0.043773860677326935,0.04035418626276603,0.03436222520219931,0.056173126004199214,0.02548931828073344,0.06504603292566508,0.03436222520219931,0.056173126004199214
7,R7,Lille Bane,'25-R7,Lille bane 1,0.043773860677326935,0.04802849944174694,0.0637169693175185,0.033896962888844334,0.05365075846580954,0.02239002341327736,0.06515769794137652,0.033896962888844334,0.05365075846580954
8,R8,Lille Bane,'25-R8,Lille bane 1,0.04802849944174694,0.03789490181081333,0.016812780060023423,0.03846175277622309,0.05759524610727079,0.03123778716699494,0.06481921171649893,0.03846175277622309,0.05759524610727079
9,R9,Lille Bane,'25-R9,Lille bane 1,0.03789490181081333,,,0.029143163240442208,0.04664664038118445,0.009187780619011897,0.06660202300261475,0.029143163240442208,0.04664664038118445
10,R10,Lille Bane,'25-R10,Lille bane 1,0.03789490181081333,,,0.025038724443125278,0.05075107917850138,0.011621159923311444,0.06416864369831521,0.025038724443125278,0.05075107917850138
11,R11,Lille Bane,'25-R11,Lille bane 1,0.03789490181081333,,,0.024476157783880584,0.05131364583774607,-0.014514416280620064,0.09030421990224671,0.024476157783880584,0.05131364583774607
12,R12,Lille Bane,'25-R12,Lille bane 1,0.03789490181081333,,,0.023936245499719767,0.05185355812190689,-0.032163788077737135,0.10795359169936379,0.023936245499719767,0.05185355812190689
13,R13,Lille Bane,'25-R13,Lille bane 1,0.03789490181081333,,,0.023416452972553035,0.05237335064907362,0.010848587377127152,0.0649412162444995,0.023416452972553035,0.05237335064907362
14,R14,Lille Bane,'25-R14,Lille bane 1,0.03789490181081333,,,0.022914685673754098,0.05287511794787256,0.020611058911834342,0.05517874470979231,0.022914685673754098,0.05287511794787256
15,R15,Lille Bane,'25-R15,Lille bane 1,0.03789490181081333,,,0.02242918908026326,0.0533606145413634,0.012567894476367972,0.06322190914525869,0.02242918908026326,0.0533606145413634
16,R16,Lille Bane,'25-R16,Lille bane 1,0.03789490181081333,,,0.021958476081849282,0.053831327539777374,0.019675896039981128,0.05611390758164553,0.021958476081849282,0.053831327539777374
17,R17,Lille Bane,'25-R17,Lille bane 1,0.03789490181081333,,,0.02150127317754009,0.05428853044408656,0.008644196235744743,0.0671456073858819,0.02150127317754009,0.05428853044408656
18,R1,Lille Bane,'26-R1,Lille bane 2,0.03789490181081333,0.04277611334672901,0.11381514410992565,0.010932440924550937,0.06485736269707572,-0.06843967483467871,0.14422947845630535,0.010932440924550937,0.06485736269707572
19,R2,Lille Bane,'26-R2,Lille bane 2,0.04277611334672901,0.031898426052898145,-0.008094424010661322,0.016412963883038784,0.06913926281041924,-0.014235347521767833,0.09978757421522585,0.016412963883038784,0.06913926281041924
