x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,0.0,0.0075599519004918665,0.014756020531320857,-0.02776227935288768,0.02776227935288768,-0.03878646762262732,0.03878646762262732,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 3,0.0075599519004918665,0.01989767007292106,0.03238670945608436,-0.012204921028286204,0.02732482482926994,-0.020477375003601053,0.035597278804584784,-0.012204921028286204,0.02732482482926994
3,R3,Lille Bane,'24-R3,Lille bane 3,0.01989767007292106,0.012047443570953784,0.0006651748751479135,0.005361610810085056,0.034433729335757064,-0.0028545304913389496,0.04264987063718107,0.005361610810085056,0.034433729335757064
4,R4,Lille Bane,'24-R4,Lille bane 3,0.012047443570953784,0.010038217875799551,-0.0015018453444758297,0.00022237602468402895,0.02387251111722354,-0.01866027276413209,0.042755159906039654,0.00022237602468402895,0.02387251111722354
5,R5,Lille Bane,'24-R5,Lille bane 3,0.010038217875799551,0.005377425480273424,-0.007984180339512046,-0.0015323430444583088,0.02160877879605741,-0.01271437127171727,0.032790807023316375,-0.0015323430444583088,0.02160877879605741
6,R6,Lille Bane,'24-R6,Lille bane 3,0.005377425480273424,0.01180771118866465,0.11644763939187452,-0.005301383802331429,0.016056234762878277,-0.039004536758611645,0.04975938771915849,-0.005301383802331429,0.016056234762878277
7,R7,Lille Bane,'24-R7,Lille bane 3,0.01180771118866465,0.0009897094891035425,-0.018656397645598108,0.0007525621689850256,0.022862860208344275,-0.006744057365643636,0.030359479742972935,0.0007525621689850256,0.022862860208344275
8,R8,Lille Bane,'24-R8,Lille bane 3,0.0009897094891035425,-0.006309646919088047,-0.016407515061961198,-0.008684891819851596,0.010664310798058681,-0.013946169162610576,0.01592558814081766,-0.008684891819851596,0.010664310798058681
9,R9,Lille Bane,'24-R9,Lille bane 3,-0.006309646919088047,-0.006343577097279852,-0.007957403891070209,-0.01462279399556237,0.002003500157386276,-0.06424170705854286,0.05162241322036676,-0.01462279399556237,0.002003500157386276
10,R10,Lille Bane,'24-R10,Lille bane 3,-0.006343577097279852,-0.00362251639878537,0.05395052440222657,-0.018848524939194235,0.0061613707446345305,-0.06520763309725476,0.05252047890269505,-0.018848524939194235,0.0061613707446345305
11,R11,Lille Bane,'24-R11,Lille bane 3,-0.00362251639878537,-0.0022462011244224894,0.020239705101660444,-0.016432590585128238,0.009187557787557497,-0.056961915200023465,0.04971688240245272,-0.016432590585128238,0.009187557787557497
12,R12,Lille Bane,'24-R12,Lille bane 3,-0.0022462011244224894,-0.006070304049383505,-0.022227510704266498,-0.015262138250365367,0.010769736001520388,-0.031998643997875074,0.027506241749030096,-0.015262138250365367,0.010769736001520388
