x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 2,0.0,-0.018897940169698164,-0.03688626552314389,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 2,-0.018897940169698164,-0.008127217412685786,0.0027756074709349536,-0.03866281309847623,0.0008669327590799074
3,R3,Lille Bane,'24-R3,Lille bane 2,-0.008127217412685786,-0.0045383814221462825,0.0006651748751481199,-0.02266327667552179,0.0064088418501502195
4,R4,Lille Bane,'24-R4,Lille bane 2,-0.0045383814221462825,,,-0.016363448968416038,0.0072866861241234725
5,R5,Lille Bane,'24-R5,Lille bane 2,-0.0045383814221462825,,,-0.016972753831911522,0.007895990987618957
6,R6,Lille Bane,'24-R6,Lille bane 2,-0.0045383814221462825,-0.006318070441242731,-0.02581455574783291,-0.01755356532309904,0.008476802478806474
7,R7,Lille Bane,'24-R7,Lille bane 2,-0.006318070441242731,0.0007311548039881993,0.009934235074794337,-0.01935674427222332,0.006720603389737858
8,R8,Lille Bane,'24-R8,Lille bane 2,0.0007311548039881993,-0.005259144379679536,-0.012243733890182316,-0.009806875734014665,0.011269185341991061
9,R9,Lille Bane,'24-R9,Lille bane 2,-0.005259144379679536,-0.007188885729658068,-0.09226087642546074,-0.013894040323947724,0.0033757515645886516
10,R10,Lille Bane,'24-R10,Lille bane 2,-0.007188885729658068,-0.01194199421557204,-0.10925970004415422,-0.0199009267619673,0.0055231553026511655
11,R11,Lille Bane,'24-R11,Lille bane 2,-0.01194199421557204,-0.014298507646274938,-0.05171460549034432,-0.024936315214820114,0.001052326783676033
12,R12,Lille Bane,'24-R12,Lille bane 2,-0.014298507646274938,-0.016017092033435633,-0.023102018849198824,-0.027475355831842407,-0.0011216594607074692
13,R13,Lille Bane,'24-R13,Lille bane 2,-0.016017092033435633,,,-0.028447519883794244,-0.0035866641830770204
14,R14,Lille Bane,'24-R14,Lille bane 2,-0.016017092033435633,-0.034031320213357155,-0.07433090988057858,-0.029028507455819925,-0.003005676611051342
15,R15,Lille Bane,'24-R15,Lille bane 2,-0.034031320213357155,-0.033701394219131785,-0.02346283584238791,-0.045510838492434466,-0.022551801934279844
16,R16,Lille Bane,'24-R16,Lille bane 2,-0.033701394219131785,-0.03730963164343129,-0.15782494106199343,-0.04563650457025112,-0.021766283868012454
17,R17,Lille Bane,'24-R17,Lille bane 2,-0.03730963164343129,-0.03943371338058841,-0.06805423268469815,-0.04968247944675299,-0.02493678384010959
18,R18,Lille Bane,'24-R18,Lille bane 2,-0.03943371338058841,-0.008843085914649641,0.006495766220150377,-0.051633949148066294,-0.027233477613110527
19,R1,Lille Bane,'25-R1,Lille bane 1,-0.008843085914649641,,,-0.031239462168985852,0.01355329033968657
20,R2,Lille Bane,'25-R2,Lille bane 1,-0.008843085914649641,,,-0.031567061448800435,0.013880889619501149
21,R3,Lille Bane,'25-R3,Lille bane 1,-0.008843085914649641,-0.016307640503824637,-0.028892188732784298,-0.031890004555274305,0.014203832725975023
22,R4,Lille Bane,'25-R4,Lille bane 1,-0.016307640503824637,,,-0.03496731804695022,0.0023520370393009422
23,R5,Lille Bane,'25-R5,Lille bane 1,-0.016307640503824637,-0.029425051400004787,-0.029830186615123076,-0.0353592798234295,0.002743998815780222
24,R6,Lille Bane,'25-R6,Lille bane 1,-0.029425051400004787,-0.028789974896547308,-0.02205066603898126,-0.03449020863601036,-0.024359894163999217
25,R7,Lille Bane,'25-R7,Lille bane 1,-0.028789974896547308,,,-0.034972834502105865,-0.02260711529098875
26,R8,Lille Bane,'25-R8,Lille bane 1,-0.028789974896547308,,,-0.03607071302210412,-0.021509236770990495
27,R9,Lille Bane,'25-R9,Lille bane 1,-0.028789974896547308,-0.026350172992087313,0.000552787255667566,-0.037023476120438964,-0.020556473672655656
28,R10,Lille Bane,'25-R10,Lille bane 1,-0.026350172992087313,,,-0.03863195787776537,-0.014068388106409261
29,R11,Lille Bane,'25-R11,Lille bane 1,-0.026350172992087313,,,-0.039219657625473324,-0.013480688358701302
30,R12,Lille Bane,'25-R12,Lille bane 1,-0.026350172992087313,,,-0.039781666932816595,-0.01291867905135803
31,R13,Lille Bane,'25-R13,Lille bane 1,-0.026350172992087313,-0.03801081878905755,-0.06918834753541792,-0.04032108649946886,-0.012379259484705763
32,R14,Lille Bane,'25-R14,Lille bane 1,-0.03801081878905755,,,-0.050534302444999395,-0.025487335133115706
33,R15,Lille Bane,'25-R15,Lille bane 1,-0.03801081878905755,,,-0.05111116373228448,-0.024910473845830623
34,R16,Lille Bane,'25-R16,Lille bane 1,-0.03801081878905755,-0.032711478607195615,-0.030495014638540992,-0.05166367315664018,-0.02435796442147492
35,R17,Lille Bane,'25-R17,Lille bane 1,-0.032711478607195615,,,-0.041063257146671264,-0.02435970006771997
36,R1,Lille Bane,'26-R1,Lille bane 1,-0.032711478607195615,,,-0.055689194813337575,-0.009733762401053652
37,R2,Lille Bane,'26-R2,Lille bane 1,-0.032711478607195615,-0.045343544726157634,-0.10481512193764256,-0.05600862085256313,-0.009414336361828098
