x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,Lille bane 2,0.0,-3.6214255216766245,-2.7380448929404277,2.8151242589423253,-3.8043904010679364,3.9548482689901965,-2.7380448929404277,2.8151242589423253
2,R2,'24-R2,Lille Bane,Lille bane 2,-1.872049364772932,0.27794630357040884,-3.792494643270583,0.08673086539017216,-4.585083954149971,0.9181278453618491,-3.792494643270583,0.08673086539017216
3,R3,'24-R3,Lille Bane,Lille bane 2,-0.8094280869130888,0.06653961530154184,-2.2408393745800725,0.6429422419460762,-3.0407518549688373,1.4732451486059839,-2.2408393745800725,0.6429422419460762
4,R4,'24-R4,Lille Bane,Lille bane 2,-0.4528098530955371,,-1.6230295012628626,0.7313298621160813,-3.46321878316298,2.651475854423957,-1.6230295012628626,0.7313298621160813
5,R5,'24-R5,Lille Bane,Lille bane 2,-0.4528098530955371,,-1.682952810208016,0.7927246534805032,-2.7360895133870744,1.884070016986228,-1.682952810208016,0.7927246534805032
6,R6,'24-R6,Lille Bane,Lille bane 2,-0.4528098530955371,-2.548420879467961,-1.7400399009715017,0.8512832302883133,-4.833260205501477,4.12926919155443,-1.7400399009715017,0.8512832302883133
7,R7,'24-R7,Lille Bane,Lille bane 2,-0.6298153402020112,0.9983743394674116,-1.9170605446501954,0.674323732084714,-2.5777946318583433,1.3571142431910266,-1.9170605446501954,0.674323732084714
8,R8,'24-R8,Lille Bane,Lille bane 2,0.07314221628180739,-1.2169084354011206,-0.975894513927611,1.1332921805459861,-1.4669302054036049,1.6372859783708282,-0.975894513927611,1.1332921805459861
9,R9,'24-R9,Lille Bane,Lille bane 2,-0.5245339291463091,-8.81327661513197,-1.3797963624914589,0.3381455830824054,-6.128020227601427,5.413440453752161,-1.3797963624914589,0.3381455830824054
10,R10,'24-R10,Lille Bane,Lille bane 2,-0.7163107499878807,-10.350243319380702,-1.9704210426032764,0.5538436044583595,-6.396020158475224,5.308032497995141,-1.9704210426032764,0.5538436044583595
11,R11,'24-R11,Lille Bane,Lille bane 2,-1.1870971600993596,-5.040016124554714,-2.4627973591586527,0.10528806737799545,-6.323791615278928,4.2312657184808256,-2.4627973591586527,0.10528806737799545
12,R12,'24-R12,Lille Bane,Lille bane 2,-1.419676946443904,-2.2837210335257097,-2.7101341463840023,-0.11210306358656608,-4.316249294506191,1.564581464358361,-2.7101341463840023,-0.11210306358656608
13,R13,'24-R13,Lille Bane,Lille bane 2,-1.5889500538024737,,-2.8046698970114137,-0.35802397861092183,-4.87377681127078,1.8093058556376551,-2.8046698970114137,-0.35802397861092183
14,R14,'24-R14,Lille Bane,Lille bane 2,-1.5889500538024737,-7.163556195822485,-2.861122775061953,-0.30011640873007783,-3.866001298258881,0.7420359321595571,-2.861122775061953,-0.30011640873007783
15,R15,'24-R15,Lille Bane,Lille bane 2,-3.3458768114166593,-2.3189723674654106,-4.449075376390532,-2.2299410900148864,-9.425969163975257,3.142362585878944,-4.449075376390532,-2.2299410900148864
