x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-1.6892573433379465,1.718283574804702,-1.6779758541908496,1.7066123981565484
3,R3,'24-R3,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-3.012426065701812,3.1059917714227003,-1.6779758541908496,1.7066123981565484
4,R4,'24-R4,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.1352059142732416,2.181791658809251,-1.6779758541908496,1.7066123981565484
5,R5,'24-R5,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.107679898458936,2.153059500758281,-1.6779758541908496,1.7066123981565484
6,R6,'24-R6,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.049515599898355,2.09239965728667,-1.6779758541908496,1.7066123981565484
7,R7,'24-R7,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.5962962273646806,2.665500516720698,-1.6779758541908496,1.7066123981565484
8,R8,'24-R8,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.0709042891194462,2.1146976535282747,-1.6779758541908496,1.7066123981565484
9,R9,'24-R9,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-4.280896824172564,4.472353670415141,-1.6779758541908496,1.7066123981565484
10,R10,'24-R10,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.3796060319137946,2.4376115842061896,-1.6779758541908496,1.7066123981565484
11,R11,'24-R11,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-5.6837042289685,6.026216554100716,-1.6779758541908496,1.7066123981565484
12,R12,'24-R12,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.7515170339181383,2.8293675644048832,-1.6779758541908496,1.7066123981565484
13,R13,'24-R13,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-2.3487111613166967,2.405202418983632,-1.6779758541908496,1.7066123981565484
14,R14,'24-R14,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-3.899742037358045,4.057993308273966,-1.6779758541908496,1.7066123981565484
15,R15,'24-R15,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-3.5561324374723147,3.6872561494557976,-1.6779758541908496,1.7066123981565484
16,R16,'24-R16,Stor Bane,Stor bane 1,0.0,,-1.6779758541908496,1.7066123981565484,-6.267719013405171,6.686830777436792,-1.6779758541908496,1.7066123981565484
