x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.04273435322793307,0.04273435322793307,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'25-R2,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.06343405924397057,0.06343405924397057,-0.02776227935288768,0.02776227935288768
3,R3,Lille Bane,'25-R3,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.040819499410478834,0.040819499410478834,-0.02776227935288768,0.02776227935288768
4,R4,Lille Bane,'25-R4,Lille bane 1,0.0,-0.014336654245831453,-0.016628974177319122,-0.02776227935288768,0.02776227935288768,-0.029899501223208134,0.029899501223208134,-0.02776227935288768,0.02776227935288768
5,R5,Lille Bane,'25-R5,Lille bane 1,-0.014336654245831453,-0.009021200425427249,-0.008528858610823902,-0.025337981926073734,-0.0033353265655891723,-0.02583619743929792,-0.002837111052364987,-0.025337981926073734,-0.0033353265655891723
6,R6,Lille Bane,'25-R6,Lille bane 1,-0.009021200425427249,,,-0.014025334025290978,-0.004017066825563521,-0.02626347182486162,0.008221070974007122,-0.014025334025290978,-0.004017066825563521
7,R7,Lille Bane,'25-R7,Lille bane 1,-0.009021200425427249,-0.008868671284605726,-0.007490888942091427,-0.015331727173344092,-0.0027106736775104057,-0.029009650441558985,0.010967249590704487,-0.015331727173344092,-0.0027106736775104057
8,R8,Lille Bane,'25-R8,Lille bane 1,-0.008868671284605726,-0.009120685815340583,-0.010068350212683656,-0.015984493890966768,-0.0017528486782446857,-0.024394144169397176,0.006656801600185723,-0.015984493890966768,-0.0017528486782446857
9,R9,Lille Bane,'25-R9,Lille bane 1,-0.009120685815340583,-0.009829277478573612,-0.01949851743902436,-0.016522005387799327,-0.0017193662428818379,-0.03744532898220703,0.019203957351525865,-0.016522005387799327,-0.0017193662428818379
10,R10,Lille Bane,'25-R10,Lille bane 1,-0.009829277478573612,0.0019673011471595253,0.04629309742096914,-0.02164991996427265,0.001991365007125427,-0.035612136223024934,0.015953581265877707,-0.02164991996427265,0.001991365007125427
11,R11,Lille Bane,'25-R11,Lille bane 1,0.0019673011471595253,-0.0028082856291912857,-0.10075827780093834,-0.009219257852801581,0.013153860147120632,-0.04991538415158262,0.05384998644590167,-0.009219257852801581,0.013153860147120632
12,R12,Lille Bane,'25-R12,Lille bane 1,-0.0028082856291912857,-0.003871757103286127,-0.04125006609162613,-0.014388567702344871,0.008771996443962302,-0.0724321240452299,0.06681555278684732,-0.014388567702344871,0.008771996443962302
13,R13,Lille Bane,'25-R13,Lille bane 1,-0.003871757103286127,0.007181580273186972,0.04691646487675428,-0.015920592777721024,0.008177078571148771,-0.02969910858951551,0.02195559438294326,-0.015920592777721024,0.008177078571148771
14,R14,Lille Bane,'25-R14,Lille bane 1,0.007181580273186972,-0.015538373890746627,-0.02869385028718515,-0.004148056718136231,0.018511217264510174,-0.007055168800907706,0.02141832934728165,-0.004148056718136231,0.018511217264510174
15,R15,Lille Bane,'25-R15,Lille bane 1,-0.015538373890746627,-0.01723700781547448,-0.028284634434097,-0.023402920708110533,-0.007673827073382721,-0.03708182131444507,0.006005073532951811,-0.023402920708110533,-0.007673827073382721
16,R16,Lille Bane,'25-R16,Lille bane 1,-0.01723700781547448,-0.020551384479874243,-0.024329678599066807,-0.025506825706486838,-0.008967189924462127,-0.02933462717687521,-0.005139388454073754,-0.025506825706486838,-0.008967189924462127
17,R17,Lille Bane,'25-R17,Lille bane 1,-0.020551384479874243,-0.01683153538437872,0.025794461430623486,-0.02770770768628921,-0.013395061273459274,-0.045811346449527834,0.0047085774897793475,-0.02770770768628921,-0.013395061273459274
18,R1,Lille Bane,'26-R1,Lille bane 1,-0.01683153538437872,-0.018661810779685845,-0.056982517383430256,-0.039310986033418066,0.00564791526466062,-0.12211873116247601,0.08845566039371858,-0.039310986033418066,0.00564791526466062
19,R2,Lille Bane,'26-R2,Lille bane 1,-0.018661810779685845,-0.03325368468488726,-0.11649892121153635,-0.040956920416780215,0.0036332988574085297,-0.07639238630802778,0.03906876474865609,-0.040956920416780215,0.0036332988574085297
20,R3,Lille Bane,'26-R3,Lille bane 1,-0.03325368468488726,-0.03176383726437941,-0.02140849785012349,-0.054175389465768026,-0.012331979904006491,-0.09224622942400182,0.025738860054227305,-0.054175389465768026,-0.012331979904006491
