x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Stor Bane,'25-R1,Stor bane 2,0.0,0.017339926678666618,0.02634954629263575,-0.020501632920093757,0.020501632920093757
2,R2,Stor Bane,'25-R2,Stor bane 2,0.017339926678666618,,,0.005020082503429205,0.029659770853904033
3,R3,Stor Bane,'25-R3,Stor bane 2,0.017339926678666618,0.034608297252828,0.07245605410840976,0.004697164576907735,0.029982688780425502
4,R4,Stor Bane,'25-R4,Stor bane 2,0.034608297252828,0.031729467752624675,0.027402111189933083,0.023753749943219347,0.04546284456243665
5,R5,Stor Bane,'25-R5,Stor bane 2,0.031729467752624675,0.03867559278494086,0.04588163997376441,0.02285178866468893,0.040607146840560424
6,R6,Stor Bane,'25-R6,Stor bane 2,0.03867559278494086,0.03880388054991997,0.04102222616991662,0.03173360337982756,0.04561758219005416
7,R7,Stor Bane,'25-R7,Stor bane 2,0.03880388054991997,0.03412523319531587,0.010086490489825198,0.03148148127001573,0.04612627982982421
8,R8,Stor Bane,'25-R8,Stor bane 2,0.03412523319531587,0.03030169829497123,0.020040699292082707,0.026849037959636182,0.04140142843099556
9,R9,Stor Bane,'25-R9,Stor bane 2,0.03030169829497123,0.021260430256909692,0.018278285951342538,0.023472977701118114,0.037130418888824346
10,R10,Stor Bane,'25-R10,Stor bane 2,0.021260430256909692,0.02575580804411863,0.05882270868476767,0.013518909552889476,0.029001950960929907
11,R11,Stor Bane,'25-R11,Stor bane 2,0.02575580804411863,,,0.017957117290459103,0.03355449879777816
12,R12,Stor Bane,'25-R12,Stor bane 2,0.02575580804411863,0.02638670143102923,0.03050488293819391,0.01745638333328752,0.03405523275494974
13,R13,Stor Bane,'25-R13,Stor bane 2,0.02638670143102923,,,0.018153180713458204,0.03462022214860026
14,R14,Stor Bane,'25-R14,Stor bane 2,0.02638670143102923,,,0.017677411192082618,0.035095991669975846
15,R15,Stor Bane,'25-R15,Stor bane 2,0.02638670143102923,,,0.01722631882298549,0.035547084039072974
16,R16,Stor Bane,'25-R16,Stor bane 2,0.02638670143102923,0.018926228777997024,0.008220557944227332,0.016796420799822985,0.03597698206223548
17,R17,Stor Bane,'25-R17,Stor bane 2,0.018926228777997024,0.03032439407604815,0.057745616376048615,0.011035558240322188,0.026816899315671862
18,R1,Stor Bane,'26-R1,Stor bane 2,0.03032439407604815,0.0344446516502292,0.08820690740125914,0.013181811101942564,0.047466977050153736
19,R2,Stor Bane,'26-R2,Stor bane 2,0.0344446516502292,0.039289936169852824,0.05550246720109059,0.017681281647800917,0.051208021652657476
