x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'25-R1,Stor Bane,Stor bane 2,0.0,2.5992488683419968,-1.6779758541908496,1.7066123981565484,-2.4644322698489263,2.5267011072998447,-1.6779758541908496,1.7066123981565484
2,R2,'25-R2,Stor Bane,Stor bane 2,1.1871100753821695,,-0.08536603536033471,2.4757919748881196,-3.537842498327315,6.143502390872402,-0.08536603536033471,2.4757919748881196
3,R3,'25-R3,Stor Bane,Stor bane 2,1.1871100753821695,7.294798559925897,-0.10686027711114265,2.497841931996536,-1.3190045313656973,3.756870274600277,-0.10686027711114265,2.497841931996536
4,R4,'25-R4,Stor Bane,Stor bane 2,2.7611129480458407,2.505569584389389,1.607247481376528,3.9280818649923166,1.3542582355417387,4.187495603593994,1.607247481376528,3.9280818649923166
5,R5,'25-R5,Stor Bane,Stor bane 2,2.5895696144104363,4.3323110123169695,1.8853823848446805,3.298623878310991,1.140284330449548,4.059622368506566,1.8853823848446805,3.298623878310991
6,R6,'25-R6,Stor Bane,Stor bane 2,2.9953714060386494,3.992899074986611,2.3315060597259407,3.663543511970202,0.04507721902604622,6.032668732354796,2.3315060597259407,3.663543511970202
7,R7,'25-R7,Stor Bane,Stor bane 2,3.0445276467740756,0.881585982122246,2.3537937238351514,3.739922983178401,1.6397957203297286,4.468673935193346,2.3537937238351514,3.739922983178401
8,R8,'25-R8,Stor Bane,Stor bane 2,2.5210028102694126,1.810842546664393,1.8757212255074984,3.170371613444356,1.5536615577028456,3.497558394299416,1.8757212255074984,3.170371613444356
9,R9,'25-R9,Stor Bane,Stor bane 2,2.2053851000788383,1.6404358255543983,1.6691260793481044,2.7444726465224,1.4326811782086502,2.98397540239308,1.6691260793481044,2.7444726465224
10,R10,'25-R10,Stor Bane,Stor bane 2,1.9335239349818734,6.192380752718174,1.234680166424762,2.6371919654623266,-0.4434872424949443,4.367288628440202,1.234680166424762,2.6371919654623266
11,R11,'25-R11,Stor Bane,Stor bane 2,2.2888171258867995,,1.576777444138755,3.005848110973486,-4.423580522820214,9.472631076238457,1.576777444138755,3.005848110973486
12,R12,'25-R12,Stor Bane,Stor bane 2,2.2888171258867995,3.0881323418552986,1.5379203009109554,3.045267009661634,-0.12227435106376694,4.758113393469654,1.5379203009109554,3.045267009661634
13,R13,'25-R13,Stor Bane,Stor bane 2,2.364811277641632,,1.6112066806865943,3.1240050207854253,-6.076912409769786,11.565269591894879,1.6112066806865943,3.1240050207854253
14,R14,'25-R14,Stor Bane,Stor bane 2,2.364811277641632,,1.574358032020018,3.1614158428051153,0.4129172276255533,4.354647561462688,1.574358032020018,3.1614158428051153
15,R15,'25-R15,Stor Bane,Stor bane 2,2.364811277641632,,1.539170585490801,3.197165463202012,0.33884023765866633,4.431689294874164,1.539170585490801,3.197165463202012
16,R16,'25-R16,Stor Bane,Stor bane 2,2.364811277641632,0.7228452406709662,1.5054394973043284,3.2314587257707084,1.034811685543091,3.7123186859618684,1.5054394973043284,3.2314587257707084
17,R17,'25-R17,Stor Bane,Stor bane 2,1.6792332455372705,5.810941589922791,0.9843156101959627,2.378932915761811,0.24621875253898473,3.1327326063210537,0.9843156101959627,2.378932915761811
18,R1,'26-R1,Stor Bane,Stor bane 2,2.629088926215095,9.13639717885404,1.1655568486686363,4.1137934878433535,-3.8373987698331113,9.530417845235784,1.1655568486686363,4.1137934878433535
19,R2,'26-R2,Stor Bane,Stor bane 2,2.936854981486414,5.613150133768263,1.4851190601778308,4.409357860598595,-0.6439659902498285,6.6467298044499135,1.4851190601778308,4.409357860598595
20,R3,'26-R3,Stor Bane,Stor bane 2,3.3629297140296055,,2.005471310241025,4.738452769589774,-0.627956562184373,7.514094200479238,2.005471310241025,4.738452769589774
