x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 1,0.0,0.027477908082838887,0.05363322163488071,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 1,0.027477908082838887,,,0.007713035154060816,0.047242781011616955
3,R3,Lille Bane,'24-R3,Lille bane 1,0.027477908082838887,0.024564014661061083,0.022362122288182896,0.007342576035871469,0.047613240129806306
4,R4,Lille Bane,'24-R4,Lille bane 1,0.024564014661061083,0.016877179469090873,-0.015738087043969597,0.010805971059868264,0.038322058262253905
5,R5,Lille Bane,'24-R5,Lille bane 1,0.016877179469090873,,,0.003917125680251281,0.029837233257930466
6,R6,Lille Bane,'24-R6,Lille bane 1,0.016877179469090873,,,0.0033588811678806098,0.030395477770301136
7,R7,Lille Bane,'24-R7,Lille bane 1,0.016877179469090873,0.02605975572007737,0.036377848165754095,0.0028227928331898567,0.03093156610499189
8,R8,Lille Bane,'24-R8,Lille bane 1,0.02605975572007737,0.04389853197394742,0.06326067079130185,0.015137521031992408,0.03698199040816233
9,R9,Lille Bane,'24-R9,Lille bane 1,0.04389853197394742,,,0.03513089001194268,0.05266617393595216
10,R10,Lille Bane,'24-R10,Lille bane 1,0.04389853197394742,,,0.031031523227574423,0.05676554072032042
11,R11,Lille Bane,'24-R11,Lille bane 1,0.04389853197394742,0.04556808907952033,0.0703880913105562,0.030469410303855665,0.057327653644039175
12,R12,Lille Bane,'24-R12,Lille bane 1,0.04556808907952033,,,0.0320124137257361,0.059123764433304554
13,R13,Lille Bane,'24-R13,Lille bane 1,0.04556808907952033,0.04355927293211492,0.03346165777694872,0.03147774738571879,0.05965843077332186
14,R14,Lille Bane,'24-R14,Lille bane 1,0.04355927293211492,0.059934998806269346,0.09431898964316388,0.03012886623711862,0.056989679627111225
15,R15,Lille Bane,'24-R15,Lille bane 1,0.059934998806269346,,,0.048231764245675254,0.07163823336686344
16,R16,Lille Bane,'24-R16,Lille bane 1,0.059934998806269346,0.06178494521018371,0.11978638237387734,0.04761643176577422,0.07225356584676447
17,R17,Lille Bane,'24-R17,Lille bane 1,0.06178494521018371,0.06077427761833595,0.04789258020648865,0.04906338328630555,0.07450650713406187
18,R18,Lille Bane,'24-R18,Lille bane 1,0.06077427761833595,0.042585140291531556,0.033905171471973555,0.04826830626133253,0.07328024897533938
19,R1,Lille Bane,'25-R1,Lille bane 1,0.042585140291531556,0.039261166767073086,0.03227808108228865,0.02017057815732631,0.0649997024257368
20,R2,Lille Bane,'25-R2,Lille bane 1,0.039261166767073086,,,0.0204152516867991,0.05810708184734707
21,R3,Lille Bane,'25-R3,Lille bane 1,0.039261166767073086,0.037041309183041146,0.0316680021696743,0.020027084777963566,0.0584952487561826
22,R4,Lille Bane,'25-R4,Lille bane 1,0.037041309183041146,0.06518099176474108,0.07771936936804989,0.020410715459020887,0.053671902907061406
23,R5,Lille Bane,'25-R5,Lille bane 1,0.06518099176474108,0.07276617265396797,0.07361622229902116,0.05517940025842358,0.07518258327105859
24,R6,Lille Bane,'25-R6,Lille bane 1,0.07276617265396797,,,0.0677799941919548,0.07775235111598114
25,R7,Lille Bane,'25-R7,Lille bane 1,0.07276617265396797,0.07009285520265836,0.04583574967363087,0.06646987450299602,0.07906247080493992
26,R8,Lille Bane,'25-R8,Lille bane 1,0.07009285520265836,0.06762734989441066,0.05832946026295767,0.06298726132177535,0.07719844908354137
27,R9,Lille Bane,'25-R9,Lille bane 1,0.06762734989441066,0.06653233869420067,0.05156531233346984,0.060232168600570485,0.07502253118825083
28,R10,Lille Bane,'25-R10,Lille bane 1,0.06653233869420067,,,0.05471503213469597,0.07834964525370536
29,R11,Lille Bane,'25-R11,Lille bane 1,0.06653233869420067,,,0.05410534673829269,0.07895933065010864
30,R12,Lille Bane,'25-R12,Lille bane 1,0.06653233869420067,0.06864884594060358,0.12760401703506868,0.05352420570660055,0.07954047168180078
31,R13,Lille Bane,'25-R13,Lille bane 1,0.06864884594060358,,,0.05530235935569742,0.08199533252550974
32,R14,Lille Bane,'25-R14,Lille bane 1,0.06864884594060358,,,0.05475963793899424,0.08253805394221292
33,R15,Lille Bane,'25-R15,Lille bane 1,0.06864884594060358,,,0.05423734034046389,0.08306035154074327
34,R16,Lille Bane,'25-R16,Lille bane 1,0.06864884594060358,0.04972927216774989,0.0430991726564198,0.05373332086054869,0.08356437102065847
35,R17,Lille Bane,'25-R17,Lille bane 1,0.04972927216774989,,,0.041213830027208,0.05824471430829178
36,R1,Lille Bane,'26-R1,Lille bane 1,0.04972927216774989,0.05272274782910287,0.11239681592322012,0.026691564119281398,0.07276698021621839
37,R2,Lille Bane,'26-R2,Lille bane 1,0.05272274782910287,,,0.029915612465640774,0.07552988319256497
