x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.01703688040463062,0.01703688040463062,-0.016922133617073967,0.016922133617073967
3,R3,Stor Bane,'24-R3,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.03058731946081915,0.03058731946081915,-0.016922133617073967,0.016922133617073967
4,R4,Stor Bane,'24-R4,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.02158331210032742,0.02158331210032742,-0.016922133617073967,0.016922133617073967
5,R5,Stor Bane,'24-R5,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.021302085886812844,0.021302085886812844,-0.016922133617073967,0.016922133617073967
6,R6,Stor Bane,'24-R6,Stor bane 3,0.0,,,-0.016922133617073967,0.016922133617073967,-0.020708096228436227,0.020708096228436227,-0.016922133617073967,0.016922133617073967
7,R7,Stor Bane,'24-R7,Stor bane 3,0.0,0.053209559013315026,0.12858413534920743,-0.016922133617073967,0.016922133617073967,-0.02630594964949409,0.02630594964949409,-0.016922133617073967,0.016922133617073967
8,R8,Stor Bane,'24-R8,Stor bane 3,0.053209559013315026,,,0.040043238022330604,0.06637588000429945,0.035184269413739866,0.07123484861289019,0.040043238022330604,0.06637588000429945
9,R9,Stor Bane,'24-R9,Stor bane 3,0.053209559013315026,,,0.0398363089475014,0.06658280907912865,0.010703697215422088,0.09571542081120796,0.0398363089475014,0.06658280907912865
10,R10,Stor Bane,'24-R10,Stor bane 3,0.053209559013315026,,,0.0386563919822641,0.06776272604436595,0.030727042453305868,0.07569207557332419,0.0386563919822641,0.06776272604436595
11,R11,Stor Bane,'24-R11,Stor bane 3,0.053209559013315026,,,0.038468918609356494,0.06795019941727357,-0.004713441154704637,0.11113255918133469,0.038468918609356494,0.06795019941727357
12,R12,Stor Bane,'24-R12,Stor bane 3,0.053209559013315026,,,0.0382837997896118,0.06813531823701825,0.026472422171770222,0.07994669585485983,0.0382837997896118,0.06813531823701825
13,R13,Stor Bane,'24-R13,Stor bane 3,0.053209559013315026,,,0.03810094897502529,0.06831816905160476,0.0306973961684086,0.07572172185822146,0.03810094897502529,0.06831816905160476
14,R14,Stor Bane,'24-R14,Stor bane 3,0.053209559013315026,,,0.037920284793318305,0.06849883323331175,0.014098085534757873,0.09232103249187218,0.037920284793318305,0.06849883323331175
15,R15,Stor Bane,'24-R15,Stor bane 3,0.053209559013315026,,,0.0377417306247078,0.06867738740192225,0.01765693639248468,0.08876218163414537,0.0377417306247078,0.06867738740192225
16,R16,Stor Bane,'24-R16,Stor bane 3,0.053209559013315026,,,0.03756521422215964,0.06885390380447041,-0.011195732590881032,0.11761485061751109,0.03756521422215964,0.06885390380447041
17,R17,Stor Bane,'24-R17,Stor bane 3,0.053209559013315026,,,0.037390667369786454,0.0690284506568436,0.02421508656597603,0.08220403146065403,0.037390667369786454,0.0690284506568436
18,R18,Stor Bane,'24-R18,Stor bane 3,0.053209559013315026,,,0.037316448392387264,0.06910266963424279,0.032299280199931245,0.07411983782669881,0.037316448392387264,0.06910266963424279
19,R1,Lille Bane,'26-R1,Lille bane 1,0.0,0.007856486968025198,0.11570312453227771,-0.02776227935288768,0.02776227935288768,-0.10654018982618985,0.10654018982618985,-0.02776227935288768,0.02776227935288768
20,R2,Lille Bane,'26-R2,Lille bane 1,0.007856486968025198,0.030928438398231357,0.11133804423435999,-0.019221001665744867,0.03493397560179526,-0.049488795413590324,0.06520176934964073,-0.019221001665744867,0.03493397560179526
