x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-1.6892573433379465,1.718283574804702,-1.6779758541908496,1.7066123981565484
3,R3,'24-R3,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-3.012426065701812,3.1059917714227003,-1.6779758541908496,1.7066123981565484
4,R4,'24-R4,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-2.1352059142732416,2.181791658809251,-1.6779758541908496,1.7066123981565484
5,R5,'24-R5,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-2.107679898458936,2.153059500758281,-1.6779758541908496,1.7066123981565484
6,R6,'24-R6,Stor Bane,Stor bane 3,0.0,,-1.6779758541908496,1.7066123981565484,-2.049515599898355,2.09239965728667,-1.6779758541908496,1.7066123981565484
7,R7,'24-R7,Stor Bane,Stor bane 3,0.0,13.721709742390287,-1.6779758541908496,1.7066123981565484,-2.5962962273646806,2.665500516720698,-1.6779758541908496,1.7066123981565484
8,R8,'24-R8,Stor Bane,Stor bane 3,5.465063350964305,,4.085577776481042,6.862831770111155,3.581055941964717,7.383338453847554,4.085577776481042,6.862831770111155
9,R9,'24-R9,Stor Bane,Stor bane 3,5.465063350964305,,4.064041672468588,6.8849470850948835,1.0761186716108595,10.044585544092378,4.064041672468588,6.8849470850948835
10,R10,'24-R10,Stor Bane,Stor bane 3,5.465063350964305,,3.9413271549356033,7.011136879588609,3.12039905562731,7.86303863722233,3.9413271549356033,7.011136879588609
11,R11,'24-R11,Stor Bane,Stor bane 3,5.465063350964305,,3.9218427502099695,7.031200498996548,-0.47023503231148345,11.754303762636841,3.9218427502099695,7.031200498996548
12,R12,'24-R12,Stor Bane,Stor bane 3,5.465063350964305,,3.9026066418721417,7.051015822546836,2.682592924211069,8.322932552283646,3.9026066418721417,7.051015822546836
13,R13,'24-R13,Stor Bane,Stor bane 3,5.465063350964305,,3.8836097024658622,7.070591977695706,3.1173419642141154,7.866236422996642,3.8836097024658622,7.070591977695706
14,R14,'24-R14,Stor Bane,Stor bane 3,5.465063350964305,,3.864843350381064,7.089937546053271,1.419793220649912,9.671684731439623,3.864843350381064,7.089937546053271
15,R15,'24-R15,Stor Bane,Stor bane 3,5.465063350964305,,3.8462995052184645,7.109060608018769,1.7813741634367775,9.282073257944079,3.8462995052184645,7.109060608018769
16,R16,'24-R16,Stor Bane,Stor bane 3,5.465063350964305,,3.827970547740267,7.127968782830019,-1.1133293610703143,12.481080774136831,3.827970547740267,7.127968782830019
17,R17,'24-R17,Stor Bane,Stor bane 3,5.465063350964305,,3.8098492838436693,7.146669264589822,2.4510652672335542,8.567729955857217,3.8098492838436693,7.146669264589822
18,R18,'24-R18,Stor Bane,Stor bane 3,5.465063350964305,,3.802144908894811,7.154621875928058,3.282656359574543,7.693585541594161,3.802144908894811,7.154621875928058
19,R1,'26-R1,Lille Bane,Lille bane 1,0.0,12.26625316912131,-2.7380448929404277,2.8151242589423253,-10.106108076369068,11.24226336195866,-2.7380448929404277,2.8151242589423253
20,R2,'26-R2,Lille Bane,Lille bane 1,0.7887430143567853,11.777269961195769,-1.9037456071157366,3.555133488877882,-4.828417834111686,6.737436609045333,-1.9037456071157366,3.555133488877882
