x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,-0.00026727632418221237,-0.0015100857582748262,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 2,-0.00026727632418221237,0.015216997257047464,0.015467186853019406,-0.015796816592197116,0.015262263943832692,-0.015921774358404785,0.01538722171004036,-0.015796816592197116,0.015262263943832692
3,R3,Stor Bane,'24-R3,Stor bane 2,0.015216997257047464,0.01610416834201312,0.0778606521279654,0.01216305939968044,0.018270935114414487,-0.010445271584205844,0.040879266098300775,0.01216305939968044,0.018270935114414487
4,R4,Stor Bane,'24-R4,Stor bane 2,0.01610416834201312,,,0.01227190253976212,0.019936434144264124,0.0021697858208844026,0.03003855086314184,0.01227190253976212,0.019936434144264124
5,R5,Stor Bane,'24-R5,Stor bane 2,0.01610416834201312,,,0.011612167667007636,0.020596169017018606,0.002407514479142246,0.029800822204883996,0.011612167667007636,0.020596169017018606
6,R6,Stor Bane,'24-R6,Stor bane 2,0.01610416834201312,0.018291669361937025,0.030432199047853555,0.01103762327171157,0.021170713412314673,0.0031374215564285903,0.02907091512759765,0.01103762327171157,0.021170713412314673
7,R7,Stor Bane,'24-R7,Stor bane 2,0.018291669361937025,0.01753787565980176,0.0063138280746555045,0.013072225452184127,0.023511113271689924,-0.00251426670291403,0.039097605426788085,0.013072225452184127,0.023511113271689924
8,R8,Stor Bane,'24-R8,Stor bane 2,0.01753787565980176,,,0.011968318846070112,0.023107432473533408,0.0040256952357436235,0.031050056083859898,0.011968318846070112,0.023107432473533408
9,R9,Stor Bane,'24-R9,Stor bane 2,0.01753787565980176,0.017783773505406993,0.028747311570255295,0.011495378495008727,0.02358037282459479,-0.02325938211379525,0.05833513343339877,0.011495378495008727,0.02358037282459479
10,R10,Stor Bane,'24-R10,Stor bane 2,0.017783773505406993,0.012680195807579175,-0.009148020291961548,0.009497539251030045,0.026070007759783943,-0.0012512089835744061,0.03681875599438839,0.009497539251030045,0.026070007759783943
