x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,Lille bane 1,0.0,,-2.7380448929404277,2.8151242589423253,-3.8043904010679364,3.9548482689901965,-2.7380448929404277,2.8151242589423253
2,R2,'24-R2,Lille Bane,Lille bane 1,0.0,,-2.7380448929404277,2.8151242589423253,-3.3572948834100336,3.473924782382487,-2.7380448929404277,2.8151242589423253
3,R3,'24-R3,Lille Bane,Lille bane 1,0.0,,-2.7380448929404277,2.8151242589423253,-3.228663925448927,3.3363845704906137,-2.7380448929404277,2.8151242589423253
4,R4,'24-R4,Lille Bane,Lille bane 1,0.0,,-2.7380448929404277,2.8151242589423253,-3.8895469440667796,4.046955165015387,-2.7380448929404277,2.8151242589423253
5,R5,'24-R5,Lille Bane,Lille bane 1,0.0,,-2.7380448929404277,2.8151242589423253,-3.34078294256297,3.4562487099164096,-2.7380448929404277,2.8151242589423253
6,R6,'24-R6,Lille Bane,Lille bane 1,0.0,-13.448034957144872,-2.7380448929404277,2.8151242589423253,-4.995797277328995,5.258501344316668,-2.7380448929404277,2.8151242589423253
7,R7,'24-R7,Lille Bane,Lille bane 1,-4.149644038823852,-5.476908493332799,-6.389960648505411,-1.8557111872692489,-6.791731491625486,-1.4326638085898735,-6.389960648505411,-1.8557111872692489
8,R8,'24-R8,Lille Bane,Lille bane 1,-5.101739252279458,-6.022664794412824,-6.344180757603535,-3.842815472744998,-6.7397677010088035,-3.4349403712586213,-6.344180757603535,-3.842815472744998
9,R9,'24-R9,Lille Bane,Lille bane 1,-5.630431834270977,,-6.516334895546628,-4.73613346422026,-10.957347576996824,0.015162997160556024,-6.516334895546628,-4.73613346422026
10,R10,'24-R10,Lille Bane,Lille bane 1,-5.630431834270977,,-6.879894319124391,-4.364204371654257,-11.041128144636092,0.10935626820449684,-6.879894319124391,-4.364204371654257
11,R11,'24-R11,Lille Bane,Lille bane 1,-5.630431834270977,,-6.930484264407378,-4.312219469512113,-10.555858219681868,-0.43377667305399825,-6.930484264407378,-4.312219469512113
12,R12,'24-R12,Lille Bane,Lille bane 1,-5.630431834270977,,-6.979139788806698,-4.262168984817083,-8.454360523407455,-2.71939278917519,-6.979139788806698,-4.262168984817083
13,R13,'24-R13,Lille Bane,Lille bane 1,-5.630431834270977,,-7.026064595741987,-4.2138492141495565,-8.869683616809187,-2.276039969627097,-7.026064595741987,-4.2138492141495565
14,R14,'24-R14,Lille Bane,Lille bane 1,-5.630431834270977,,-7.071428965906545,-4.167089876816233,-7.942885519362153,-3.2598898408957466,-7.071428965906545,-4.167089876816233
15,R15,'24-R15,Lille Bane,Lille bane 1,-5.630431834270977,-13.94616565662834,-7.115376965180664,-4.121746906936796,-11.64772065761779,0.7966683154283949,-7.115376965180664,-4.121746906936796
16,R16,'24-R16,Lille Bane,Lille bane 1,-6.1335364176922536,,-7.611159313773841,-4.632281128273896,-12.547533987936866,0.75088087548425,-7.611159313773841,-4.632281128273896
17,R17,'24-R17,Lille Bane,Lille bane 1,-6.1335364176922536,,-7.653569729465747,-4.5884831754013256,-10.556201497765173,-1.492186904064019,-7.653569729465747,-4.5884831754013256
18,R18,'24-R18,Lille Bane,Lille bane 1,-6.1335364176922536,,-7.671378999048006,-4.5700792459809625,-7.8671549721546885,-4.367297213216581,-7.671378999048006,-4.5700792459809625
19,R1,'25-R1,Lille Bane,Lille bane 1,-6.1335364176922536,-9.665597219301247,-8.626847051402663,-3.5721905053954672,-10.011650879472956,-2.0882917448824645,-8.626847051402663,-3.5721905053954672
20,R2,'25-R2,Lille Bane,Lille bane 1,-7.587860816806979,1.223705209023529,-9.515771653272175,-5.618872764331096,-13.039821791076067,-1.7940896131068973,-9.515771653272175,-5.618872764331096
21,R3,'25-R3,Lille Bane,Lille bane 1,-6.570583022532617,,-8.433918349327286,-4.66932952257284,-9.880874494916359,-3.1386966104430036,-8.433918349327286,-4.66932952257284
22,R4,'25-R4,Lille Bane,Lille bane 1,-6.570583022532617,-7.2911782454426755,-8.467204610245094,-4.634662149447511,-8.7242068222251,-4.366145142686717,-8.467204610245094,-4.634662149447511
23,R5,'25-R5,Lille Bane,Lille bane 1,-7.128381038248777,-3.107699861041757,-8.097741079253007,-6.148796451078519,-8.145633322998059,-6.099863070132827,-8.097741079253007,-6.148796451078519
24,R6,'25-R6,Lille Bane,Lille bane 1,-3.486461912812533,2.3322840197699035,-3.9673992908884403,-3.0031159697293086,-5.13607436745338,-1.8081639359106005,-3.9673992908884403,-3.0031159697293086
25,R7,'25-R7,Lille Bane,Lille bane 1,-3.0108765661045034,-5.427294235181335,-3.6041100441717266,-2.4139922481553944,-4.925097639396503,-1.058114908215979,-3.6041100441717266,-2.4139922481553944
26,R8,'25-R8,Lille Bane,Lille bane 1,-3.242406802539566,-1.6731573907288855,-3.916364364661018,-2.5637219131002142,-4.727548678326521,-1.7341139910873826,-3.916364364661018,-2.5637219131002142
