x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'25-R1,Stor bane 1,0.0,-0.01017766385601692,-0.02213023808589476,-0.016922133617073967,0.016922133617073967,-0.024953077274303917,0.024953077274303917,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'25-R2,Stor bane 1,-0.01017766385601692,-0.016389928539080986,-0.09888116236391564,-0.02283288074142322,0.0024775530293893785,-0.05799826060822173,0.03764293289618789,-0.02283288074142322,0.0024775530293893785
3,R3,Stor Bane,'25-R3,Stor bane 1,-0.016389928539080986,-0.013877158892049454,-0.006338529786390754,-0.02881691751688486,-0.003962939561277112,-0.04124430233776079,0.008464445259598812,-0.02881691751688486,-0.003962939561277112
4,R4,Stor Bane,'25-R4,Stor bane 1,-0.013877158892049454,-0.01407072453427175,-0.014170473923992307,-0.02489149409354871,-0.0028628236905501956,-0.027435648517662815,-0.00031866926643609426,-0.02489149409354871,-0.0028628236905501956
5,R5,Stor Bane,'25-R5,Stor bane 1,-0.01407072453427175,-0.017971507010914035,-0.030904007264303236,-0.020907998891414252,-0.007233450177129248,-0.02827409940231003,0.00013265033376652982,-0.020907998891414252,-0.007233450177129248
6,R6,Stor Bane,'25-R6,Stor bane 1,-0.017971507010914035,-0.01799528203487259,-0.018456262576351957,-0.02440634382924608,-0.01153667019258199,-0.0470276830712738,0.01108466904944573,-0.02440634382924608,-0.01153667019258199
7,R7,Stor Bane,'25-R7,Stor bane 1,-0.01799528203487259,-0.01788036268496189,-0.01751367116390216,-0.024693647904939137,-0.011296916164806041,-0.03170790154845316,-0.004282662521292014,-0.024693647904939137,-0.011296916164806041
8,R8,Stor Bane,'25-R8,Stor bane 1,-0.01788036268496189,,,-0.024177483654776667,-0.011583241715147113,-0.02734944709314378,-0.00841127827678,-0.024177483654776667,-0.011583241715147113
9,R9,Stor Bane,'25-R9,Stor bane 1,-0.01788036268496189,,,-0.02459940587529995,-0.011161319494623831,-0.026544314036834375,-0.009216411333089406,-0.02459940587529995,-0.011161319494623831
10,R10,Stor Bane,'25-R10,Stor bane 1,-0.01788036268496189,,,-0.02671757914177178,-0.009043146228152001,-0.04211903223071037,0.006358306860786589,-0.02671757914177178,-0.009043146228152001
11,R11,Stor Bane,'25-R11,Stor bane 1,-0.01788036268496189,-0.01964235731782292,-0.11572496089642119,-0.02702302113804099,-0.008737704231882788,-0.08601040088022578,0.050249675510302,-0.02702302113804099,-0.008737704231882788
12,R12,Stor Bane,'25-R12,Stor bane 1,-0.01964235731782292,,,-0.029000495397772892,-0.010284219237872948,-0.04418383174951881,0.004899117113872968,-0.029000495397772892,-0.010284219237872948
13,R13,Stor Bane,'25-R13,Stor bane 1,-0.01964235731782292,-0.02070732678271613,-0.10484715999401782,-0.029289458292134165,-0.009995256343511675,-0.10593232053456385,0.06664760589891801,-0.029289458292134165,-0.009995256343511675
14,R14,Stor Bane,'25-R14,Stor bane 1,-0.02070732678271613,,,-0.030576224038935743,-0.010838429526496518,-0.04090507059795239,-0.0005095829674798685,-0.030576224038935743,-0.010838429526496518
15,R15,Stor Bane,'25-R15,Stor bane 1,-0.02070732678271613,,,-0.030850646847614318,-0.010564006717817941,-0.041609707547899076,0.00019505398246681682,-0.030850646847614318,-0.010564006717817941
16,R16,Stor Bane,'25-R16,Stor bane 1,-0.02070732678271613,,,-0.031117838337107365,-0.010296815228324896,-0.03514112074355079,-0.0062735328218814675,-0.031117838337107365,-0.010296815228324896
17,R17,Stor Bane,'25-R17,Stor bane 1,-0.02070732678271613,,,-0.031378341716135565,-0.010036311849296695,-0.0370872647200548,-0.004327388845377457,-0.031378341716135565,-0.010036311849296695
18,R1,Stor Bane,'26-R1,Stor bane 1,-0.02070732678271613,-0.027572685792991915,-0.12493436847813998,-0.037563086485228034,-0.003851567080204222,-0.08638335950191592,0.044968705936483666,-0.037563086485228034,-0.003851567080204222
19,R2,Stor Bane,'26-R2,Stor bane 1,-0.027572685792991915,-0.009116207574130966,0.062547942851745,-0.04403154022046503,-0.0111138313655188,-0.06394218265912763,0.008796811073143805,-0.04403154022046503,-0.0111138313655188
