x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'25-R1,Stor Bane,Stor bane 1,0.0,-2.188716078847308,-1.6779758541908496,1.7066123981565484,-2.4644322698489263,2.5267011072998447,-1.6779758541908496,1.7066123981565484
2,R2,'25-R2,Stor Bane,Stor bane 1,-1.012604669768291,-9.414964925825299,-2.257418319733262,0.24806247001145643,-5.634841118481382,3.8360402335168686,-2.257418319733262,0.24806247001145643
3,R3,'25-R3,Stor Bane,Stor bane 1,-1.6256344467159178,-0.6318483683101062,-2.840566991339888,-0.3955097478946845,-4.040532991178624,0.8500369965740662,-2.840566991339888,-0.3955097478946845
4,R4,'25-R4,Stor Bane,Stor bane 1,-1.3781314981873516,-1.407054532709473,-2.4584255343963024,-0.2858729718513864,-2.706270950416001,-0.031861849677849996,-2.4584255343963024,-0.2858729718513864
5,R5,'25-R5,Stor Bane,Stor bane 1,-1.3972194560550655,-3.0431359844713013,-2.069094205597022,-0.7207351741554624,-2.7878127744240255,0.013265913221105485,-2.069094205597022,-0.7207351741554624
6,R6,'25-R6,Stor Bane,Stor bane 1,-1.7810982539435916,-1.8286988749310895,-2.41109173268903,-1.1470377988346714,-4.5939014113477565,1.114633161919354,-2.41109173268903,-1.1470377988346714
7,R7,'25-R7,Stor Bane,Stor bane 1,-1.7834333829268023,-1.7361198242870635,-2.439125396490893,-1.1233345616295964,-3.121047732662119,-0.4273504999678823,-2.439125396490893,-1.1233345616295964
8,R8,'25-R8,Stor Bane,Stor bane 1,-1.772145750369436,,-2.388754962215589,-1.1516414245946849,-2.69788373088522,-0.837600244987502,-2.388754962215589,-1.1516414245946849
9,R9,'25-R9,Stor Bane,Stor bane 1,-1.772145750369436,,-2.429930628394894,-1.1099263060005748,-2.619511034637545,-0.9174070391180345,-2.429930628394894,-1.1099263060005748
10,R10,'25-R10,Stor Bane,Stor bane 1,-1.772145750369436,,-2.636382213641486,-0.9002379958961138,-4.124434904377161,0.6378563804384063,-2.636382213641486,-0.9002379958961138
11,R11,'25-R11,Stor Bane,Stor bane 1,-1.772145750369436,-10.927982751159371,-2.6661166101242584,-0.8699641435421901,-8.241531251791212,5.15336057932001,-2.6661166101242584,-0.8699641435421901
12,R12,'25-R12,Stor Bane,Stor bane 1,-1.9450703115415746,,-2.8584016770829,-1.0231517475427054,-4.322194487845065,0.4911137409716382,-2.8584016770829,-1.0231517475427054
13,R13,'25-R13,Stor Bane,Stor bane 1,-1.9450703115415746,-9.953786129195985,-2.8864679392477055,-0.9945469783375072,-10.051447728473573,6.8918731141392575,-2.8864679392477055,-0.9945469783375072
14,R14,'25-R14,Stor Bane,Stor bane 1,-2.0494402322883576,,-3.0113499416815515,-1.0779905376652632,-4.007974972189643,-0.050945315213102305,-3.0113499416815515,-1.0779905376652632
15,R15,'25-R15,Stor Bane,Stor bane 1,-2.0494402322883576,,-3.037962187769838,-1.0508403568444291,-4.075590674865525,0.019507300673171635,-3.037962187769838,-1.0508403568444291
16,R16,'25-R16,Stor Bane,Stor bane 1,-2.0494402322883576,,-3.063866158262829,-1.024398451126507,-3.453084108215776,-0.6253895301849832,-3.063866158262829,-1.024398451126507
17,R17,'25-R17,Stor Bane,Stor bane 1,-2.0494402322883576,,-3.089115059823655,-0.998611613848388,-3.6407955909967815,-0.4318039189661893,-3.089115059823655,-0.998611613848388
18,R1,'26-R1,Stor Bane,Stor bane 1,-2.0494402322883576,-11.744517589993341,-3.686634491291285,-0.38441593092781723,-8.275746982901367,4.5995125958620875,-3.686634491291285,-0.38441593092781723
19,R2,'26-R2,Stor Bane,Stor bane 1,-2.7196029044433745,6.454549504128559,-4.30762245897699,-1.1052300899074163,-6.1940765946639775,0.8835616720858974,-4.30762245897699,-1.1052300899074163
20,R3,'26-R3,Stor Bane,Stor bane 1,-0.9074780934054671,9.338325357557387,-2.369394277684278,0.5763287563469888,-4.788873960713536,3.1321475365937657,-2.369394277684278,0.5763287563469888
