x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 3,0.0,0.01701030372828781,0.09610659486062367,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 3,0.01701030372828781,0.015596309264553595,0.015573462425679793,0.0014807634602729044,0.03253984399630271,0.0013558056940652374,0.03266480176251038,0.0014807634602729044,0.03253984399630271
3,R3,Stor Bane,'24-R3,Stor bane 3,0.015596309264553595,0.015574890992162093,0.014083952869759072,0.012542371407186571,0.01865024712192062,-0.010065959576699713,0.0412585781058069,0.012542371407186571,0.01865024712192062
4,R4,Stor Bane,'24-R4,Stor bane 3,0.015574890992162093,0.014067089091435763,-0.004359753542783441,0.011742625189911092,0.019407156794413093,0.0016405084710333744,0.02950927351329081,0.011742625189911092,0.019407156794413093
5,R5,Stor Bane,'24-R5,Stor bane 3,0.014067089091435763,0.013479893697710306,0.008324013981188132,0.009700483830782342,0.018433694352089185,0.0004110465286208658,0.02772313165425066,0.009700483830782342,0.018433694352089185
6,R6,Stor Bane,'24-R6,Stor bane 3,0.013479893697710306,0.009735185916394065,-0.01386087114781586,0.008724944912940968,0.018234842482479644,0.0006316961121402113,0.0263280912832804,0.008724944912940968,0.018234842482479644
7,R7,Stor Bane,'24-R7,Stor bane 3,0.009735185916394065,0.007523408453300248,-0.028357724409071403,0.0047347211312072585,0.014735650701580873,-0.011016899012005456,0.030487270844793586,0.0047347211312072585,0.014735650701580873
8,R8,Stor Bane,'24-R8,Stor bane 3,0.007523408453300248,0.007161934419426363,0.005275710234046612,0.0021341024296124642,0.012912714476988031,-0.00591547826130051,0.020962295167901004,0.0021341024296124642,0.012912714476988031
9,R9,Stor Bane,'24-R9,Stor bane 3,0.007161934419426363,,,0.0016970023188222511,0.012626866520030474,-0.033553786779184414,0.04787765561803714,0.0016970023188222511,0.012626866520030474
10,R10,Stor Bane,'24-R10,Stor bane 3,0.007161934419426363,0.014501734135446673,0.04881559092840526,-0.0007637413356809944,0.015087610174533719,-0.01171888167555521,0.026042750514407936,-0.0007637413356809944,0.015087610174533719
11,R11,Stor Bane,'24-R11,Stor bane 3,0.014501734135446673,0.015919087015809078,0.09361666234605784,0.006936070579803368,0.02206739769108998,-0.042022833390389217,0.07102630166128256,0.006936070579803368,0.02206739769108998
12,R12,Stor Bane,'24-R12,Stor bane 3,0.015919087015809078,0.01741513334122706,0.02934595320924688,0.008063794149207236,0.02377437988241092,-0.007613907355915404,0.03945208138753356,0.008063794149207236,0.02377437988241092
13,R13,Stor Bane,'24-R13,Stor bane 3,0.01741513334122706,0.01392929785547765,-0.0021659797935425634,0.009648404322620477,0.02518186235983364,-0.0009927306933354973,0.03582299737578962,0.009648404322620477,0.02518186235983364
14,R14,Stor Bane,'24-R14,Stor bane 3,0.01392929785547765,0.01126407790791701,-0.05144965254211846,0.0065080220705146805,0.021350573640440622,-0.02282693679615799,0.05068553250711329,0.0065080220705146805,0.021350573640440622
15,R15,Stor Bane,'24-R15,Stor bane 3,0.01126407790791701,0.011772166137628479,0.0206994372073604,0.0036271965065975877,0.01890095930923643,-0.02164575675738619,0.04417391257322021,0.0036271965065975877,0.01890095930923643
16,R16,Stor Bane,'24-R16,Stor bane 3,0.011772166137628479,0.010982514169548633,-0.03981828719698495,0.003982868012354895,0.019561464262902062,-0.05118789444018042,0.07473222671543737,0.003982868012354895,0.019561464262902062
