x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,0.004871770548972362,0.02752503928694594,-0.016922133617073967,0.016922133617073967,-0.040223113165658846,0.040223113165658846,-0.016922133617073967,0.016922133617073967
2,R2,Stor Bane,'24-R2,Stor bane 2,0.004871770548972362,0.009844881299758699,0.009925235122166694,-0.010657769719042543,0.02040131081698727,-0.01078272748525021,0.020526268583194934,-0.010657769719042543,0.02040131081698727
3,R3,Stor Bane,'24-R3,Stor bane 2,0.009844881299758699,0.00926622786664375,-0.031014166710499495,0.006790943442391674,0.012898819157125723,-0.01581738754149461,0.03550715014101201,0.006790943442391674,0.012898819157125723
4,R4,Stor Bane,'24-R4,Stor bane 2,0.00926622786664375,0.007711440097947071,-0.011289616691795313,0.005433962064392749,0.013098493668894751,-0.004668154654484969,0.02320061038777247,0.005433962064392749,0.013098493668894751
5,R5,Stor Bane,'24-R5,Stor bane 2,0.007711440097947071,,,0.00334483483729365,0.012078045358600492,-0.005944602464867826,0.02136748266076197,0.00334483483729365,0.012078045358600492
6,R6,Stor Bane,'24-R6,Stor bane 2,0.007711440097947071,0.002846715635069959,-0.025373470147223392,0.002755731229630314,0.012667148966263829,-0.005212401963900603,0.020635282159794745,0.002755731229630314,0.012667148966263829
7,R7,Stor Bane,'24-R7,Stor bane 2,0.002846715635069959,0.0027027103452058193,0.0004933504829380446,-0.0022952447339879356,0.007988676004127854,-0.0179399179847487,0.023633349254888615,-0.0022952447339879356,0.007988676004127854
8,R8,Stor Bane,'24-R8,Stor bane 2,0.0027027103452058193,0.0016620076704371612,-0.0035411841976779462,-0.002803076093799435,0.008208496784211074,-0.010783309861765898,0.016188730552177538,-0.002803076093799435,0.008208496784211074
9,R9,Stor Bane,'24-R9,Stor bane 2,0.0016620076704371612,0.004369623963429161,0.14769702286409098,-0.003883526779040489,0.0072075421199148115,-0.039064610433563726,0.042388625774438055,-0.003883526779040489,0.0072075421199148115
10,R10,Stor Bane,'24-R10,Stor bane 2,0.004369623963429161,0.010157590392238963,0.037080577593528286,-0.0035760427258513475,0.012315290652709669,-0.014519592520442279,0.023258840447300602,-0.0035760427258513475,0.012315290652709669
11,R11,Stor Bane,'24-R11,Stor bane 2,0.010157590392238963,0.008800589425476249,-0.0653100319088381,0.0025777229012054594,0.017737457883272467,-0.046368880045311076,0.066684060829789,0.0025777229012054594,0.017737457883272467
12,R12,Stor Bane,'24-R12,Stor bane 2,0.008800589425476249,0.0023792358724726223,-0.048658811159297696,0.0009321016913778762,0.016669077159574622,-0.014736812667813206,0.03233799151876571,0.0009321016913778762,0.016669077159574622
13,R13,Stor Bane,'24-R13,Stor bane 2,0.0023792358724726223,0.001297105255763497,-0.0036859294211865692,-0.005398027987601184,0.01015649973254643,-0.01603307554721845,0.020791547292163693,-0.005398027987601184,0.01015649973254643
14,R14,Stor Bane,'24-R14,Stor bane 2,0.001297105255763497,-0.000607436575067583,-0.04533229172819446,-0.006131617446795236,0.008725827958322229,-0.035460633691037,0.038054844202564,-0.006131617446795236,0.008725827958322229
15,R15,Stor Bane,'24-R15,Stor bane 2,-0.000607436575067583,3.4672701927713134e-06,0.01071854820967975,-0.008250976553924863,0.007036103403789697,-0.03351881703180569,0.03230394388167053,-0.008250976553924863,0.007036103403789697
16,R16,Stor Bane,'24-R16,Stor bane 2,3.4672701927713134e-06,-0.0017610886685502027,-0.11511039211192382,-0.007791674789679594,0.0077986093300651356,-0.06295731657507528,0.06296425111546083,-0.007791674789679594,0.0077986093300651356
17,R17,Stor Bane,'24-R17,Stor bane 2,-0.0017610886685502027,-0.004897848749596937,-0.033249725758669045,-0.009843452584749845,0.00632127524764944,-0.02736903091590167,0.023846853578801265,-0.009843452584749845,0.00632127524764944
