x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Lille Bane,'24-R1,,0.0,,,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,,0.0,,,-0.02776227935288768,0.02776227935288768
3,R3,Lille Bane,'24-R3,,0.0,,,-0.02776227935288768,0.02776227935288768
4,R4,Lille Bane,'24-R4,,0.0,,,-0.02776227935288768,0.02776227935288768
5,R5,Lille Bane,'24-R5,,0.0,,,-0.02776227935288768,0.02776227935288768
6,R6,Lille Bane,'24-R6,,0.0,,,-0.02776227935288768,0.02776227935288768
7,R7,Lille Bane,'24-R7,,0.0,,,-0.02776227935288768,0.02776227935288768
8,R8,Lille Bane,'24-R8,,0.0,,,-0.02776227935288768,0.02776227935288768
9,R9,Lille Bane,'24-R9,,0.0,,,-0.02776227935288768,0.02776227935288768
10,R10,Lille Bane,'24-R10,,0.0,,,-0.02776227935288768,0.02776227935288768
11,R11,Lille Bane,'24-R11,,0.0,,,-0.02776227935288768,0.02776227935288768
12,R12,Lille Bane,'24-R12,,0.0,,,-0.02776227935288768,0.02776227935288768
13,R13,Lille Bane,'24-R13,,0.0,,,-0.02776227935288768,0.02776227935288768
14,R14,Lille Bane,'24-R14,,0.0,,,-0.02776227935288768,0.02776227935288768
15,R15,Lille Bane,'24-R15,,0.0,,,-0.02776227935288768,0.02776227935288768
16,R16,Lille Bane,'24-R16,,0.0,,,-0.02776227935288768,0.02776227935288768
17,R17,Lille Bane,'24-R17,Lille bane 3,0.0,,,-0.02776227935288768,0.02776227935288768
18,R18,Lille Bane,'24-R18,Lille bane 3,0.0,,,-0.02776227935288768,0.02776227935288768
19,R1,Stor Bane,'25-R1,Stor bane 2,0.0,0.07437306152852977,0.11301641950320729,-0.020501632920093757,0.020501632920093757
20,R2,Stor Bane,'25-R2,Stor bane 2,0.07437306152852977,,,0.062053217353292354,0.08669290570376718
21,R3,Stor Bane,'25-R3,Stor bane 2,0.07437306152852977,0.08902303174742728,0.12113193909367084,0.061730299426770885,0.08701582363028865
22,R4,Stor Bane,'25-R4,Stor bane 2,0.08902303174742728,0.07403386585692229,0.05150267205716148,0.07816848443781862,0.09987757905703593
23,R5,Stor Bane,'25-R5,Stor bane 2,0.07403386585692229,0.08046327947379955,0.08713328004305698,0.06515618676898655,0.08291154494485803
24,R6,Stor Bane,'25-R6,Stor bane 2,0.08046327947379955,0.07702936630207521,0.01765031136894185,0.07352129006868625,0.08740526887891285
25,R7,Stor Bane,'25-R7,Stor bane 2,0.07702936630207521,0.06756877225093215,0.01896053807557227,0.06970696702217097,0.08435176558197946
26,R8,Stor Bane,'25-R8,Stor bane 2,0.06756877225093215,0.05819283196253185,0.03303116443289954,0.06029257701525246,0.07484496748661183
27,R9,Stor Bane,'25-R9,Stor bane 2,0.05819283196253185,0.05535764535628149,0.054422496043435485,0.05136411136867874,0.06502155255638498
28,R10,Stor Bane,'25-R10,Stor bane 2,0.05535764535628149,,,0.047616124652261275,0.0630991660603017
29,R11,Stor Bane,'25-R11,Stor bane 2,0.05535764535628149,0.057742137720087267,0.20517109983705803,0.04711191822822825,0.06360337248433473
30,R12,Stor Bane,'25-R12,Stor bane 2,0.057742137720087267,0.06719514838180127,0.12388744740271937,0.049083575476325844,0.06640069996384869
31,R13,Stor Bane,'25-R13,Stor bane 2,0.06719514838180127,,,0.05869119039934151,0.07569910636426103
32,R14,Stor Bane,'25-R14,Stor bane 2,0.06719514838180127,0.05642700245125124,0.01048757667780395,0.05822976080362147,0.07616053595998107
33,R15,Stor Bane,'25-R15,Stor bane 2,0.05642700245125124,0.04892595438124595,0.019563792934550052,0.04787269863945946,0.06498130626304302
34,R16,Stor Bane,'25-R16,Stor bane 2,0.04892595438124595,0.03844527919133863,0.017596577924347025,0.04078059566744427,0.057071313095047635
35,R17,Stor Bane,'25-R17,Stor bane 2,0.03844527919133863,0.03589615736099072,0.028583167687059007,0.03121945058890518,0.04567110779377208
36,R1,Stor Bane,'26-R1,Stor bane 2,0.03589615736099072,0.04338898248266784,0.14294074847525773,0.018907810006966945,0.0528845047150145
37,R2,Stor Bane,'26-R2,Stor bane 2,0.04338898248266784,0.05312293229748531,0.08622885890592966,0.02676179566671668,0.060016169298619006
