x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.8043904010679364,3.9548482689901965,-2.7380448929404277,2.8151242589423253
2,R2,'24-R2,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.3572948834100336,3.473924782382487,-2.7380448929404277,2.8151242589423253
3,R3,'24-R3,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.228663925448927,3.3363845704906137,-2.7380448929404277,2.8151242589423253
4,R4,'24-R4,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.8895469440667796,4.046955165015387,-2.7380448929404277,2.8151242589423253
5,R5,'24-R5,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.34078294256297,3.4562487099164096,-2.7380448929404277,2.8151242589423253
6,R6,'24-R6,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-4.995797277328995,5.258501344316668,-2.7380448929404277,2.8151242589423253
7,R7,'24-R7,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.1015901846455085,3.2008679921123218,-2.7380448929404277,2.8151242589423253
8,R8,'24-R8,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-2.9558133130734854,3.045842738225235,-2.7380448929404277,2.8151242589423253
9,R9,'24-R9,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-6.171406737898377,6.577319901470879,-2.7380448929404277,2.8151242589423253
10,R10,'24-R10,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-6.187283614752093,6.59535706155614,-2.7380448929404277,2.8151242589423253
11,R11,'24-R11,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-5.705893000456497,6.051166061187807,-2.7380448929404277,2.8151242589423253
12,R12,'24-R12,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-3.782183255156879,3.9308554102684745,-2.7380448929404277,2.8151242589423253
13,R13,'24-R13,Lille Bane,,0.0,,-2.7380448929404277,2.8151242589423253,-4.118410433794873,4.295308882995896,-2.7380448929404277,2.8151242589423253
