x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R17,Lille Bane,'24-R17,,,,,,,,,,
2,R18,Lille Bane,'24-R18,,,,,,,,,,
3,R19,Lille Bane,'24-R19,,,,,,,,,,
4,R20,Lille Bane,'24-R20,,,,,,,,,,
5,R21,Lille Bane,'24-R21,,,,,,,,,,
6,R22,Lille Bane,'24-R22,,,,,,,,,,
7,R23,Lille Bane,'24-R23,,,,,,,,,,
8,R24,Lille Bane,'24-R24,,,,,,,,,,
9,R25,Lille Bane,'24-R25,,,,,,,,,,
10,R26,Lille Bane,'24-R26,,,,,,,,,,
11,R27,Lille Bane,'24-R27,,,,,,,,,,
12,R28,Lille Bane,'24-R28,,,,,,,,,,
13,R29,Lille Bane,'24-R29,,,,,,,,,,
14,R30,Lille Bane,'24-R30,,,,,,,,,,
15,R31,Lille Bane,'24-R31,,,,,,,,,,
16,R32,Lille Bane,'24-R32,,,,,,,,,,
17,R17,Lille Bane,'24-R17,Lille bane 3,6.8782441867170055e-18,-0.009811971249083298,-0.06767901016270628,-0.018398665080911855,0.01839866508091187,-0.04832091834324518,0.048320918343245194,-0.018398665080911855,0.01839866508091187
18,R18,Lille Bane,'24-R18,Lille bane 3,-0.009726209268920954,,,-0.02675735255316799,0.00730493401532608,-0.027769073741361543,0.008316655203519634,-0.02675735255316799,0.00730493401532608
