x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,-1.734723475976807e-18,,,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,Stor bane 2,-1.3679383252830106e-15,,,-0.016443208138117997,0.016443208138115263,-0.024736363051701873,0.02473636305169914,-0.016443208138117997,0.016443208138115263
3,R3,Stor Bane,'23-R3,Stor bane 2,-0.0005125595998168762,0.004467875367528808,0.009168404202296265,-0.016945533561141243,0.01592041436150749,-0.022275809814199316,0.021250690614565564,-0.016945533561141243,0.01592041436150749
4,R4,Stor Bane,'23-R4,Stor bane 2,0.004467875367528808,0.01189220007341229,0.0456131046745273,-0.006424229408437354,0.015359980143494972,-0.020447115695247976,0.029382866430305594,-0.006424229408437354,0.015359980143494972
5,R5,Stor Bane,'23-R5,Stor bane 2,0.01189220007341229,0.014523696333801277,0.014611085972687782,0.0018548492261641434,0.021929550920660436,0.0016660399768389268,0.022118360169985654,0.0018548492261641434,0.021929550920660436
6,R6,Stor Bane,'23-R6,Stor bane 2,0.01452369633380128,0.014587119813789438,0.04006856967224463,0.01147101961977041,0.017576373047832147,-0.034669359234067915,0.06371675190167048,0.01147101961977041,0.017576373047832147
7,R8,Stor Bane,'23-R8,Stor bane 2,0.014587119813789438,,,0.010094000075789918,0.019080239551788957,0.005493062903743863,0.02368117672383501,0.010094000075789918,0.019080239551788957
8,R9,Stor Bane,'23-R9,Stor bane 2,0.014615986557699434,0.014365514088428448,0.011402313452990887,0.009622196542737764,0.019609776572661105,-0.01021635909041966,0.03944833220581853,0.009622196542737764,0.019609776572661105
9,R10,Stor Bane,'23-R10,Stor bane 2,0.014365514088428446,0.008491679570717869,0.008129255909375735,0.006790671327653937,0.021940356849202956,0.006553772823612519,0.022177255353244375,0.006790671327653937,0.021940356849202956
10,R11,Stor Bane,'23-R11,Stor bane 2,0.00849167957071787,0.008410210234363199,-0.0016647762315529988,0.00548281581163956,0.011500543329796182,-0.03181601657008979,0.04879937571152553,0.00548281581163956,0.011500543329796182
11,R12,Stor Bane,'23-R12,Stor bane 2,0.0084102102343632,0.009610462256602786,0.04699298934141752,0.004632788986714596,0.012187631482011805,-0.013355821193787306,0.030176241662513707,0.004632788986714596,0.012187631482011805
12,R13,Stor Bane,'23-R13,Stor bane 2,0.009610462256602786,,,0.005239940836204313,0.01398098367700126,0.001178514961223993,0.01804240955198158,0.005239940836204313,0.01398098367700126
13,R14,Stor Bane,'23-R14,Stor bane 2,0.00958322870833237,0.009664853472839156,0.04862338851232104,0.004663651272286462,0.014502806144378277,-0.0799922506391955,0.09915870805586023,0.004663651272286462,0.014502806144378277
14,R15,Stor Bane,'23-R15,Stor bane 2,0.009664853472839154,,,0.00424349315347215,0.01508621379220616,-0.015427874797875073,0.03475758174355338,0.00424349315347215,0.01508621379220616
15,R16,Stor Bane,'23-R16,Stor bane 2,0.009572486588960429,,,0.00369087250946495,0.015454100668455907,-0.007427805388803546,0.026572778566724402,0.00369087250946495,0.015454100668455907
16,R17,Stor Bane,'23-R17,Stor bane 2,0.009561384359930222,0.007352262156882823,-0.0035930367331129896,0.003521747927007556,0.015601020792852888,-0.00504542012664694,0.024168188846507385,0.003521747927007556,0.015601020792852888
17,R1,Stor Bane,'24-R1,Stor bane 2,0.007352262156882823,0.02061595325634242,0.08041643880831277,-0.007069594519459089,0.021774118833224734,-0.026646995151105905,0.041351519464871554,-0.007069594519459089,0.021774118833224734
18,R2,Stor Bane,'24-R2,Stor bane 2,0.02061595325634242,,,0.007662527153820493,0.033569379358864344,0.007512491236495833,0.033719415276189005,0.007662527153820493,0.033569379358864344
19,R3,Stor Bane,'24-R3,Stor bane 2,0.019006292662673882,,,0.00631754762714571,0.031695037698202054,-0.007088928882021103,0.04510151420736887,0.00631754762714571,0.031695037698202054
20,R4,Stor Bane,'24-R4,Stor bane 2,0.018061773639570112,,,0.0052069876489456764,0.030916559630194546,0.0006705111412769679,0.035453036137863256,0.0052069876489456764,0.030916559630194546
21,R5,Stor Bane,'24-R5,Stor bane 2,0.015270880068673992,,,0.0022700783804044215,0.028271681756943563,-0.0029602689607861592,0.03350202909813414,0.0022700783804044215,0.028271681756943563
22,R6,Stor Bane,'24-R6,Stor bane 2,0.015282651506757491,,,0.002081040863131276,0.02848426215038371,-0.002844216072065777,0.03340951908558076,0.002081040863131276,0.02848426215038371
23,R7,Stor Bane,'24-R7,Stor bane 2,0.017125293076603303,-0.00641562427431491,-0.01727581711504352,0.003849758163603032,0.030400827989603574,-0.00040914302140375447,0.03465972917461036,0.003849758163603032,0.030400827989603574
24,R8,Stor Bane,'24-R8,Stor bane 2,-0.006415624274314911,,,-0.015349795567426662,0.0025185470187968403,-0.02068218875856973,0.007850940209939906,-0.015349795567426662,0.0025185470187968403
25,R9,Stor Bane,'24-R9,Stor bane 2,-0.006748262348984415,-0.01000205166903904,-0.07227732455483883,-0.015956973638857792,0.002460448940888962,-0.04832948637683327,0.03483296167886444,-0.015956973638857792,0.002460448940888962
26,R10,Stor Bane,'24-R10,Stor bane 2,-0.01000205166903904,-0.0008006113273508805,0.02400438308807636,-0.020688477600042124,0.0006843742619640422,-0.030793284339542155,0.010789181001464074,-0.020688477600042124,0.0006843742619640422
27,R11,Stor Bane,'24-R11,Stor bane 2,-0.0008006113273508801,,,-0.01020941710584514,0.00860819445114338,-0.05727722711265776,0.055676004457955994,-0.01020941710584514,0.00860819445114338
28,R12,Stor Bane,'24-R12,Stor bane 2,-0.0008331397154010652,-0.0016166367894374777,-0.005443209039307239,-0.010520662705610717,0.008854383274808588,-0.025325465695707244,0.023659186264905114,-0.010520662705610717,0.008854383274808588
29,R13,Stor Bane,'24-R13,Stor bane 2,-0.0016166367894374773,0.0009609477575482805,0.0081102216366009,-0.010809900620605712,0.007576627041730758,-0.020167493946137167,0.01693422036726221,-0.010809900620605712,0.007576627041730758
30,R14,Stor Bane,'24-R14,Stor bane 2,0.0009609477575482813,0.0038204064101861027,0.057018983479759415,-0.007350436580808887,0.00927233209590545,-0.03638617878203835,0.03830807429713492,-0.007350436580808887,0.00927233209590545
31,R15,Stor Bane,'24-R15,Stor bane 2,0.003820406410186104,,,-0.004605424219216354,0.012246237039588562,-0.029273763703608985,0.036914576523981196,-0.004605424219216354,0.012246237039588562
32,R16,Stor Bane,'24-R16,Stor bane 2,0.0038295071409397753,0.00453983514251593,0.0397898228073006,-0.004904477792943569,0.012563492074823119,-0.05892288655123818,0.06658190083311773,-0.004904477792943569,0.012563492074823119
33,R17,Stor Bane,'24-R17,Stor bane 2,0.004539835142515931,,,-0.004412538471776153,0.013492208756808014,-0.020597207576286598,0.029676877861318462,-0.004412538471776153,0.013492208756808014
34,R18,Stor Bane,'24-R18,Stor bane 2,0.004558234235515109,-0.010216073973591035,-0.04030495260602567,-0.004504263792570453,0.01362073226360067,-0.011411387368739357,0.020527855839769574,-0.004504263792570453,0.01362073226360067
