x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,-0.015047138991018633,-0.03330524266309603,-0.04797913381401209,-0.0262106146013275,-0.0038836633807097683,-0.0313180853931951,0.0012238074111578304,-0.0262106146013275,-0.0038836633807097683
2,R2,Lille Bane,'24-R2,Lille bane 3,-0.03056472903359541,-0.030307563215417464,-0.029097807217929983,-0.04526725855686988,-0.01586219951032094,-0.06059544260927996,-0.0005340154579108573,-0.04526725855686988,-0.01586219951032094
3,R3,Lille Bane,'24-R3,Lille bane 3,-0.031144710685560538,-0.026908988417157755,-0.012745922101387919,-0.04330296924334173,-0.018986452127779344,-0.05630209810211553,-0.005987323269005539,-0.04330296924334173,-0.018986452127779344
4,R4,Lille Bane,'24-R4,Lille bane 3,-0.02616328710397569,,,-0.03831700051488002,-0.014009573693071365,-0.05335693318267558,0.0010303589747241992,-0.03831700051488002,-0.014009573693071365
5,R5,Lille Bane,'24-R5,Lille bane 3,-0.028179049393234103,,,-0.03855340927732715,-0.017804689509141054,-0.04929726842287396,-0.007060830363594242,-0.03855340927732715,-0.017804689509141054
6,R6,Lille Bane,'24-R6,Lille bane 3,-0.02135600748458103,,,-0.03876848435401631,-0.003943530615145751,-0.06429862125093397,0.021586606281771913,-0.03876848435401631,-0.003943530615145751
7,R7,Lille Bane,'24-R7,Lille bane 3,-0.029186465353587383,,,-0.038658797055707676,-0.01971413365146709,-0.04668116551486128,-0.011691765192313484,-0.038658797055707676,-0.01971413365146709
8,R8,Lille Bane,'24-R8,Lille bane 3,-0.02726582976240371,,,-0.03838267115115842,-0.016148988373649004,-0.05059193932279731,-0.003939720202010111,-0.03838267115115842,-0.016148988373649004
9,R9,Lille Bane,'24-R9,Lille bane 3,-0.01719036800194212,-0.006775885511242408,0.050011687689401896,-0.03894046247079317,0.004559726466908928,-0.07238860286023513,0.038007866856350894,-0.03894046247079317,0.004559726466908928
10,R10,Lille Bane,'24-R10,Lille bane 3,-0.0020963511070561797,,,-0.025846018516183185,0.021653316302070826,-0.06660613027444172,0.06241342806032936,-0.025846018516183185,0.021653316302070826
11,R11,Lille Bane,'24-R11,Lille bane 3,-0.004846797960843027,-1.1088822197281856e-05,0.029089797956032726,-0.026749655685069696,0.017056059763383643,-0.06372687317299258,0.054033277251306536,-0.026749655685069696,0.017056059763383643
12,R12,Lille Bane,'24-R12,Lille bane 3,-0.014673807776887395,,,-0.027648366525747342,-0.00169924902802745,-0.046803448008262236,0.01745583245448745,-0.027648366525747342,-0.00169924902802745
13,R13,Lille Bane,'24-R13,Lille bane 3,-0.009279904753427614,-0.002494508328887309,0.03749361302203269,-0.025018398944419772,0.006458589437564544,-0.05111185890377229,0.03255204939691707,-0.025018398944419772,0.006458589437564544
14,R14,Lille Bane,'24-R14,Lille bane 3,-0.008746933082298649,-0.001091126321603849,0.04150189786719061,-0.021406664732201278,0.003912798567603978,-0.04125028872481394,0.02375642256021664,-0.021406664732201278,0.003912798567603978
15,R15,Lille Bane,'24-R15,Lille bane 3,0.0041145786623748085,,,-0.009591959179957076,0.01782111650470669,-0.03435749685187817,0.04258665417662779,-0.009591959179957076,0.01782111650470669
16,R16,Lille Bane,'24-R16,Lille bane 3,0.033236071647775645,0.03996101819237906,0.09881827774154495,0.009941448549954539,0.05653069474559675,-0.04013861970179057,0.10661076299734186,0.009941448549954539,0.05653069474559675
17,R17,Lille Bane,'24-R17,Lille bane 3,0.015372546472930279,0.02190416411539237,0.07474249261410115,8.750834371126608e-05,0.03065758460214929,-0.03092439265151043,0.06166948559737099,8.750834371126608e-05,0.03065758460214929
18,R18,Lille Bane,'24-R18,Lille bane 3,-0.011740043274301592,,,-0.02016198810074879,-0.0033180984478543944,-0.026364645319636535,0.0028845587710333506,-0.02016198810074879,-0.0033180984478543944
