x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R17,Lille Bane,'24-R17,,,,,,,,,,
2,R18,Lille Bane,'24-R18,,,,,,,,,,
3,R19,Lille Bane,'24-R19,,,,,,,,,,
4,R20,Lille Bane,'24-R20,,,,,,,,,,
5,R21,Lille Bane,'24-R21,,,,,,,,,,
6,R22,Lille Bane,'24-R22,,,,,,,,,,
7,R23,Lille Bane,'24-R23,,,,,,,,,,
8,R24,Lille Bane,'24-R24,,,,,,,,,,
9,R25,Lille Bane,'24-R25,,,,,,,,,,
10,R26,Lille Bane,'24-R26,,,,,,,,,,
11,R27,Lille Bane,'24-R27,,,,,,,,,,
12,R28,Lille Bane,'24-R28,,,,,,,,,,
13,R13,Lille Bane,'24-R13,Lille bane 3,3.469446951953614e-18,,,-2.132923869057273e-05,2.132923869057967e-05,-0.037987340790708465,0.03798734079070848,-2.132923869057273e-05,2.132923869057967e-05
14,R14,Lille Bane,'24-R14,Lille bane 3,1.3768749951825804e-18,,,-0.0036481070018244705,0.003648107001824473,-0.0221826956948184,0.0221826956948184,-0.0036481070018244705,0.003648107001824473
15,R15,Lille Bane,'24-R15,Lille bane 3,-5.7671480904519384e-11,0.0015832187346034865,0.2825974193700575,-0.005104477463946811,0.0051044773486038485,-0.06883723487349021,0.06883723475814725,-0.005104477463946811,0.0051044773486038485
16,R16,Lille Bane,'24-R16,Lille bane 3,0.0015832187346034876,0.0030578937675206164,0.2089100102352553,-0.00463530083514966,0.007801738304356634,-0.07307485210131881,0.07624128957052578,-0.00463530083514966,0.007801738304356634
17,R17,Lille Bane,'24-R17,Lille bane 3,0.0030578937675206164,,,-0.004094547263588854,0.010210334798630087,-0.040981502134787136,0.04709728966982837,-0.004094547263588854,0.010210334798630087
18,R18,Lille Bane,'24-R18,Lille bane 3,0.0029910254523890525,,,-0.0045110069780815686,0.010493057882859673,-0.00877824648583474,0.014760297390612846,-0.0045110069780815686,0.010493057882859673
