x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R17,'24-R17,Lille Bane,,,,,,,,,,
2,R18,'24-R18,Lille Bane,,,,,,,,,,
3,R19,'24-R19,Lille Bane,,,,,,,,,,
4,R20,'24-R20,Lille Bane,,,,,,,,,,
5,R21,'24-R21,Lille Bane,,,,,,,,,,
6,R22,'24-R22,Lille Bane,,,,,,,,,,
7,R23,'24-R23,Lille Bane,,,,,,,,,,
8,R24,'24-R24,Lille Bane,,,,,,,,,,
9,R25,'24-R25,Lille Bane,,,,,,,,,,
10,R26,'24-R26,Lille Bane,,,,,,,,,,
11,R27,'24-R27,Lille Bane,,,,,,,,,,
12,R28,'24-R28,Lille Bane,,,,,,,,,,
13,R13,'24-R13,Lille Bane,Lille bane 3,0.0,,,-0.0021329011223980565,0.0021329466160402433,-3.783650880684153,3.9324407081712476,-0.0021329011223980565,0.0021329466160402433
14,R14,'24-R14,Lille Bane,Lille bane 3,0.0,,,-0.36285639046644835,0.364177833006174,-2.2614711760585826,2.3137970289405674,-0.36285639046644835,0.364177833006174
15,R15,'24-R15,Lille Bane,Lille bane 3,-3.2443825404016025e-09,0.15290766077387108,32.99564288187411,-0.5051884618300306,0.5077535677802114,-6.74642655505745,7.234496544576707,-0.5051884618300306,0.5077535677802114
16,R16,'24-R16,Lille Bane,Lille bane 3,0.15157015207174496,0.2902758573431585,23.303816122381306,-0.46187371061117144,0.7687946100570997,-7.202368991028562,8.088287328753484,-0.46187371061117144,0.7687946100570997
17,R17,'24-R17,Lille Bane,Lille bane 3,0.2877350413823754,,,-0.41555689214402003,0.9959938103734967,-4.147409845413408,4.928096189263487,-0.41555689214402003,0.9959938103734967
18,R18,'24-R18,Lille Bane,Lille bane 3,0.2791330610845133,,,-0.45345434032275644,1.017111752537514,-0.6637531969786337,1.2309690683505625,-0.45345434032275644,1.017111752537514
