x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,-1.734723475976807e-18,-0.007797577754164126,-0.01411297860129679,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,Stor bane 1,-0.007797577754164127,,,-0.01925874153399973,0.0036635860256714753,-0.029543079319782808,0.013947923811454554,-0.01925874153399973,0.0036635860256714753
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.008026942470311554,-0.02256890251532387,-0.04172517127258402,-0.019719440509409793,0.0036655555687866853,-0.026474460923333054,0.010420575982709944,-0.019719440509409793,0.0036655555687866853
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.02256890251532387,-0.026859942292114643,-0.047199100695043766,-0.0317795877131356,-0.01335821731751214,-0.04679606815682659,0.0016582631261788557,-0.0317795877131356,-0.01335821731751214
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.026859942292114643,-0.027604514291641354,-0.027647060293935273,-0.035670019141965464,-0.018049865442263825,-0.03588454158461919,-0.017835342999610093,-0.035670019141965464,-0.018049865442263825
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.027604514291641354,-0.0279529612881058,-0.10929775200820913,-0.030650589480806477,-0.02455843910247623,-0.07679716064291145,0.02158813205962875,-0.030650589480806477,-0.02455843910247623
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.0279529612881058,-0.03053532003372642,-0.038485303549906466,-0.032441631513459024,-0.02346429106275258,-0.03704482064112701,-0.01886110193508459,-0.032441631513459024,-0.02346429106275258
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.03053532003372642,-0.032090798375813405,-0.07321505666615227,-0.035049037083621476,-0.026021602983831358,-0.055275592733934106,-0.005795047333518728,-0.035049037083621476,-0.026021602983831358
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.032090798375813405,-0.027885414012975483,-0.027601958237956963,-0.03938135707660855,-0.024800239675018255,-0.03962719704545063,-0.024554399706176178,-0.03938135707660855,-0.024800239675018255
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.027885414012975483,-0.028210330677497307,-0.08187389817716192,-0.030891353141168955,-0.02487947488478201,-0.06819289194327262,0.01242206391732165,-0.030891353141168955,-0.02487947488478201
11,R12,Stor Bane,'23-R12,Stor bane 1,-0.028210330677497304,-0.029362494292140894,-0.06581227276598851,-0.03198544807036314,-0.02443521328463147,-0.04997596239768789,-0.006444698957306719,-0.03198544807036314,-0.02443521328463147
12,R13,Stor Bane,'23-R13,Stor bane 1,-0.029362494292140894,-0.0299685270490778,-0.03148513700980839,-0.03373114952837155,-0.02499383905591024,-0.037793474441502495,-0.02093151414277929,-0.03373114952837155,-0.02499383905591024
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.0299685270490778,-0.030369798048264823,-0.17867406057580068,-0.03436420944661554,-0.025572844651540055,-0.11951676143664214,0.05957970733848655,-0.03436420944661554,-0.025572844651540055
14,R15,Stor Bane,'23-R15,Stor bane 1,-0.030369798048264823,-0.032938617000047694,-0.09164249767840064,-0.035323424644947095,-0.02541617145158255,-0.055365643319326405,-0.005373952777203237,-0.035323424644947095,-0.02541617145158255
15,R16,Stor Bane,'23-R16,Stor bane 1,-0.032938617000047694,-0.03430264136344528,-0.04573270627581267,-0.03830804642816064,-0.02756918757193475,-0.049768569927272174,-0.01610866407282321,-0.03830804642816064,-0.02756918757193475
16,R17,Stor Bane,'23-R17,Stor bane 1,-0.03430264136344528,-0.03252204101673783,-0.022653838816993663,-0.03958758031070245,-0.029017702416188118,-0.048613899475275966,-0.0199913832516146,-0.03958758031070245,-0.029017702416188118
