x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,-2.2435877264573745,-1.706718645609906,-1.562670169363023,-3.1734429753968674,-1.3048027911740645,-3.173466019824267,-1.3047793020103726,-3.1734429753968674,-1.3048027911740645
2,R2,'23-R2,Stor Bane,Stor bane 1,-3.403193632918511,,,-4.0901454106266115,-2.7113215814083436,-5.490552915026836,-1.2697324117237452,-4.0901454106266115,-2.7113215814083436
3,R3,'23-R3,Stor Bane,Stor bane 1,-2.8005522084603385,-2.971494202200342,-4.1171076479690765,-3.2956629754862132,-2.302906553350148,-4.177037008425987,-1.4042943776325312,-3.2956629754862132,-2.302906553350148
4,R4,'23-R4,Stor Bane,Stor bane 1,-3.500755780901721,-3.5722828781622695,-4.182708294546278,-4.145197268492684,-2.8519816483196347,-5.433713019410346,-1.5282884399538288,-4.145197268492684,-2.8519816483196347
5,R5,'23-R5,Stor Bane,Stor bane 1,-2.7862005587246386,-2.755070478935895,-2.60623507815968,-3.2305914714257145,-2.3397688845236853,-3.921473805434661,-1.637512812482378,-3.2305914714257145,-2.3397688845236853
6,R6,'23-R6,Stor Bane,Stor bane 1,-5.775849918936437,-6.1213750340244015,-9.802571463707721,-7.007845082193964,-4.527532818805513,-9.955128390094359,-1.4025973965393401,-7.007845082193964,-4.527532818805513
7,R8,'23-R8,Stor Bane,Stor bane 1,-2.191043549800431,-2.86418157203977,-3.4466277246343657,-2.6112912463896354,-1.7689824178679592,-2.779770914324309,-1.5987510845459907,-2.6112912463896354,-1.7689824178679592
8,R9,'23-R9,Stor Bane,Stor bane 1,-4.948308828550719,-5.097657620882801,-6.618076656403005,-5.62808883161291,-4.263632232351422,-7.2064840614422305,-2.6351798057217657,-5.62808883161291,-4.263632232351422
9,R10,'23-R10,Stor Bane,Stor bane 1,-2.4292396466507715,-2.5266071973320092,-2.526620102282018,-2.9353605978492125,-1.9204796456519069,-2.9354030500240325,-1.9204367495901598,-2.9353605978492125,-1.9204796456519069
10,R11,'23-R11,Stor Bane,Stor bane 1,-6.8725874105032165,-6.9064588717214885,-7.396209627254602,-7.812309337582224,-5.923286359640024,-10.438119966331595,-3.165108053179677,-7.812309337582224,-5.923286359640024
11,R12,'23-R12,Stor Bane,Stor bane 1,-5.2869409035579125,-5.3667189111305635,-6.425835549606296,-5.897803757226161,-4.67211264375792,-7.574753304397874,-2.942498028160756,-5.897803757226161,-4.67211264375792
12,R13,'23-R13,Stor Bane,Stor bane 1,-3.476551277708162,-3.3559030533311662,-2.6835179779164053,-3.803977704038819,-3.1480103763493084,-4.29320851787911,-2.6529255764949355,-3.803977704038819,-3.1480103763493084
13,R14,'23-R14,Stor Bane,Stor bane 1,-12.55997214156096,-12.76805421885464,-16.225590677414313,-14.491948640185104,-10.584344394523615,-20.410374876741034,-3.935237035684591,-14.491948640185104,-10.584344394523615
14,R15,'23-R15,Stor Bane,Stor bane 1,-5.573966863602631,-5.786160273664764,-8.571286609902018,-6.247717466355618,-4.895374353405435,-8.137556979448169,-2.938835059271949,-6.247717466355618,-4.895374353405435
15,R16,'23-R16,Stor Bane,Stor bane 1,-5.085680592342712,-5.042212837944349,-4.47033733061507,-5.6637472598584315,-4.504071690930833,-7.122420124462958,-3.0042768051109503,-5.6637472598584315,-4.504071690930833
16,R17,'23-R17,Stor Bane,Stor bane 1,-4.108616862780112,-3.8511600093070197,-2.0941829886498398,-4.5754023940935085,-3.63954797122511,-5.440921387923758,-2.757540630321076,-4.5754023940935085,-3.63954797122511
17,R1,'24-R1,Stor Bane,Stor bane 1,-6.352751131045453,-6.439420447416577,-8.407188027774225,-7.361082998337998,-5.333444036629098,-9.965112676584686,-2.595455145939296,-7.361082998337998,-5.333444036629098
18,R2,'24-R2,Stor Bane,Stor bane 1,-3.574905052643096,-4.008087191995557,-4.86915900990057,-4.305899866836171,-2.838326263914137,-5.035986195125719,-2.0913442568751273,-4.305899866836171,-2.838326263914137
19,R3,'24-R3,Stor Bane,Stor bane 1,-4.534398633874659,-4.427509629461368,-3.746311082432574,-5.239813279413685,-3.823732734202845,-6.340954938626087,-2.692996301384021,-5.239813279413685,-3.823732734202845
20,R4,'24-R4,Stor Bane,Stor bane 1,-3.7871104814692913,-3.423150550568077,-2.2067792735093072,-4.434250293627762,-3.135588451437077,-5.121091293317381,-2.4343741334263314,-4.434250293627762,-3.135588451437077
21,R5,'24-R5,Stor Bane,Stor bane 1,-3.8245067466079585,-3.977216977641196,-4.703457644255515,-4.459513658810977,-3.1852792804388907,-5.449635170710221,-2.1714456709543972,-4.459513658810977,-3.1852792804388907
