x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,0.0,,,-0.015884586679983454,0.015884586679983454,-0.022750269396665287,0.022750269396665287,-0.015884586679983454,0.015884586679983454
2,R2,Stor Bane,'23-R2,,3.425705021394505e-16,,,-0.01581069125218098,0.015810691252181666,-0.02537151623327098,0.025371516233271666,-0.01581069125218098,0.015810691252181666
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.0003848612397503,,,-0.016181866077833743,0.015412143598333143,-0.022250843785166462,0.021481121305665863,-0.016181866077833743,0.015412143598333143
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.0020342493584412,,,-0.017771984900014377,0.013703486183131977,-0.029048676356270314,0.024980177639387917,-0.017771984900014377,0.013703486183131977
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.0044965631988957,,,-0.0199282736940221,0.010935147296230699,-0.019928421096427854,0.010935294698636452,-0.0199282736940221,0.010935147296230699
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.0041578726282983,,,-0.019953333826732037,0.01163758857013544,-0.05530992106063702,0.04699417580404042,-0.019953333826732037,0.01163758857013544
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.0071030525155547,,,-0.0213640956493101,0.007157990618200697,-0.023766217879276914,0.009560112848167516,-0.0213640956493101,0.007157990618200697
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.004366745382269,,,-0.01927617388759795,0.010542683123059952,-0.03271797692511476,0.023984486160576756,-0.01927617388759795,0.010542683123059952
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.0100975563437919,-0.01377856666370249,-0.013779868112434812,-0.024864687948726743,0.004669575261142943,-0.02486734330776047,0.004672230620176672,-0.024864687948726743,0.004669575261142943
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.013790455254021852,-0.015530340654552726,-0.04013845528200477,-0.02458099813190217,-0.002999912376141535,-0.05583457492934564,0.028253664421301936,-0.02458099813190217,-0.002999912376141535
11,R12,Stor Bane,'23-R12,Stor bane 1,-0.014752957282914255,-0.013645141015195686,-0.000416759086427021,-0.02110386523563218,-0.008402049330196332,-0.03761754447914431,0.008111629913315804,-0.02110386523563218,-0.008402049330196332
12,R13,Stor Bane,'23-R13,Stor bane 1,-0.01363963080599501,-0.01635684542072065,-0.029105302745582762,-0.01770139810689336,-0.009577863505096661,-0.023590416477794928,-0.003688845134195092,-0.01770139810689336,-0.009577863505096661
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.024317957735799284,,,-0.048631937689516284,-3.97778208228311e-06,-0.1188817460501423,0.07024583057854374,-0.048631937689516284,-3.97778208228311e-06
14,R15,Stor Bane,'23-R15,Stor bane 1,-0.01801539663448822,-0.018263649876153712,-0.020403329908166512,-0.02623180709512083,-0.009798986173855608,-0.045484461445587876,0.009453668176611443,-0.02623180709512083,-0.009798986173855608
15,R16,Stor Bane,'23-R16,Stor bane 1,-0.017372637696356122,-0.020696875634835007,-0.043366388371349984,-0.023900623079774537,-0.010844652312937707,-0.03607955875513981,0.0013342833624275657,-0.023900623079774537,-0.010844652312937707
