x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,-1.7578718180015107,,,-2.6885419572781344,-0.818300908707037,-2.6885652122554227,-0.8182772067837796,-2.6885419572781344,-0.818300908707037
2,R2,'23-R2,Stor Bane,,-3.0061465782759034,,,-4.134333339935903,-1.8646828488178557,-5.280869354483809,-0.6767953054450437,-4.134333339935903,-1.8646828488178557
3,R3,'23-R3,Stor Bane,Stor bane 1,-2.164091169043525,,,-3.183705070714582,-1.1337392763220988,-3.8078567409999597,-0.4922363460941659,-3.183705070714582,-1.1337392763220988
4,R4,'23-R4,Stor Bane,Stor bane 1,-2.574631226704649,,,-3.6824848496638363,-1.454034961371553,-4.718947764744897,-0.38205647459722547,-3.6824848496638363,-1.454034961371553
5,R5,'23-R5,Stor Bane,Stor bane 1,-2.7472860775206276,,,-3.724944181495371,-1.759700008714904,-4.176153501688839,-1.2971122438264149,-3.724944181495371,-1.759700008714904
6,R6,'23-R6,Stor Bane,Stor bane 1,-4.2074792460821575,,,-5.870528837448097,-2.5150474228903597,-8.588795559247874,0.3838324692167161,-5.870528837448097,-2.5150474228903597
7,R8,'23-R8,Stor Bane,Stor bane 1,-2.613844231524165,,,-3.5623082395031203,-1.656052086817672,-3.646727464677202,-1.5698887457609612,-3.5623082395031203,-1.656052086817672
8,R9,'23-R9,Stor Bane,Stor bane 1,-3.535863537978079,,,-4.728810384244586,-2.327979099520716,-6.021442653737774,-0.9845449204090584,-4.728810384244586,-2.327979099520716
9,R10,'23-R10,Stor Bane,Stor bane 1,-2.792415072678034,-1.184248969983126,-1.184172355187818,-3.796871123205192,-1.7774715050688394,-3.7968921910918274,-1.777449994941549,-3.796871123205192,-1.7774715050688394
10,R11,'23-R11,Stor Bane,Stor bane 1,-2.8874431366642472,-2.9453770127041423,-3.44255003539935,-4.133561350062498,-1.6251272776286907,-6.681209322657078,1.0605541722301437,-4.133561350062498,-1.6251272776286907
11,R12,'23-R12,Stor Bane,Stor bane 1,-2.288514625265603,-2.071170829675839,-0.13271591843684316,-3.0599003922182066,-1.510990676034818,-4.689245579496671,0.17268704026816017,-3.0599003922182066,-1.510990676034818
12,R13,'23-R13,Stor Bane,Stor bane 1,-1.4635737052510867,-1.6772572065595015,-2.5380721488073688,-1.8248705089195627,-1.1009472839796808,-2.308384093229743,-0.611457627986689,-1.8248705089195627,-1.1009472839796808
13,R14,'23-R14,Stor Bane,Stor bane 1,-5.684171039019392,,,-8.204493681695013,-3.094650823630818,-14.258097228956657,3.7471213620082766,-8.204493681695013,-3.094650823630818
14,R15,'23-R15,Stor Bane,Stor bane 1,-2.5915558387360482,-2.525642387730731,-1.863747378910885,-3.4227078524575516,-1.753250863334288,-5.273972503036095,0.1668205100461284,-3.4227078524575516,-1.753250863334288
15,R16,'23-R16,Stor Bane,Stor bane 1,-2.258143828857906,-2.493171038378428,-4.435567662673401,-2.9414394138002287,-1.5700378196358389,-4.381615234463565,-0.0875148518136526,-2.9414394138002287,-1.5700378196358389
16,R17,'23-R17,Stor Bane,Stor bane 1,-2.0770625269282195,-1.9688043180652315,-1.361492122334762,-2.593996577849056,-1.5573851049253906,-3.4520210697920883,-0.6825229320781667,-2.593996577849056,-1.5573851049253906
17,R1,'24-R1,Stor Bane,Stor bane 1,-2.894431864139735,-2.792207166330174,-2.624552773608946,-4.069451195429375,-1.705020137037605,-6.676809814913954,1.0412454212814115,-4.069451195429375,-1.705020137037605
18,R2,'24-R2,Stor Bane,Stor bane 1,-1.5584060654087795,-1.7292227677696226,-1.8169467008171791,-2.3267362888609644,-0.7840319020917863,-3.0610686224737838,-0.0324505472153902,-2.3267362888609644,-0.7840319020917863
