x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,-1.734723475976807e-18,,,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,,-1.3679383252830106e-15,,,-0.016443208138117997,0.016443208138115263,-0.024736363051701873,0.02473636305169914,-0.016443208138117997,0.016443208138115263
3,R3,Stor Bane,'23-R3,Stor bane 2,-0.0005125595998168762,,,-0.016945533561141243,0.01592041436150749,-0.022275809814199316,0.021250690614565564,-0.016945533561141243,0.01592041436150749
4,R4,Stor Bane,'23-R4,Stor bane 2,-0.0026189714078821034,,,-0.01880390058601068,0.01356595777024647,-0.03026080140715422,0.025022858591390012,-0.01880390058601068,0.01356595777024647
5,R5,Stor Bane,'23-R5,Stor bane 2,-0.005293940266776839,,,-0.021427501848797083,0.010839621315243403,-0.021545640104358006,0.01095775957080433,-0.021427501848797083,0.010839621315243403
6,R6,Stor Bane,'23-R6,Stor bane 2,-0.004678794791009887,,,-0.019451020905126678,0.010093431323106906,-0.05595117083649538,0.0465935812544756,-0.019451020905126678,0.010093431323106906
7,R8,Stor Bane,'23-R8,Stor bane 2,-0.007693172520961292,,,-0.022797571588891213,0.007411226546968629,-0.024741826934328612,0.009355481892406026,-0.022797571588891213,0.007411226546968629
8,R9,Stor Bane,'23-R9,Stor bane 2,-0.005206536344934867,,,-0.020327218889603878,0.009914146199734143,-0.03384815802197659,0.02343508533210686,-0.020327218889603878,0.009914146199734143
9,R10,Stor Bane,'23-R10,Stor bane 2,-0.011109735872241023,,,-0.02714571615084404,0.004926244406361991,-0.0272589687405142,0.005039496996032152,-0.02714571615084404,0.004926244406361991
10,R11,Stor Bane,'23-R11,Stor bane 2,-0.010019210124806645,,,-0.02414691459050131,0.00410849434088802,-0.05262495082402457,0.03258653057441128,-0.02414691459050131,0.00410849434088802
11,R12,Stor Bane,'23-R12,Stor bane 2,-0.015541508900326921,-0.012932435020042994,-0.00031267514886569765,-0.029713915921290406,-0.0013691018793634373,-0.041238752597208175,0.010155734796554334,-0.029713915921290406,-0.0013691018793634373
12,R13,Stor Bane,'23-R13,Stor bane 2,-0.012932435020042994,,,-0.024848027047110137,-0.001016842992975853,-0.026860019557980286,0.0009951495178942959,-0.024848027047110137,-0.001016842992975853
13,R14,Stor Bane,'23-R14,Stor bane 2,-0.013818492033757481,-0.014019511723750775,0.03190325377282646,-0.025758850271963618,-0.0018781337955513459,-0.10405227956950729,0.07641529550199232,-0.025758850271963618,-0.0018781337955513459
14,R15,Stor Bane,'23-R15,Stor bane 2,-0.014019511723750776,,,-0.02605855594518445,-0.0019804675023171042,-0.04131772503746656,0.013278701589965004,-0.02605855594518445,-0.0019804675023171042
15,R16,Stor Bane,'23-R16,Stor bane 2,-0.01729608801343953,-0.0126210735603816,-0.004466770275761603,-0.029470469502786062,-0.005121706524092995,-0.03736178281320288,0.0027696067863238263,-0.029470469502786062,-0.005121706524092995
16,R17,Stor Bane,'23-R17,Stor bane 2,-0.0126210735603816,,,-0.02240171893007411,-0.0028404281906890937,-0.029129936419915306,0.0038877892991521033,-0.02240171893007411,-0.0028404281906890937
17,R1,Lille Bane,'24-R1,Lille bane 1,-0.014414061584767213,-0.003963925523391932,-0.0014401520886828667,-0.03703850802421848,0.008210384854684054,-0.04062640817200885,0.011798285002474422,-0.03703850802421848,0.008210384854684054
18,R2,Lille Bane,'24-R2,Lille bane 1,-0.003963925523391933,-0.010445003041052949,-0.03515776797480015,-0.01583920028357551,0.007911349236791647,-0.02989208277819055,0.021964231731406682,-0.01583920028357551,0.007911349236791647
