x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,-0.04728620105627314,-0.05443935171179177,-0.052975625602158516,-0.05677784569735028,-0.037794556415195996,-0.05677808534532342,-0.037794316767222856,-0.05677784569735028,-0.037794556415195996
2,R2,Stor Bane,'23-R2,Stor bane 1,-0.08308898920651517,-0.07786864800209109,-0.03402652370559167,-0.09018806252047827,-0.07598991589255207,-0.10492252779032092,-0.061255450622709415,-0.09018806252047827,-0.07598991589255207
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.06940857147481357,,,-0.07429207306481773,-0.0645250698848094,-0.08359283569451319,-0.055224307255113944,-0.07429207306481773,-0.0645250698848094
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.07605940887871483,-0.07580744751491544,-0.0741910216072661,-0.08273661331609485,-0.06938220444133482,-0.09628581120258259,-0.055833006554847076,-0.08273661331609485,-0.06938220444133482
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.06632652235945238,-0.06260817169686267,-0.04281874194236579,-0.07091138554869797,-0.0617416591702068,-0.07807456799202285,-0.05457847672688192,-0.07091138554869797,-0.0617416591702068
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.09448060642989392,-0.09407634312876481,-0.08986093040646281,-0.10758224817672335,-0.08137896468306449,-0.13983171038017486,-0.04912950247961299,-0.10758224817672335,-0.08137896468306449
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.05609225858649161,-0.05070002472889096,-0.045583377880278775,-0.06041148599525977,-0.05177303117772345,-0.06213913317384061,-0.050045383999142615,-0.06041148599525977,-0.05177303117772345
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.06707642567577791,-0.0668641661621946,-0.06499083264777461,-0.07423045660881981,-0.059922394742736015,-0.09111356026260276,-0.04303929108895307,-0.07423045660881981,-0.059922394742736015
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.04699270744375363,-0.040675254433924314,-0.04067411416426303,-0.05219641797661389,-0.041788996910893376,-0.05219685508520578,-0.041788559802301485,-0.05219641797661389,-0.041788996910893376
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.07331691611176597,,,-0.08341643473119507,-0.06321739749233686,-0.11234470943085696,-0.03428912279267497,-0.08341643473119507,-0.06321739749233686
