x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,0.0,-2.7966590193255425,-5.004296196308333,-1.643039804689972,1.6704865638663025,-2.2386953181987357,2.28996055799926,-1.643039804689972,1.6704865638663025
2,R2,'23-R2,Stor Bane,Stor bane 1,-2.7966590193255425,-3.0832313421032986,-3.7377952731438735,-3.904362519161486,-1.6761869165049625,-4.887577988738512,-0.6597740021114462,-3.904362519161486,-1.6761869165049625
3,R3,'23-R3,Stor Bane,Stor bane 1,-3.0832313421032986,,,-4.053270903781858,-2.1033844971532267,-4.760538773772726,-1.3763840518068782,-4.053270903781858,-2.1033844971532267
4,R4,'23-R4,Stor Bane,Stor bane 1,-3.1487333584878097,-4.020582385272487,-7.564871680608565,-4.128491855107097,-2.1589622238045947,-5.50286013861151,-0.7359602224529693,-4.128491855107097,-2.1589622238045947
5,R5,'23-R5,Stor Bane,Stor bane 1,-4.020582385272487,-4.298261419323834,-4.310136212182048,-4.929964133095854,-3.1025020485011656,-4.948868500976211,-3.0832304636281282,-4.929964133095854,-3.1025020485011656
6,R6,'23-R6,Stor Bane,Stor bane 1,-4.298261419323834,-4.320789206343689,-9.152636744534925,-4.5897238094290245,-4.005908660505364,-8.892186875985619,0.5273033488055523,-4.5897238094290245,-4.005908660505364
7,R8,'23-R8,Stor Bane,Stor bane 1,-4.320789206343689,-4.432878460952749,-4.7813568035720895,-4.749562364392512,-3.890085911010166,-5.186877940804358,-3.4467890174380122,-4.749562364392512,-3.890085911010166
8,R9,'23-R9,Stor Bane,Stor bane 1,-4.432878460952749,-4.521398876729932,-6.7357654338399575,-4.863421904913212,-4.00038657969457,-6.768254687826969,-2.0390030383079405,-4.863421904913212,-4.00038657969457
9,R10,'23-R10,Stor Bane,Stor bane 1,-4.521398876729932,-4.200384834507009,-4.178701238885763,-5.2150479344037155,-3.822673601737603,-5.238344130253381,-3.7990293775890693,-5.2150479344037155,-3.822673601737603
10,R11,'23-R11,Stor Bane,Stor bane 1,-4.200384834507009,,,-4.487921255155014,-3.911982793570068,-7.985038464790484,-0.2600651814133492,-4.487921255155014,-3.911982793570068
11,R12,'23-R12,Stor Bane,Stor bane 1,-4.202699959981482,-4.283646804216401,-6.808339100583027,-4.56424666829951,-3.8397835760677457,-6.265360111115492,-2.094650325257197,-4.56424666829951,-3.8397835760677457
12,R13,'23-R13,Stor Bane,Stor bane 1,-4.283646804216401,-4.34043359490598,-4.481876669752117,-4.701358441833858,-3.864104258945389,-5.087480845141945,-3.473004924123746,-4.701358441833858,-3.864104258945389
13,R14,'23-R14,Stor Bane,Stor bane 1,-4.34043359490598,-4.365687459724866,-12.88069719148217,-4.760251003492089,-3.918765628560017,-12.53424531714683,4.620976266549159,-4.760251003492089,-3.918765628560017
14,R15,'23-R15,Stor Bane,Stor bane 1,-4.365687459724866,-4.5693160853672365,-9.077538266775687,-4.838474291546313,-3.890551701836076,-6.726562574912109,-1.9450554462889902,-4.838474291546313,-3.890551701836076
15,R16,'23-R16,Stor Bane,Stor bane 1,-4.5693160853672365,-4.703260114588359,-5.817598240962929,-5.080539128676309,-4.055339665694557,-6.162029547778946,-2.949569470372171,-5.080539128676309,-4.055339665694557
