x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,-1.734723475976807e-18,0.008156195979401927,0.014762048286575789,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,Stor bane 2,0.008156195979401927,0.004472446982095286,-0.00412403659604371,-0.003304967800433682,0.019617359759237535,-0.01358930558621676,0.029901697545020617,-0.003304967800433682,0.019617359759237535
3,R3,Stor Bane,'23-R3,Stor bane 2,0.004472446982095286,,,-0.005586975904871811,0.014531869869062384,-0.012985743516896586,0.021930637481087156,-0.005586975904871811,0.014531869869062384
4,R4,Stor Bane,'23-R4,Stor bane 2,0.0037963600436243315,-0.0003488353229103656,-0.015450402380462962,-0.006371269997685286,0.01396399008493395,-0.0208105400834653,0.028403260170713963,-0.006371269997685286,0.01396399008493395
5,R5,Stor Bane,'23-R5,Stor bane 2,-0.0003488353229103656,-0.011405646792955448,-0.011857258561299664,-0.009868764317985316,0.009171093672164584,-0.010067630842997461,0.00936996019717673,-0.009868764317985316,0.009171093672164584
6,R6,Stor Bane,'23-R6,Stor bane 2,-0.011405646792955446,-0.011294896989833032,0.02644340370792583,-0.014455822538568638,-0.008355471047342255,-0.0605985472264754,0.03778725364056451,-0.014455822538568638,-0.008355471047342255
7,R8,Stor Bane,'23-R8,Stor bane 2,-0.011294896989833032,,,-0.015786330168267332,-0.006803463811398733,-0.020388120736089758,-0.002201673243576306,-0.015786330168267332,-0.006803463811398733
8,R9,Stor Bane,'23-R9,Stor bane 2,-0.011265565036014911,-0.010690871657174745,0.004972362905637774,-0.016257824699194037,-0.006273305372835787,-0.036097602975312885,0.013566472903283062,-0.016257824699194037,-0.006273305372835787
9,R10,Stor Bane,'23-R10,Stor bane 2,-0.010690871657174746,0.0023956639404238435,0.0032059908245476477,-0.018264781183247824,-0.0031169621311016695,-0.018501707991851746,-0.002880035322497746,-0.018264781183247824,-0.0031169621311016695
10,R11,Stor Bane,'23-R11,Stor bane 2,0.0023956639404238444,0.002581887709602542,0.04017906024758616,-0.0006131907551675587,0.005404518636015248,-0.03791203152381931,0.042703359404667,-0.0006131907551675587,0.005404518636015248
