x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,-1.734723475976807e-18,-0.02181049403913989,-0.03947521209310523,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,Stor bane 1,-0.02181049403913989,-0.026878770735554544,-0.03892075101010235,-0.033271657818975495,-0.010349330259304282,-0.04355599560475857,-6.499247352120818e-05,-0.033271657818975495,-0.010349330259304282
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.026878770735554544,-0.036666167240376725,-0.05430884902881693,-0.03693819362252164,-0.01681934784858745,-0.04433696123454642,-0.009420580236562674,-0.03693819362252164,-0.01681934784858745
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.036666167240376725,-0.03712105710198279,-0.03634504361733646,-0.04508318130684874,-0.02824915317390471,-0.060602853707028906,-0.01272948077372454,-0.04508318130684874,-0.02824915317390471
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.03712105710198279,,,-0.04532007455991975,-0.028922039644045824,-0.045550162959993555,-0.028691951243972023,-0.04532007455991975,-0.028922039644045824
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.03698529120219931,-0.03886931189718897,-0.07787473523682523,-0.04535110329359027,-0.028619479110808352,-0.0867911612671981,0.01282057886279949,-0.04535110329359027,-0.028619479110808352
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.03886931189718897,-0.04837214864242996,-0.05584074796234791,-0.047751728887866114,-0.02998689490651183,-0.05076095088008013,-0.026977672914297812,-0.047751728887866114,-0.02998689490651183
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.04837214864242996,-0.04873594870174184,-0.046004621047587915,-0.05472310921773898,-0.04202118806712094,-0.0735125971647467,-0.02323170012011322,-0.05472310921773898,-0.04202118806712094
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.04873594870174184,,,-0.057174163053058,-0.040297734350425676,-0.057387452627460644,-0.040084444776023034,-0.057174163053058,-0.040297734350425676
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.048653962873515,,,-0.057171232507363355,-0.04013669323966664,-0.08974168596782459,-0.007566239779205418,-0.057171232507363355,-0.04013669323966664
11,R12,Stor Bane,'23-R12,Stor bane 1,-0.049389660250666635,-0.05233851588223214,-0.06581227276598903,-0.05820206144893541,-0.04057725905239786,-0.0725661489348547,-0.02621317156647857,-0.05820206144893541,-0.04057725905239786
12,R13,Stor Bane,'23-R13,Stor bane 1,-0.05233851588223214,-0.04782213267937955,-0.04447677272834692,-0.06075231111658246,-0.04392472064788181,-0.06341950085431201,-0.04125753091015226,-0.06075231111658246,-0.04392472064788181
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.04782213267937955,,,-0.05376979835200308,-0.04187446700675602,-0.13745995385517254,0.04181568849641345,-0.05376979835200308,-0.04187446700675602
14,R15,Stor Bane,'23-R15,Stor bane 1,-0.047972085261398005,-0.0468279444543688,-0.025083395187856565,-0.05434569554940964,-0.04159847497338637,-0.07328762934915053,-0.022656541173645482,-0.05434569554940964,-0.04159847497338637
15,R16,Stor Bane,'23-R16,Stor bane 1,-0.0468279444543688,-0.04547994288330229,-0.03658450606873612,-0.05340687065710465,-0.040249018251632955,-0.0640818951071947,-0.029573993801542915,-0.05340687065710465,-0.040249018251632955
16,R17,Stor Bane,'23-R17,Stor bane 1,-0.04547994288330229,-0.049308332432966714,-0.06719672115875311,-0.05172074207611118,-0.039239143690493396,-0.06017106617705243,-0.030788819589552145,-0.05172074207611118,-0.039239143690493396
17,R1,Stor Bane,'24-R1,Stor bane 1,-0.049308332432966714,,,-0.06378878768569432,-0.03482787718023911,-0.08333248755588085,-0.015284177310052584,-0.06378878768569432,-0.03482787718023911
18,R2,Stor Bane,'24-R2,Stor bane 1,-0.0493195025419852,-0.0027656364300843775,-0.0018892132723135682,-0.06356109351206661,-0.0350779115719038,-0.06369769375197994,-0.034941311331990466,-0.06356109351206661,-0.0350779115719038
19,R3,Stor Bane,'24-R3,Stor bane 1,-0.0027656364300843767,-0.0036362379623607424,-0.05028125798290312,-0.005842964032814256,0.0003116911726455027,-0.025774901565342297,0.020243628705173544,-0.005842964032814256,0.0003116911726455027
20,R4,Stor Bane,'24-R4,Stor bane 1,-0.003636237962360742,,,-0.007463935235820176,0.00019145931109869254,-0.01595945811121112,0.008686982186489636,-0.007463935235820176,0.00019145931109869254
21,R5,Stor Bane,'24-R5,Stor bane 1,-0.003682125816185037,,,-0.008150637942648463,0.0007863863102783885,-0.017221754726204085,0.00985750309383401,-0.008150637942648463,0.0007863863102783885
22,R6,Stor Bane,'24-R6,Stor bane 1,-0.003690160975804447,-0.0038337807558348727,-0.004783405027220867,-0.008718474525527401,0.0013381525739185082,-0.017091084145072172,0.009710762193463278,-0.008718474525527401,0.0013381525739185082
23,R7,Stor Bane,'24-R7,Stor bane 1,-0.0038337807558348727,-0.007739548257594286,-0.025154645750720597,-0.009038776385541583,0.0013712148738718372,-0.0164158553683171,0.008748293856647354,-0.009038776385541583,0.0013712148738718372
24,R8,Stor Bane,'24-R8,Stor bane 1,-0.007739548257594287,-0.013789545294297472,-0.03987366719432064,-0.01301326990967366,-0.0024658266055149133,-0.020049202418144438,0.0045701059029558625,-0.01301326990967366,-0.0024658266055149133
25,R9,Stor Bane,'24-R9,Stor bane 1,-0.013789545294297472,,,-0.01908836353281258,-0.008490727055782365,-0.05468300813077946,0.02710391754218452,-0.01908836353281258,-0.008490727055782365
26,R10,Stor Bane,'24-R10,Stor bane 1,-0.013779270926440242,,,-0.02162837858516416,-0.0059301632677163235,-0.03326475649438079,0.005706214641500307,-0.02162837858516416,-0.0059301632677163235
27,R11,Stor Bane,'24-R11,Stor bane 1,-0.013786601223277545,,,-0.021862094446551725,-0.005711108000003363,-0.07005645190002002,0.042483249453464926,-0.021862094446551725,-0.005711108000003363
28,R12,Stor Bane,'24-R12,Stor bane 1,-0.013773748390903182,-0.0066428891689598755,0.04254053960324843,-0.02217195561005765,-0.005375541171748715,-0.03778532507248739,0.01023782829068103,-0.02217195561005765,-0.005375541171748715
29,R13,Stor Bane,'24-R13,Stor bane 1,-0.006642889168959875,-0.019754928237510076,-0.0686432798809518,-0.014840053251569079,0.0015542749136493294,-0.024720823242742433,0.011435044904822682,-0.014840053251569079,0.0015542749136493294
30,R14,Stor Bane,'24-R14,Stor bane 1,-0.019754928237510076,-0.0133976614154917,0.12438879843950507,-0.027413545743812454,-0.012096310731207698,-0.0569622282369974,0.017452371761977243,-0.027413545743812454,-0.012096310731207698
