x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,0.0,0.013287073669181864,0.02632462956182735,-0.015884586679983454,0.015884586679983454,-0.022750269396665287,0.022750269396665287,-0.015884586679983454,0.015884586679983454
2,R2,Stor Bane,'23-R2,Stor bane 2,0.013288764248885414,0.021709951801663546,0.04596859009982168,0.001748568478481434,0.024828960019289394,-0.009665799491743527,0.03624332798951435,0.001748568478481434,0.024828960019289394
3,R3,Stor Bane,'23-R3,Stor bane 2,0.021678220454977994,0.03250198651056806,0.05632894264114974,0.011434744605905347,0.031921696304050645,0.003416111368332305,0.03994032954162369,0.011434744605905347,0.031921696304050645
4,R4,Stor Bane,'23-R4,Stor bane 2,0.0326652445876338,0.02882310884946669,0.010064304897287712,0.023734692284041747,0.04159579689122585,0.008961706655676544,0.05636878251959106,0.023734692284041747,0.04159579689122585
5,R5,Stor Bane,'23-R5,Stor bane 2,0.028562898303696568,0.0536757515542071,0.053677549578756256,0.02039014737510548,0.03673564923228766,0.020389869054696065,0.03673592755269707,0.02039014737510548,0.03673564923228766
6,R6,Stor Bane,'23-R6,Stor bane 2,0.054274934967584225,,,0.04667290074440145,0.061876969190767,0.005032408745998661,0.1035174611891698,0.04667290074440145,0.061876969190767
7,R8,Stor Bane,'23-R8,Stor bane 2,0.05378117133022101,,,0.05014231955354262,0.05742002310689941,0.04442569320622568,0.06313664945421635,0.05014231955354262,0.05742002310689941
8,R9,Stor Bane,'23-R9,Stor bane 2,0.05395965893141133,0.053030765269105586,0.03859704568823297,0.04799180404091162,0.05992751382191104,0.029117828007854226,0.07880148985496843,0.04799180404091162,0.05992751382191104
9,R10,Stor Bane,'23-R10,Stor bane 2,0.05325635069601608,,,0.04727193595901537,0.05924076543301679,0.047265386594305764,0.059247314797726394,0.04727193595901537,0.05924076543301679
10,R11,Stor Bane,'23-R11,Stor bane 2,0.05285151736969886,,,0.04067453225844692,0.0650285024809508,0.010430400575427323,0.0952726341639704,0.04067453225844692,0.0650285024809508
11,R12,Stor Bane,'23-R12,Stor bane 2,0.052802765711111754,0.051935501922007826,0.045859854156303115,0.04408399973795488,0.061521531684268625,0.02917074937892397,0.07643478204329954,0.04408399973795488,0.061521531684268625
12,R13,Stor Bane,'23-R13,Stor bane 2,0.052311274327910585,,,0.04539662691351508,0.05922592174230609,0.04089494695239888,0.06372760170342229,0.04539662691351508,0.05922592174230609
13,R14,Stor Bane,'23-R14,Stor bane 2,0.04956165163168014,,,0.02350859486194607,0.07561470840141421,-0.04546414595096113,0.1445874492143214,0.02350859486194607,0.07561470840141421
14,R15,Stor Bane,'23-R15,Stor bane 2,0.051358732425975204,0.050938203720570015,0.05131433890497128,0.041170826233752705,0.0615466386181977,0.02323696944211649,0.07948049540983392,0.041170826233752705,0.0615466386181977
15,R16,Stor Bane,'23-R16,Stor bane 2,0.05118307214403679,,,0.042612271914894986,0.0597538723731786,0.03166915611210468,0.07069698817596891,0.042612271914894986,0.0597538723731786
16,R17,Stor Bane,'23-R17,Stor bane 2,0.05089192532666162,0.0393799769070422,0.005399537880849792,0.04269977418911942,0.05908407646420382,0.0343634896090946,0.06742036104422863,0.04269977418911942,0.05908407646420382
17,R1,Stor Bane,'24-R1,Stor bane 3,0.03486680040830033,,,0.019264201381654092,0.05046939943494656,-0.002503317834546638,0.07223691865114729,0.019264201381654092,0.05046939943494656
18,R2,Stor Bane,'24-R2,Stor bane 3,0.040209047985020736,,,0.02999088075621511,0.050427215213826364,0.02632576576734136,0.054092330202700115,0.02999088075621511,0.050427215213826364
19,R3,Stor Bane,'24-R3,Stor bane 3,0.03813642653632904,0.04509377002460345,0.06092966624413698,0.02634211108447073,0.049930741988187345,0.016686189340348836,0.05958666373230924,0.02634211108447073,0.049930741988187345
20,R4,Stor Bane,'24-R4,Stor bane 3,0.04598736488024283,0.06923988275362777,0.08752076595186331,0.036651665593945795,0.05532306416653987,0.033413421377331956,0.05856130838315371,0.036651665593945795,0.05532306416653987
21,R5,Stor Bane,'24-R5,Stor bane 3,0.07055407283203667,,,0.0620252408554426,0.07908290480863074,0.05316750756175124,0.08794063810232211,0.0620252408554426,0.07908290480863074
22,R6,Stor Bane,'24-R6,Stor bane 3,0.06928719148258698,0.05496257302231087,0.03542362495162088,0.0617067644356081,0.07686761852956586,0.05750500577176177,0.0810693771934122,0.0617067644356081,0.07686761852956586
23,R7,Stor Bane,'24-R7,Stor bane 3,0.054308484361455925,,,0.04616077125307845,0.0624561974698334,0.036548518365971075,0.07206845035694077,0.04616077125307845,0.0624561974698334
24,R8,Stor Bane,'24-R8,Stor bane 3,0.054588537100221754,,,0.048038784363354486,0.06113828983708902,0.045624075006722054,0.06355299919372145,0.048038784363354486,0.06113828983708902
25,R9,Stor Bane,'24-R9,Stor bane 3,0.051090535256415784,,,0.033783385926033645,0.06839768458679793,0.004391810803797164,0.0977892597090344,0.033783385926033645,0.06839768458679793
26,R10,Stor Bane,'24-R10,Stor bane 3,0.05325563435156123,,,0.041358153504926026,0.06515311519819643,0.028373222303188107,0.07813804639993435,0.041358153504926026,0.06515311519819643
27,R11,Stor Bane,'24-R11,Stor bane 3,0.049842373878164994,,,0.025005486418069354,0.07467926133826064,-0.012404119985939169,0.11208886774226916,0.025005486418069354,0.07467926133826064
28,R12,Stor Bane,'24-R12,Stor bane 3,0.052960231576932935,,,0.039507996268869076,0.06641246688499679,0.02432585464973827,0.0815946085041276,0.039507996268869076,0.06641246688499679
29,R13,Stor Bane,'24-R13,Stor bane 3,0.05451537233578927,0.04844055533480239,0.04195440908535808,0.04496929994032807,0.06406144473125047,0.040754355086162514,0.06827638958541603,0.04496929994032807,0.06406144473125047
30,R14,Stor Bane,'24-R14,Stor bane 3,0.04206469860443514,,,0.024435350052106064,0.05969404715676421,-0.00143029944352447,0.08555969665239474,0.024435350052106064,0.05969404715676421
31,R15,Stor Bane,'24-R15,Stor bane 3,0.042295374323135265,0.05407585937682644,0.11086970582996614,0.024785975394730944,0.059804773251539586,-0.00012871315066190908,0.08471946179693243,0.024785975394730944,0.059804773251539586
32,R16,Stor Bane,'24-R16,Stor bane 3,0.05498883289561315,,,0.029256080636964044,0.08072158515426225,-0.013509200027566969,0.12348686581879326,0.029256080636964044,0.08072158515426225
33,R17,Stor Bane,'24-R17,Stor bane 3,0.05358928270142987,0.05511646095524041,0.06076443019544264,0.04102741268087885,0.06615115272198088,0.025277326469347498,0.08190123893351224,0.04102741268087885,0.06615115272198088
34,R18,Stor Bane,'24-R18,Stor bane 3,0.05410477440688925,,,0.04557303596289227,0.06263651285088623,0.039924463643545245,0.06828508517023327,0.04557303596289227,0.06263651285088623
35,R1,Stor Bane,'25-R1,Stor bane 2,0.05451643366542853,0.04679229584244885,0.03466287372640231,0.04147640800226024,0.06755645932859682,0.031975677086303576,0.07705719024455349,0.04147640800226024,0.06755645932859682
36,R2,Stor Bane,'25-R2,Stor bane 2,0.0448813853694392,0.05896179215133677,0.1261403987529217,0.021385351452619165,0.06837741928625923,-0.011862502656649926,0.10162527339552832,0.021385351452619165,0.06837741928625923
37,R3,Stor Bane,'25-R3,Stor bane 2,0.054033231988604546,0.03556074436365118,-0.01799081033061789,0.04116182124716822,0.06690464273004088,0.028018261887823255,0.08004820208938584,0.04116182124716822,0.06690464273004088
38,R4,Stor Bane,'25-R4,Stor bane 2,0.038903258384929966,,,0.029772458556261816,0.048034058213598116,0.028272927751146912,0.04953358901871302,0.029772458556261816,0.048034058213598116
39,R5,Stor Bane,'25-R5,Stor bane 2,0.037060954632635604,,,0.026056648998700874,0.048065260266570334,0.017247010763125424,0.05687489850214578,0.026056648998700874,0.048065260266570334
40,R6,Stor Bane,'25-R6,Stor bane 2,0.03470406010710213,,,0.01962677783366652,0.04978134238053773,0.0003841008261294965,0.06902401938807476,0.01962677783366652,0.04978134238053773
41,R7,Stor Bane,'25-R7,Stor bane 2,0.03819307153089553,,,0.027966787768223256,0.048419355293567806,0.023775961559885185,0.05261018150190588,0.027966787768223256,0.048419355293567806
42,R8,Stor Bane,'25-R8,Stor bane 2,0.03780925595693798,,,0.027816372788906016,0.047802139124969945,0.025543607887930204,0.050074904025945756,0.027816372788906016,0.047802139124969945
43,R9,Stor Bane,'25-R9,Stor bane 2,0.0370900513406815,,,0.02662690771271614,0.047553194968646864,0.023033578915452827,0.05114652376591018,0.02662690771271614,0.047553194968646864
