x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,0.0,-0.004157021586083902,-0.006754469365359839,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 2,-0.004154962726132842,-0.004636972810991311,-0.004709426131622507,-0.018348381394309592,0.01003845594204391,-0.019424017123434723,0.011114091671169037,-0.018348381394309592,0.01003845594204391
3,R3,Lille Bane,'23-R3,Lille bane 2,-0.004640239855055489,-0.003940693614875761,0.006298653516946473,-0.01106043741728142,0.0017799577071704424,-0.026867909063680244,0.017587429353569266,-0.01106043741728142,0.0017799577071704424
4,R4,Lille Bane,'23-R4,Lille bane 2,-0.003915904406985983,-0.002971537785723375,0.023552204451382508,-0.010882805270813624,0.0030509964568416576,-0.03484360854389455,0.02701179972992259,-0.010882805270813624,0.0030509964568416576
5,R5,Lille Bane,'23-R5,Lille bane 2,-0.003125846824187218,-0.0022790194593394868,0.0010994682137592804,-0.010205372709312165,0.00395367906093773,-0.018981696272370594,0.01273000262399616,-0.010205372709312165,0.00395367906093773
6,R6,Lille Bane,'23-R6,Lille bane 2,-0.0019889608646891073,0.00010364831155231283,0.04551670163109911,-0.010056393855644916,0.006078472126266701,-0.04107809433276055,0.03710017260338233,-0.010056393855644916,0.006078472126266701
7,R8,Lille Bane,'23-R8,Lille bane 2,-0.00021416983897659138,0.0003894272153738615,0.006595288853434411,-0.008834496998699419,0.008406157320746236,-0.027836698446773066,0.027408358768819887,-0.008834496998699419,0.008406157320746236
8,R9,Lille Bane,'23-R9,Lille bane 2,0.0006525107615154822,0.006424796643689858,0.08296532110373,-0.008762470590875971,0.010067492113906937,-0.03550066571570097,0.03680568723873194,-0.008762470590875971,0.010067492113906937
9,R10,Lille Bane,'23-R10,Lille bane 2,0.005867673477847671,-0.0008140341715777389,-0.03442666759029578,-0.005844753601628466,0.017580100557323806,-0.02360117830537333,0.035336525261068674,-0.005844753601628466,0.017580100557323806
10,R11,Lille Bane,'23-R11,Lille bane 2,-0.0009674062230171705,0.011769776537718296,0.05979954438173074,-0.012085283738223259,0.010150471292188917,-0.025789591216756263,0.02385477877072192,-0.012085283738223259,0.010150471292188917
11,R12,Lille Bane,'23-R12,Lille bane 2,0.009492524074342994,0.00921436706775235,0.009214437435586476,-0.00033784698971087157,0.01932289513839686,-0.000338078380299282,0.01932312652898527,-0.00033784698971087157,0.01932289513839686
12,R13,Lille Bane,'23-R13,Lille bane 2,0.010518913541883087,0.008985557040572585,-0.007449721671175524,0.006710365004894015,0.014327462078872158,-0.0027765735760112813,0.023814400659777454,0.006710365004894015,0.014327462078872158
13,R14,Lille Bane,'23-R14,Lille bane 2,0.013895802940612535,0.013624681486589494,0.006750093356610698,-0.006063237138561436,0.0338548430197865,-0.08889155292295511,0.11668315880418018,-0.006063237138561436,0.0338548430197865
14,R15,Lille Bane,'23-R15,Lille bane 2,0.010408090285426953,0.009508596360392824,-0.006922740553129358,0.0010380206578611169,0.01977815991299279,-0.03101400305767152,0.05183018362852543,0.0010380206578611169,0.01977815991299279
15,R16,Lille Bane,'23-R16,Lille bane 2,0.008475402935865434,0.011791486576572086,0.024644490555722598,0.0021556278886712956,0.014795177983059571,-0.005863176955282854,0.02281398282701372,0.0021556278886712956,0.014795177983059571
