x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 2,-2.6492161415448523,-1.4662065820010728,-2.404767202759439,-3.2159782085297905,-2.0791351461394214,-3.4871864805695374,-1.8039701438435696,-3.2159782085297905,-2.0791351461394214
2,R2,'23-R2,Lille Bane,Lille bane 2,-1.81308646814895,-1.7287983594009515,-1.1116607275388768,-2.498793841186475,-1.1225566460365544,-3.68161663078036,0.09169227805014835,-2.498793841186475,-1.1225566460365544
3,R3,'23-R3,Lille Bane,Lille bane 2,-1.7798984302011878,-1.504119954883465,0.6798548877980037,-2.4932189756936673,-1.06135951737798,-3.8294222246212484,0.31330346079541105,-2.4932189756936673,-1.06135951737798
4,R4,'23-R4,Lille Bane,Lille bane 2,-1.5571174446735725,-1.2489289964613515,1.802833756074218,-2.3211466280110504,-0.7871121408879023,-3.900963219196063,0.843894490913355,-2.3211466280110504,-0.7871121408879023
5,R5,'23-R5,Lille Bane,Lille bane 2,-1.1229523827862353,-1.0013846215875644,-0.8711132263837684,-1.5695151018730868,-0.674363683005641,-1.7308696349620178,-0.5112744034714178,-1.5695151018730868,-0.674363683005641
6,R6,'23-R6,Lille Bane,Lille bane 2,-1.1525572211795065,-0.7852566892153967,4.018331492510296,-2.199600934172241,-0.09430393698472983,-4.959395403674716,2.806763334605056,-2.199600934172241,-0.09430393698472983
7,R8,'23-R8,Lille Bane,Lille bane 2,-0.8561559823456744,-0.7603407213046753,0.2795779970558243,-1.508531416618475,-0.19945942550900764,-3.0675314405879117,1.4056688401807182,-1.508531416618475,-0.19945942550900764
8,R9,'23-R9,Lille Bane,Lille bane 2,-0.6154900586276768,-0.04985988155948862,8.196873983026553,-1.6851206345996794,0.4657777138342256,-4.706408299310361,3.651049771642234,-1.6851206345996794,0.4657777138342256
9,R10,'23-R10,Lille Bane,Lille bane 2,-0.32160903345321845,-0.6611621322936023,-4.478900261345764,-1.1033076240786532,0.4662682540720331,-3.0853602747767606,2.52095714177063,-1.1033076240786532,0.4662682540720331
10,R11,'23-R11,Lille Bane,Lille bane 2,-0.7142391908008139,-0.15498909352219536,5.539913562807919,-1.3935513837357028,-0.03024713096122511,-3.0034622270127542,1.6290119811553927,-1.3935513837357028,-0.03024713096122511
