x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 2,6.938893903907228e-18,,,-0.02356147912534532,0.023561479125345335,-0.04005031838963167,0.04005031838963168,-0.02356147912534532,0.023561479125345335
2,R2,Lille Bane,'25-R2,Lille bane 2,-0.010515501175597677,,,-0.034104551990016385,0.01307354963882103,-0.07161858992095879,0.05058758756976344,-0.034104551990016385,0.01307354963882103
3,R3,Lille Bane,'25-R3,Lille bane 2,-0.01319996108441023,,,-0.036791334325881296,0.010391412157060834,-0.051868734865977706,0.025468812697157242,-0.036791334325881296,0.010391412157060834
4,R4,Lille Bane,'25-R4,Lille bane 2,-0.025912150838885536,,,-0.04896710369945169,-0.002857197978319379,-0.050354113581361735,-0.0014701880964093361,-0.04896710369945169,-0.002857197978319379
5,R5,Lille Bane,'25-R5,Lille bane 2,-0.0103838137441212,,,-0.029659519982097468,0.008891892493855066,-0.03144024969299526,0.010672622204752857,-0.029659519982097468,0.008891892493855066
6,R6,Lille Bane,'25-R6,Lille bane 2,0.006600740382338766,,,-0.009670393988793706,0.022871874753471237,-0.018163569608349178,0.03136505037302671,-0.009670393988793706,0.022871874753471237
7,R7,Lille Bane,'25-R7,Lille bane 2,0.0066168436702883655,,,-0.009948397136908956,0.02318208447748569,-0.01774180278282559,0.030975490123402324,-0.009948397136908956,0.02318208447748569
8,R8,Lille Bane,'25-R8,Lille bane 2,0.001417393704727947,,,-0.015389199077959501,0.018223986487415394,-0.021137749308503446,0.023972536717959337,-0.015389199077959501,0.018223986487415394
9,R9,Lille Bane,'25-R9,Lille bane 2,0.004004561527805841,,,-0.013075153337183745,0.021084276392795427,-0.02642532544807318,0.034434448503684864,-0.013075153337183745,0.021084276392795427
10,R10,Lille Bane,'25-R10,Lille bane 2,0.004096477627890984,,,-0.015157259082895232,0.0233502143386772,-0.026909238161260375,0.03510219341704234,-0.015157259082895232,0.0233502143386772
11,R11,Lille Bane,'25-R11,Lille bane 2,0.0032233608077861914,,,-0.0162911192325997,0.02273784084817208,-0.04945984492232934,0.05590656653790173,-0.0162911192325997,0.02273784084817208
12,R12,Lille Bane,'25-R12,Lille bane 2,0.0035102795809631776,,,-0.016327287166967037,0.023347846328893394,-0.06657037137836759,0.07359093054029393,-0.016327287166967037,0.023347846328893394
13,R13,Lille Bane,'25-R13,Lille bane 2,0.0034857561456863497,,,-0.01667127345241383,0.023642785743786525,-0.028519890292864405,0.03549140258423711,-0.01667127345241383,0.023642785743786525
14,R14,Lille Bane,'25-R14,Lille bane 2,0.002961842249463946,,,-0.017503517859925013,0.023427202358852903,-0.019416423127213412,0.025340107626141303,-0.017503517859925013,0.023427202358852903
15,R15,Lille Bane,'25-R15,Lille bane 2,0.003763806154095454,,,-0.01697719069428334,0.024504803002474245,-0.025623350658246093,0.033150962966437,-0.01697719069428334,0.024504803002474245
16,R16,Lille Bane,'25-R16,Lille bane 2,0.0030718609434321593,,,-0.017970159034899052,0.024113880921763368,-0.019589513230994213,0.02573323511785853,-0.017970159034899052,0.024113880921763368
17,R17,Lille Bane,'25-R17,Lille bane 2,0.002998366605246137,,,-0.018309340560625255,0.02430607377111753,-0.0291690273617318,0.03516576057222408,-0.018309340560625255,0.02430607377111753
