x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 2,6.938893903907228e-18,,,-0.02356147912534532,0.023561479125345335,-0.04005031838963167,0.04005031838963168,-0.02356147912534532,0.023561479125345335
2,R2,Lille Bane,'25-R2,Lille bane 2,-0.010515501175597677,-0.004587324660436731,0.0341034871212545,-0.034104551990016385,0.01307354963882103,-0.07161858992095879,0.05058758756976344,-0.034104551990016385,0.01307354963882103
3,R3,Lille Bane,'25-R3,Lille bane 2,-0.004587324660436731,-0.0004211199175741275,0.022681153368782438,-0.02654331031666449,0.01736866099579103,-0.0422806460912701,0.03310599677039664,-0.02654331031666449,0.01736866099579103
4,R4,Lille Bane,'25-R4,Lille bane 2,-0.000421119917574126,,,-0.018456728443692713,0.017614488608544462,-0.020198932390369705,0.019356692555221454,-0.018456728443692713,0.017614488608544462
5,R5,Lille Bane,'25-R5,Lille bane 2,0.007369259600295314,-0.01884060557341721,-0.0252583774930283,-0.009785609155732799,0.024524128356323425,-0.011764745885562273,0.0265032650861529,-0.009785609155732799,0.024524128356323425
6,R6,Lille Bane,'25-R6,Lille bane 2,-0.01884060557341721,,,-0.027260026051789763,-0.010421185095044656,-0.039320055682809246,0.001638844535974824,-0.027260026051789763,-0.010421185095044656
7,R7,Lille Bane,'25-R7,Lille bane 2,-0.01883813566598785,,,-0.027988672633407125,-0.009687598698568575,-0.03890474426882536,0.0012284729368496616,-0.027988672633407125,-0.009687598698568575
8,R8,Lille Bane,'25-R8,Lille bane 2,-0.0192464444618499,,,-0.029071494562994495,-0.009421394360705307,-0.03721320613094989,-0.0012796827927499116,-0.029071494562994495,-0.009421394360705307
9,R9,Lille Bane,'25-R9,Lille bane 2,-0.0190387363775733,,,-0.02949415242271057,-0.008583320332436027,-0.0463073462829634,0.008229873527816806,-0.02949415242271057,-0.008583320332436027
10,R10,Lille Bane,'25-R10,Lille bane 2,-0.01905139412990539,,,-0.032787942618563264,-0.005314845641247519,-0.04696807012563601,0.008865281865825227,-0.032787942618563264,-0.005314845641247519
11,R11,Lille Bane,'25-R11,Lille bane 2,-0.019097658491148986,,,-0.03321305677060485,-0.00498226021169312,-0.07002849103237813,0.03183317405008015,-0.03321305677060485,-0.00498226021169312
12,R12,Lille Bane,'25-R12,Lille bane 2,-0.019114414958359045,,,-0.0336766850755793,-0.004552144841138792,-0.087888162096143,0.04965933217942492,-0.0336766850755793,-0.004552144841138792
13,R13,Lille Bane,'25-R13,Lille bane 2,-0.01918432431684535,,,-0.03418074956177822,-0.004187899071912483,-0.04821789681245274,0.009849248178762041,-0.03418074956177822,-0.004187899071912483
14,R14,Lille Bane,'25-R14,Lille bane 2,-0.019156430220425964,,,-0.034572998890344,-0.0037398615505079245,-0.03703452817340537,-0.0012783322674465615,-0.034572998890344,-0.0037398615505079245
15,R15,Lille Bane,'25-R15,Lille bane 2,-0.01930875547490702,,,-0.035116165663853983,-0.003501345285960057,-0.04544857667036123,0.006831065720547192,-0.035116165663853983,-0.003501345285960057
16,R16,Lille Bane,'25-R16,Lille bane 2,-0.01995927203269843,,,-0.036163177830196735,-0.0037553662352001263,-0.03821681397566183,-0.001701730089735027,-0.036163177830196735,-0.0037553662352001263
17,R17,Lille Bane,'25-R17,Lille bane 2,-0.020116055890215714,,,-0.03667975629701069,-0.0035523554834207376,-0.04935779012617206,0.009125678345740629,-0.03667975629701069,-0.0035523554834207376
