x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,0.0,-0.013121368247609644,-0.021320043214780426,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 1,-0.013114869590090382,-0.025580624542295052,-0.02745441384427849,-0.027308288258267133,0.0010785490780863688,-0.028383923987392264,0.0021541848072114973,-0.027308288258267133,0.0010785490780863688
3,R3,Lille Bane,'23-R3,Lille bane 1,-0.02560641104824186,,,-0.032026608610467786,-0.019186213486015933,-0.04783408025686661,-0.003378741839617106,-0.032026608610467786,-0.019186213486015933
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.02587718972604399,-0.02519099608554267,-0.003903192000972666,-0.03305600223851105,-0.018698377213576926,-0.05685331802870479,0.005098938576616804,-0.03305600223851105,-0.018698377213576926
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.025253143627841642,,,-0.03252057213007362,-0.017985715125609664,-0.0411937769904266,-0.00931251026525668,-0.03252057213007362,-0.017985715125609664
6,R6,Lille Bane,'23-R6,Lille bane 1,-0.0251897296961761,-0.024070313499373216,-0.00385957176679419,-0.033965754766137876,-0.016413704626214328,-0.06443123191321333,0.014051772520861133,-0.033965754766137876,-0.016413704626214328
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.024194852458439498,-0.023356170035411513,-0.015940412765889533,-0.03343285446111063,-0.014956850455768366,-0.05201633206232174,0.003626627145442745,-0.03343285446111063,-0.014956850455768366
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.023225712264576037,-0.02703068380863477,-0.07222604983629033,-0.03311600602350875,-0.01333541850564333,-0.059505571775947654,0.013054147246795579,-0.03311600602350875,-0.01333541850564333
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.02696001815329055,-0.0246563993003389,-0.013282494876740714,-0.03901534053080669,-0.014904695775774407,-0.05656682606895824,0.0026467897623771476,-0.03901534053080669,-0.014904695775774407
10,R11,Lille Bane,'23-R11,Lille bane 1,-0.024677372590597553,,,-0.03606499675574155,-0.013289748425453558,-0.049621543283303544,0.0002667981021084384,-0.03606499675574155,-0.013289748425453558
11,R12,Lille Bane,'23-R12,Lille bane 1,-0.024665779142072783,,,-0.03566146493448422,-0.013670093349661341,-0.035661671802956214,-0.013669886481189353,-0.03566146493448422,-0.013670093349661341
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.027032368372976064,-0.02094709215084891,-0.012268148054463524,-0.038045653835131844,-0.016019082910820284,-0.04387153083476214,-0.010193205911189985,-0.038045653835131844,-0.016019082910820284
13,R14,Lille Bane,'23-R14,Lille bane 1,-0.018317512436881497,-0.01828337058460192,-0.016628641713116288,-0.04002650441439844,0.0033914795406354455,-0.12145895695469654,0.08482393208093354,-0.04002650441439844,0.0033914795406354455
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.020130436972953417,-0.024963697358614517,-0.07121637372571854,-0.03230005883490443,-0.007960815111002401,-0.062274135296211744,0.022013261350304913,-0.03230005883490443,-0.007960815111002401
15,R16,Lille Bane,'23-R16,Lille bane 1,-0.024550989482306197,,,-0.03426522465249772,-0.014836754312114677,-0.040676177282437095,-0.008425801682175302,-0.03426522465249772,-0.014836754312114677
16,R17,Lille Bane,'23-R17,Lille bane 1,-0.024001784841429653,,,-0.03434465439231754,-0.013658915290541765,-0.046327899434514,-0.0016756702483453033,-0.03434465439231754,-0.013658915290541765
17,R1,Lille Bane,'24-R1,Lille bane 2,-0.02147636268852784,-0.0352584558975168,-0.04039614238265976,-0.036132655346761904,-0.006820070030293781,-0.03957829180046259,-0.0033744335765930923,-0.036132655346761904,-0.006820070030293781
18,R2,Lille Bane,'24-R2,Lille bane 2,-0.03594732374860517,-0.030450190404321273,-0.005028640106433002,-0.047127899150340616,-0.02476674834686972,-0.06240185565950909,-0.009492791837701246,-0.047127899150340616,-0.02476674834686972
19,R3,Lille Bane,'24-R3,Lille bane 2,-0.030245215126252372,-0.0286292311160583,-0.010202998356103166,-0.04274786960124527,-0.017742560651259478,-0.06521432260787804,0.004723892355373297,-0.04274786960124527,-0.017742560651259478
20,R4,Lille Bane,'24-R4,Lille bane 2,-0.029341415434944347,,,-0.0401285317881166,-0.018554299081772092,-0.05322756763806814,-0.005455263231820551,-0.0401285317881166,-0.018554299081772092
21,R5,Lille Bane,'24-R5,Lille bane 2,-0.02931201421959076,,,-0.04069407602283002,-0.0179299524163515,-0.05449743843017395,-0.004126590009007572,-0.04069407602283002,-0.0179299524163515
22,R6,Lille Bane,'24-R6,Lille bane 2,-0.028849225342169587,-0.028859438328923473,-0.02967574047847954,-0.04302799739656857,-0.01467045328777061,-0.06848364243222983,0.010785191747890662,-0.04302799739656857,-0.01467045328777061
23,R7,Lille Bane,'24-R7,Lille bane 2,-0.030225691563492106,-0.01889563580482714,0.0011277764966131087,-0.04118745037999527,-0.019263932746988944,-0.04857955009598037,-0.011871833031003844,-0.04118745037999527,-0.019263932746988944
24,R8,Lille Bane,'24-R8,Lille bane 2,-0.018264090178638413,-0.016337372990969455,-0.010791745349852278,-0.02851460239975149,-0.008013577957525336,-0.03966657607488936,0.003138395717612534,-0.02851460239975149,-0.008013577957525336
25,R9,Lille Bane,'24-R9,Lille bane 2,-0.010437842363380597,-0.017624079537011943,-0.09402302211290525,-0.026554326881884777,0.0056786421551235835,-0.06533552427561966,0.04445983954885847,-0.026554326881884777,0.0056786421551235835
26,R10,Lille Bane,'24-R10,Lille bane 2,-0.01720306495807758,-0.02739218772314022,-0.11721506906056156,-0.03673825374574099,0.002332123829585829,-0.07830678854463266,0.04390065862847751,-0.03673825374574099,0.002332123829585829
27,R11,Lille Bane,'24-R11,Lille bane 2,-0.027210963700681802,-0.02983817038104009,-0.05287707222131921,-0.04563968276097316,-0.00878224464039044,-0.08372823780437585,0.02930631040301225,-0.04563968276097316,-0.00878224464039044
