x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 1,0.0,-1.3035658381718385,-2.10943776717315,-2.186992526583653,2.235891302266757,-2.816662809212467,2.8982980937183545,-2.186992526583653,2.235891302266757
2,R2,'23-R2,Lille Bane,Lille bane 1,-1.302924441763742,-2.5256212474140005,-2.708096681888994,-2.69387880673011,0.10791309213067368,-2.7984884763130102,0.21565067302877772,-2.69387880673011,0.10791309213067368
3,R3,'23-R3,Lille Bane,Lille bane 1,-2.528134738654142,,,-3.1519188192323355,-1.900332957627593,-4.670805608906381,-0.33730403145424415,-3.1519188192323355,-1.900332957627593
4,R4,'23-R4,Lille Bane,Lille bane 1,-2.5545244684032076,-2.4876350558777016,-0.38955844482060353,-3.251562321895729,-1.8524647067449163,-5.5267365551056935,0.5111960286813488,-3.251562321895729,-1.8524647067449163
5,R5,'23-R5,Lille Bane,Lille bane 1,-2.493695021394804,,,-3.1997464247607854,-1.782493749451175,-4.035684483292757,-0.9269283129984873,-3.1997464247607854,-1.782493749451175
6,R6,'23-R6,Lille Bane,Lille bane 1,-2.487511567177425,-2.3782933893415903,-0.38521331926634206,-3.3395394328499473,-1.6279733763975957,-6.239941095620072,1.4150962731228178,-3.3395394328499473,-1.6279733763975957
7,R8,'23-R8,Lille Bane,Lille bane 1,-2.3904503380425712,-2.3085525861193945,-1.5814036772525353,-3.288015316540316,-1.4845552348631497,-5.068663752871805,0.3633211314705065,-3.288015316540316,-1.4845552348631497
8,R9,'23-R9,Lille Bane,Lille bane 1,-2.295807146307327,-2.666862444752738,-6.967942677286709,-3.2573674201833547,-1.3246895745199216,-5.776971631942729,1.3139724601317848,-3.2573674201833547,-1.3246895745199216
9,R10,'23-R10,Lille Bane,Lille bane 1,-2.659984091771894,-2.4354913223666674,-1.319467180816325,-3.8264044506850614,-1.4794170593781741,-5.499666847276041,0.2650295602792063,-3.8264044506850614,-1.4794170593781741
10,R11,'23-R11,Lille Bane,Lille bane 1,-2.4375375496679674,,,-3.5422402968855904,-1.320182962272154,-4.841050820381887,0.026683369588753614,-3.5422402968855904,-1.320182962272154
11,R12,'23-R12,Lille Bane,Lille bane 1,-2.436406457724982,,,-3.503308666890703,-1.3577081930862933,-3.503328629011726,-1.3576877871040116,-3.503308666890703,-1.3577081930862933
12,R13,'23-R13,Lille Bane,Lille bane 1,-2.6670264085473905,-2.0729225690718223,-1.21932011258713,-3.73310096434204,-1.5891459779411754,-4.292309555358731,-1.0141431253725353,-3.73310096434204,-1.5891459779411754
13,R14,'23-R14,Lille Bane,Lille bane 1,-1.8150766481869196,-1.8117243758116852,-1.6491149011024553,-3.9236025671655073,0.3397237114430629,-11.43725985514964,8.852539542408945,-3.9236025671655073,0.3397237114430629
14,R15,'23-R15,Lille Bane,Lille bane 1,-1.992917250299231,-2.4654681003011936,-6.873962994954486,-3.1783983281886474,-0.7929211740854036,-6.037473296953788,2.2257340893249156,-3.1783983281886474,-0.7929211740854036
15,R16,'23-R16,Lille Bane,Lille bane 1,-2.4252065232106212,,,-3.3684819960621226,-1.4727231993798329,-3.9860005245118457,-0.8390404102610383,-3.3684819960621226,-1.4727231993798329
16,R17,'23-R17,Lille Bane,Lille bane 1,-2.371603275571754,,,-3.3761571075754837,-1.3566055575541358,-4.527114419211653,-0.16742670968038498,-3.3761571075754837,-1.3566055575541358
17,R1,'24-R1,Lille Bane,Lille bane 2,-2.1247387723925204,-3.4644117908761984,-3.9591094887529876,-3.548766272228443,-0.6796866133385371,-3.8805302618804105,-0.3368746574214043,-3.548766272228443,-0.6796866133385371
18,R2,'24-R2,Lille Bane,Lille bane 2,-3.530889154391248,-2.999125339259001,-0.5016017662545447,-4.603462157389126,-2.446256878879116,-6.049473458651821,-0.9447877522368642,-4.603462157389126,-2.446256878879116
19,R3,'24-R3,Lille Bane,Lille bane 2,-2.979240520123938,-2.8223297756669874,-1.0151124341772122,-4.184706090257295,-1.7586088196007377,-6.31333498449298,0.4735067524702208,-4.184706090257295,-1.7586088196007377
