x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 1,-5.810551496825981e-05,,,-0.014104161223192867,0.013987950193256347,-0.03385489844631212,0.033738687416375604,-0.014104161223192867,0.013987950193256347
2,R2,Stor Bane,'24-R2,Stor bane 1,-0.0009241284242300412,,,-0.015161672903137765,0.013313416054677682,-0.015298310698544407,0.013450053850084324,-0.015161672903137765,0.013313416054677682
3,R3,Stor Bane,'24-R3,Stor bane 1,0.012602890710095172,,,-0.0002278189359877069,0.025433600356178053,-0.013561543554197211,0.038767324974387556,-0.0002278189359877069,0.025433600356178053
4,R4,Stor Bane,'24-R4,Stor bane 1,0.012486475338572263,,,-0.0005466931315591811,0.025519643808703706,-0.005037040707498783,0.03000999138464331,-0.0005466931315591811,0.025519643808703706
5,R5,Stor Bane,'24-R5,Stor bane 1,0.026184376005127567,,,0.015512195241349572,0.03685655676890556,0.009533608078526289,0.042835143931728846,0.015512195241349572,0.03685655676890556
6,R6,Stor Bane,'24-R6,Stor bane 1,0.027908894532834266,,,0.017730978725020167,0.03808681034064837,0.011849948896582141,0.04396784016908639,0.017730978725020167,0.03808681034064837
7,R7,Stor Bane,'24-R7,Stor bane 1,0.02827853784591602,,,0.017861711143897178,0.03869536454793486,0.01279550228804525,0.043761573403786794,0.017861711143897178,0.03869536454793486
8,R8,Stor Bane,'24-R8,Stor bane 1,0.02391696655171333,,,0.013720502382201185,0.034113430721225475,0.008827841019390647,0.03900609208403601,0.013720502382201185,0.034113430721225475
9,R9,Stor Bane,'24-R9,Stor bane 1,0.024351006737626003,,,0.01393153413305992,0.03477047934219209,-0.01751480351389182,0.06621681698914383,0.01393153413305992,0.03477047934219209
10,R10,Stor Bane,'24-R10,Stor bane 1,0.024486317107081535,,,0.012588712734332524,0.03638392147983055,0.003047453720436407,0.04592518049372667,0.012588712734332524,0.03638392147983055
11,R11,Stor Bane,'24-R11,Stor bane 1,0.02436629910967686,,,0.01233783753287497,0.03639476068647875,-0.03262547561743614,0.08135807383678986,0.01233783753287497,0.03639476068647875
12,R12,Stor Bane,'24-R12,Stor bane 1,0.024349564091017423,,,0.012106634021671687,0.036592494160363156,-0.0012611709034811812,0.049960299085516024,0.012106634021671687,0.036592494160363156
13,R13,Stor Bane,'24-R13,Stor bane 1,0.0242432442181467,,,0.011801952934727584,0.036684535501565814,0.003886387526856532,0.04460010090943686,0.011801952934727584,0.036684535501565814
14,R14,Stor Bane,'24-R14,Stor bane 1,0.024476617713740503,,,0.011859647463871316,0.03709358796360969,-0.014057770488869921,0.06301100591635092,0.011859647463871316,0.03709358796360969
15,R15,Stor Bane,'24-R15,Stor bane 1,0.024537075321740723,,,0.011722016345735598,0.03735213429774585,-0.009993918595835184,0.05906806923931663,0.011722016345735598,0.03735213429774585
16,R16,Stor Bane,'24-R16,Stor bane 1,0.02457088867244164,,,0.011561580766264791,0.03758019657861849,-0.03896411292310459,0.08810589026798787,0.011561580766264791,0.03758019657861849
17,R17,Stor Bane,'24-R17,Stor bane 1,0.024573510945583243,,,0.011366139405304508,0.03778088248586198,-0.0024623674911539682,0.05160938938232046,0.011366139405304508,0.03778088248586198
18,R18,Stor Bane,'24-R18,Stor bane 1,0.024670941392323568,,,0.011403724254992087,0.03793815852965505,0.005991627328751744,0.043350255455895395,0.011403724254992087,0.03793815852965505
19,R1,Stor Bane,'25-R1,Stor bane 1,0.024029225423825473,,,0.005479378290678346,0.0425790725569726,0.003183208411106902,0.04487524243654405,0.005479378290678346,0.0425790725569726
20,R2,Stor Bane,'25-R2,Stor bane 1,0.0240106910328606,,,0.005789108354361687,0.042232273711359514,-0.026485687932696084,0.07450706999841729,0.005789108354361687,0.042232273711359514
21,R3,Stor Bane,'25-R3,Stor bane 1,0.02336139258344779,,,0.0050036333860782566,0.04171915178081732,-0.0027388516647422097,0.04946163683163779,0.0050036333860782566,0.04171915178081732
22,R4,Stor Bane,'25-R4,Stor bane 1,0.023254558901112166,,,0.004793881498427244,0.04171523630379709,-0.001515897538593585,0.04802501534081792,0.004793881498427244,0.04171523630379709
23,R5,Stor Bane,'25-R5,Stor bane 1,0.023437048295239307,,,0.004861681714312536,0.04201241487616608,0.0012437786438085352,0.04563031794667008,0.004861681714312536,0.04201241487616608
24,R6,Stor Bane,'25-R6,Stor bane 1,0.023710366336032573,,,0.005037600251100626,0.04238313242096452,-0.010908589531945657,0.058329322204010804,0.005037600251100626,0.04238313242096452
25,R7,Stor Bane,'25-R7,Stor bane 1,0.02235267445863398,,,0.003562415192525637,0.04114293372474233,-0.0030830253591728127,0.047788374276440775,0.003562415192525637,0.04114293372474233
26,R8,Stor Bane,'25-R8,Stor bane 1,0.022059211179742157,,,0.003147367686719669,0.04097105467276464,-8.364911706543535e-05,0.044202071476549754,0.003147367686719669,0.04097105467276464
27,R9,Stor Bane,'25-R9,Stor bane 1,0.021641868410778302,,,0.0026130648274032622,0.04067067199415334,0.001911389483029928,0.041372347338526676,0.0026130648274032622,0.04067067199415334
28,R10,Stor Bane,'25-R10,Stor bane 1,0.021398736380224444,,,0.0015825666295475188,0.04121490613090137,-0.008507602512708892,0.05130507527315778,0.0015825666295475188,0.04121490613090137
