x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 1,-0.005810382687554405,,,-1.400516351435932,1.4086239321665195,-3.328823415960691,3.4314292071404573,-1.400516351435932,1.4086239321665195
2,R2,'24-R2,Stor Bane,Stor bane 1,-0.09237015490637379,,,-1.504731343033161,1.3402434184661915,-1.518188599994541,1.3540912719613996,-1.504731343033161,1.3402434184661915
3,R3,'24-R3,Stor Bane,Stor bane 1,1.2682641816554208,,,-0.02277929872245288,2.5759793924188257,-1.3470000113115943,3.952858316943497,-0.02277929872245288,2.5759793924188257
4,R4,'24-R4,Stor Bane,Stor bane 1,1.2564756852516457,,,-0.05465437220973923,2.584805763552245,-0.5024376090939975,3.0464829672557148,-0.05465437220973923,2.584805763552245
5,R5,'24-R5,Stor Bane,Stor bane 1,2.653019856347205,,,1.56331338739768,3.754418147361882,0.9579197682656027,4.376580953879183,1.56331338739768,3.754418147361882
6,R6,'24-R6,Stor Bane,Stor bane 1,2.8301996219983083,,,1.7889105727917132,3.8821409404736773,1.1920437695397634,4.494874897298606,1.7889105727917132,3.8821409404736773
7,R7,'24-R7,Stor Bane,Stor bane 1,2.8682171436998916,,,1.8022185531590296,3.9453780940712946,1.2877715004231405,4.473323300228671,1.8022185531590296,3.9453780940712946
8,R8,'24-R8,Stor Bane,Stor bane 1,2.420527106439496,,,1.3815060441452864,3.4701967062235717,0.8866921321505128,3.97768180386171,1.3815060441452864,3.4701967062235717
9,R9,'24-R9,Stor Bane,Stor bane 1,2.464991380008774,,,1.4029030185115587,3.53820399588185,-1.736231093327767,6.845835197680605,1.4029030185115587,3.53820399588185
10,R10,'24-R10,Stor Bane,Stor bane 1,2.4788568939014155,,,1.2668284128385165,3.7053917346669962,0.30521019280587147,4.699607229714431,1.2668284128385165,3.7053917346669962
11,R11,'24-R11,Stor Bane,Stor bane 1,2.4665583247602596,,,1.2414262633773765,3.7065158249306673,-3.2099005763261412,8.475925093981807,1.2414262633773765,3.7065158249306673
12,R12,'24-R12,Stor Bane,Stor bane 1,2.4648435593430884,,,1.2180215958709661,3.727024102088805,-0.12603759616782728,5.122936078060358,1.2180215958709661,3.727024102088805
13,R13,'24-R13,Stor Bane,Stor bane 1,2.4539500893085764,,,1.1871870766187564,3.7365717158869494,0.3893949323711787,4.560963794770023,1.1871870766187564,3.7365717158869494
14,R14,'24-R14,Stor Bane,Stor bane 1,2.477862915979756,,,1.19302519214457,3.77901409593957,-1.3959421428859864,6.503856089211313,1.19302519214457,3.77901409593957
15,R15,'24-R15,Stor Bane,Stor bane 1,2.484058669732958,,,1.1790988413114434,3.805849248509996,-0.9944145339341848,6.084744936144726,1.1790988413114434,3.805849248509996
16,R16,'24-R16,Stor Bane,Stor bane 1,2.4875240577378888,,,1.162867416042368,3.8295261470586706,-3.821477581266164,9.210375906538903,1.162867416042368,3.8295261470586706
17,R17,'24-R17,Stor Bane,Stor bane 1,2.4877928083719247,,,1.1430979395055774,3.8503653607104615,-0.24593383511186673,5.2964363113744195,1.1430979395055774,3.8503653607104615
18,R18,'24-R18,Stor Bane,Stor bane 1,2.4977787262689954,,,1.146899459077888,3.866699819796726,0.600961303104075,4.4303603835945005,1.146899459077888,3.866699819796726
19,R1,'25-R1,Stor Bane,Stor bane 1,2.4320253646722634,,,0.549441753993607,4.349856521129136,0.31882801990927856,4.589736816169321,0.549441753993607,4.349856521129136
20,R2,'25-R2,Stor Bane,Stor bane 1,2.4301268670606335,,,0.5805897624796996,4.31367438567174,-2.613801828597806,7.735296037905415,0.5805897624796996,4.31367438567174
21,R3,'25-R3,Stor Bane,Stor bane 1,2.3636407315208663,,,0.5016172464536561,4.26016248192882,-0.2735104432340041,5.070528305796285,0.5016172464536561,4.26016248192882
22,R4,'25-R4,Stor Bane,Stor bane 1,2.352705430983848,,,0.4805390531969378,4.259754254457682,-0.15147491462748075,4.919690101426077,0.4805390531969378,4.259754254457682
23,R5,'25-R5,Stor Bane,Stor bane 1,2.371385418583194,,,0.4873518863901749,4.290742623694177,0.1244552457250192,4.668739787900766,0.4873518863901749,4.290742623694177
24,R6,'25-R6,Stor Bane,Stor bane 1,2.3993691891395663,,,0.5050310292986193,4.329412199046989,-1.0849306629257205,6.00640408593025,0.5050310292986193,4.329412199046989
25,R7,'25-R7,Stor Bane,Stor bane 1,2.2604367324162267,,,0.35687681352274403,4.200103199060812,-0.3078277716777378,4.894864731753157,0.35687681352274403,4.200103199060812
26,R8,'25-R8,Stor Bane,Stor bane 1,2.230431452291115,,,0.31523258487524686,4.182194923179794,-0.00836456185755452,4.519353735212195,0.31523258487524686,4.182194923179794
27,R9,'25-R9,Stor Bane,Stor bane 1,2.1877752227100533,,,0.261648185695762,4.150905096101476,0.1913217352312424,4.224010863559391,0.261648185695762,4.150905096101476
28,R10,'25-R10,Stor Bane,Stor bane 1,2.162933121499999,,,0.15838195489716878,4.207603001096216,-0.8471515273594021,5.264397995263392,0.15838195489716878,4.207603001096216
29,R11,'25-R11,Stor Bane,Stor bane 1,2.1969603277455674,,,0.1819456730181912,4.252504082117481,-4.538097882501269,9.407192487905757,0.1819456730181912,4.252504082117481
30,R12,'25-R12,Stor Bane,Stor bane 1,2.2144063240982836,,,0.18586522892412027,4.2840208677614955,-0.6840714400079939,5.1974744804087925,0.18586522892412027,4.2840208677614955
31,R13,'25-R13,Stor Bane,Stor bane 1,2.20271351225354,,,0.16200287623291398,4.285001790297893,-6.330282801785703,11.51303710210092,0.16200287623291398,4.285001790297893
32,R14,'25-R14,Stor Bane,Stor bane 1,2.210812628885761,,,0.15687989011594627,4.306865686299899,-0.5968378353820469,5.097765410683985,0.15687989011594627,4.306865686299899
33,R15,'25-R15,Stor Bane,Stor bane 1,2.1907806149907616,,,0.12507042331151297,4.299109089763009,-0.5864070749727168,5.045550969842938,0.12507042331151297,4.299109089763009
34,R16,'25-R16,Stor Bane,Stor bane 1,2.17620104381242,,,0.09887439374076656,4.2966379290114265,-0.23300028682854412,4.643580440028661,0.09887439374076656,4.2966379290114265
35,R17,'25-R17,Stor Bane,Stor bane 1,2.175105834857405,2.321617789727193,2.3835974254887926,0.08651573297715487,4.307280315529605,-0.24911620201037987,4.658243164104325,0.08651573297715487,4.307280315529605
