x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 1,-0.020401777789226624,,,-0.03200900795701704,-0.008794547621436204,-0.05540380583033504,0.014600250251881788,-0.03200900795701704,-0.008794547621436204
2,R2,Lille Bane,'25-R2,Lille bane 1,-0.027725486242465118,,,-0.04681325576710707,-0.008637716717823162,-0.09079612799796236,0.03534515551303213,-0.04681325576710707,-0.008637716717823162
3,R3,Lille Bane,'25-R3,Lille bane 1,-0.021648865538160332,,,-0.03425113386530797,-0.009046597211012693,-0.06029222931035372,0.016994498234033054,-0.03425113386530797,-0.009046597211012693
4,R4,Lille Bane,'25-R4,Lille bane 1,-0.015700011969358912,-0.015446791352391775,-0.015902022233547086,-0.023117102442719098,-0.008282921495998727,-0.03097138474172928,-0.00042863919698854676,-0.023117102442719098,-0.008282921495998727
5,R5,Lille Bane,'25-R5,Lille bane 1,-0.013845857442143525,-0.012032881869481765,-0.009987797500462747,-0.019980141352571253,-0.007711573531715796,-0.02330584493222561,-0.004385869952061439,-0.019980141352571253,-0.007711573531715796
6,R6,Lille Bane,'25-R6,Lille bane 1,-0.014396308364192999,,,-0.02114428688891434,-0.007648329839471658,-0.03287307780846813,0.004080461080082136,-0.02114428688891434,-0.007648329839471658
7,R7,Lille Bane,'25-R7,Lille bane 1,-0.014419952932220748,-0.013762652562674966,-0.00888005182873286,-0.021322604259964854,-0.007517301604476643,-0.03332905517602494,0.004489149311583448,-0.021322604259964854,-0.007517301604476643
8,R8,Lille Bane,'25-R8,Lille bane 1,-0.013300836596001803,-0.013272992405301833,-0.01405248204504339,-0.019637105565960263,-0.006964567626043343,-0.030003113766022486,0.0034014405740188797,-0.019637105565960263,-0.006964567626043343
9,R9,Lille Bane,'25-R9,Lille bane 1,-0.015852891800093177,-0.01654809911184287,-0.02362824841516975,-0.024424524682112307,-0.007281258918074048,-0.04443676934216319,0.012730985741976838,-0.024424524682112307,-0.007281258918074048
10,R10,Lille Bane,'25-R10,Lille bane 1,-0.016304899093689353,-0.010176864018664356,0.047883817717428556,-0.024790490784521925,-0.007819307402856782,-0.0438823264621887,0.011272528274809995,-0.024790490784521925,-0.007819307402856782
11,R11,Lille Bane,'25-R11,Lille bane 1,-0.0124689999002627,-0.018565033762127155,-0.10300058645658616,-0.026205385377342023,0.0012673855768166268,-0.06553275933839962,0.040594759537874225,-0.026205385377342023,0.0012673855768166268
12,R12,Lille Bane,'25-R12,Lille bane 1,-0.02279403556988152,-0.024068510279123802,-0.04430647151726319,-0.041187561346808454,-0.004400509792954584,-0.09823967716074271,0.052651606020979666,-0.041187561346808454,-0.004400509792954584
13,R13,Lille Bane,'25-R13,Lille bane 1,-0.01459392390455172,-0.009526386838708448,0.04507121791086455,-0.023028040441914165,-0.006159807367189277,-0.04368683519983776,0.014498987390734318,-0.023028040441914165,-0.006159807367189277
14,R14,Lille Bane,'25-R14,Lille bane 1,-0.007906506860484417,-0.012522580461922578,-0.030049479652035416,-0.013906169461875301,-0.0019068442590935318,-0.02121248806513891,0.005399474344170076,-0.013906169461875301,-0.0019068442590935318
15,R15,Lille Bane,'25-R15,Lille bane 1,-0.014823038674633748,-0.016336605559460073,-0.032528831614142106,-0.022282302333032175,-0.007363775016235322,-0.04069416532251584,0.011048087973248341,-0.022282302333032175,-0.007363775016235322
16,R16,Lille Bane,'25-R16,Lille bane 1,-0.014170044424137843,-0.01625983685828549,-0.028524122189157453,-0.020094076095827987,-0.008246012752447698,-0.029841015727682448,0.0015009268794067623,-0.020094076095827987,-0.008246012752447698
17,R17,Lille Bane,'25-R17,Lille bane 1,-0.019386793182619887,-0.016774322183571035,0.016310893554415173,-0.026915214377807143,-0.011858371987432632,-0.047364752900740464,0.008591166535500686,-0.026915214377807143,-0.011858371987432632
18,R1,Lille Bane,'26-R1,Lille bane 1,-0.030992217727365927,-0.032057857358849806,-0.05450621044408699,-0.05269984441409621,-0.009284591040635646,-0.13309312117958788,0.07110868572485604,-0.05269984441409621,-0.009284591040635646
19,R2,Lille Bane,'26-R2,Lille bane 1,-0.023305584047333183,-0.028839205410032695,-0.13233185642239853,-0.03646566694323199,-0.010145501151434373,-0.0818892611797879,0.03527809308512154,-0.03646566694323199,-0.010145501151434373
20,R3,Lille Bane,'26-R3,Lille bane 1,-0.027104862922990615,-0.026140876988139262,-0.008398852059491091,-0.03900153703373641,-0.01520818881224482,-0.0793935058299369,0.025183779983955677,-0.03900153703373641,-0.01520818881224482
