x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'25-R1,Lille Bane,Lille bane 1,0.0,,,-2.1885328311989083,2.2375012813395045,-4.031248459889802,4.200584456081979,-2.1885328311989083,2.2375012813395045
2,R2,'25-R2,Lille Bane,Lille bane 1,-0.1231089287045739,,,-2.344282262276076,2.148584856634228,-6.340001279226382,6.506443586517885,-2.344282262276076,2.148584856634228
3,R3,'25-R3,Lille Bane,Lille bane 1,-0.14533004792086635,,,-2.371874265728524,2.1319935853120864,-4.28607764873814,4.174553359605393,-2.371874265728524,2.1319935853120864
4,R4,'25-R4,Lille Bane,Lille bane 1,-0.20869242714576242,-1.571776164758365,-1.8372045635572376,-2.4322501401209506,2.065539908438163,-2.6434868209951,2.2869938736417517,-2.4322501401209506,2.065539908438163
5,R5,'25-R5,Lille Bane,Lille bane 1,-1.5706204133955293,-1.1827348860172449,-1.1111130133277136,-2.5214379480525184,-0.6105284909636133,-2.6186819999746147,-0.5112791161715147,-2.5214379480525184,-0.6105284909636133
6,R6,'25-R6,Lille Bane,Lille bane 1,-1.1833487873855297,,,-1.7168394881665883,-0.6469622463981084,-2.9476219482039268,0.6129963313638909,-1.7168394881665883,-0.6469622463981084
7,R7,'25-R7,Lille Bane,Lille bane 1,-1.1832258447000865,-1.1704138676442266,-1.038494262022216,-1.8044225689660465,-0.5580993571969728,-3.1485343115369324,0.8219626316168904,-1.8044225689660465,-0.5580993571969728
8,R8,'25-R8,Lille Bane,Lille bane 1,-1.1707221874515228,-1.1941096721489797,-1.3158425739606128,-1.8198423773759687,-0.5173103256539413,-2.657088129700913,0.3383396416563045,-1.8198423773759687,-0.5173103256539413
9,R9,'25-R9,Lille Bane,Lille bane 1,-1.1953618825736312,-1.2709757445331205,-2.2528738282550975,-1.9299865521310244,-0.4552342729620018,-3.9352419119587423,1.622662751813686,-1.9299865521310244,-0.4552342729620018
10,R10,'25-R10,Lille Bane,Lille bane 1,-1.269601063051251,-0.3836737486661912,4.730662044805567,-2.3134552009330123,-0.21459255930043053,-3.943982551634806,1.479240272364124,-2.3134552009330123,-0.21459255930043053
11,R11,'25-R11,Lille Bane,Lille bane 1,-0.25094837548103044,-0.9106927641279849,-9.743402831390801,-1.5480514825805924,1.0632440477345018,-5.239043546678768,4.9997137258973146,-1.5480514825805924,1.0632440477345018
12,R12,'25-R12,Lille Bane,Lille bane 1,-0.926746155988023,-1.098724073473356,-4.219890427246941,-2.5449276076329186,0.7183042019761166,-7.942256546102944,6.623400259161105,-2.5449276076329186,0.7183042019761166
13,R13,'25-R13,Lille Bane,Lille bane 1,-0.9947704740050023,-0.08393294912937277,4.542473824365834,-2.09724314517975,0.12011702622802822,-3.6917438761837063,1.7777277671107594,-2.09724314517975,0.12011702622802822
14,R14,'25-R14,Lille Bane,Lille bane 1,-0.1529952861818118,-1.8383860636602467,-2.9278879888765874,-1.1478673025135944,0.8518893652026627,-1.4418002545880992,1.1526628537604777,-1.1478673025135944,0.8518893652026627
15,R15,'25-R15,Lille Bane,Lille bane 1,-1.8503722109030618,-2.0033362545310074,-2.9608783472827804,-2.663970953406558,-1.0299728733856872,-4.178492763657749,0.5343133601286798,-2.663970953406558,-1.0299728733856872
16,R16,'25-R16,Lille Bane,Lille bane 1,-1.973926947441762,-2.226262204481344,-2.681874852215471,-2.722717480193382,-1.219372609951619,-3.249525234165751,-0.6815106451676489,-2.722717480193382,-1.219372609951619
17,R17,'25-R17,Lille Bane,Lille bane 1,-2.290648703094633,-1.8832489966866262,1.9978923855193065,-3.1247522214878365,-1.4493634876699524,-4.941277512212938,0.43389055737261817,-3.1247522214878365,-1.4493634876699524
18,R1,'26-R1,Lille Bane,Lille bane 1,-1.7530875799360857,-2.044433997650441,-5.405953629099381,-4.569790791413175,1.146753005411827,-11.552624504347332,9.13219014113249,-4.569790791413175,1.146753005411827
19,R2,'26-R2,Lille Bane,Lille bane 1,-2.0166012042616477,-3.298307558126523,-12.507706191207046,-3.7885659961874096,-0.21200142194898186,-7.173168223178128,3.4264151409068244,-3.7885659961874096,-0.21200142194898186
20,R3,'26-R3,Lille Bane,Lille bane 1,-3.319951718087233,-3.086668171679885,-1.1270995704430797,-5.085217497253214,-1.5218547698564677,-8.556439811858885,2.2164022984437093,-5.085217497253214,-1.5218547698564677
