x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,0.0,,,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,,-1.2579636406625146e-16,,,-0.021748981782583186,0.021748981782582937,-0.022465731621221487,0.022465731621221237,-0.021748981782583186,0.021748981782582937
3,R3,Lille Bane,'23-R3,Lille bane 2,2.668814243674452e-15,,,-0.021213051690277082,0.021213051690282418,-0.030047361010983202,0.030047361010988538,-0.021213051690277082,0.021213051690282418
4,R4,Lille Bane,'23-R4,Lille bane 2,-0.0049496218469019,,,-0.025833921771999124,0.015934678078195322,-0.041612125292454616,0.03171288159865082,-0.025833921771999124,0.015934678078195322
5,R5,Lille Bane,'23-R5,Lille bane 2,-0.0154583540543804,,,-0.03571804988829845,0.00480134177953765,-0.040191804081584036,0.009275095972823236,-0.03571804988829845,0.00480134177953765
6,R6,Lille Bane,'23-R6,Lille bane 2,-0.0162745583454379,,,-0.0363637061124808,0.0038145894216049976,-0.05947699737643736,0.026927880685561557,-0.0363637061124808,0.0038145894216049976
7,R8,Lille Bane,'23-R8,Lille bane 2,-0.014968259067044,,,-0.03526080372272087,0.00532428558863287,-0.04814176378015081,0.01820524564606281,-0.03526080372272087,0.00532428558863287
8,R9,Lille Bane,'23-R9,Lille bane 2,-0.0169446721583786,,,-0.03738694023672436,0.003497595919967164,-0.05739583554973031,0.023506491232973107,-0.03738694023672436,0.003497595919967164
9,R10,Lille Bane,'23-R10,Lille bane 2,-0.0175425767198901,,,-0.03907446679556456,0.003989313355784365,-0.05210924516740367,0.01702409172762347,-0.03907446679556456,0.003989313355784365
10,R11,Lille Bane,'23-R11,Lille bane 2,-0.019919291496646,,,-0.04138002679350843,0.0015414438002164313,-0.05079155780319172,0.010952974809899721,-0.04138002679350843,0.0015414438002164313
11,R12,Lille Bane,'23-R12,Lille bane 2,-0.0177814233269241,0.049846402237313986,0.049847157156102995,-0.038111475954142535,0.0025486293002943312,-0.03811158784149954,0.0025487411876513356,-0.038111475954142535,0.0025486293002943312
12,R13,Lille Bane,'23-R13,Lille bane 2,0.04985115733381341,0.045956026199600784,0.005287050547039485,0.045987924555061996,0.05371439011256482,0.03653990257528997,0.06316241209233685,0.045987924555061996,0.05371439011256482
13,R14,Lille Bane,'23-R14,Lille bane 2,0.034987858561308725,,,0.014424362795238652,0.0555513543273788,-0.06791857759631365,0.13789429471893108,0.014424362795238652,0.0555513543273788
14,R15,Lille Bane,'23-R15,Lille bane 2,0.0425172888652608,,,0.03282424654595596,0.05221033118456564,0.001020943465903451,0.08401363426461815,0.03282424654595596,0.05221033118456564
15,R16,Lille Bane,'23-R16,Lille bane 2,0.045940880423007514,,,0.03952280255716259,0.05235895828885244,0.03155870255803335,0.06032305828798168,0.03952280255716259,0.05235895828885244
16,R17,Lille Bane,'23-R17,Lille bane 2,0.045113109762619605,,,0.0376920982235722,0.05253412130166701,0.023981336184911446,0.06624488334032777,0.0376920982235722,0.05253412130166701
17,R1,Lille Bane,'24-R1,Lille bane 3,0.046983604701141005,0.03985497781049973,0.037287543135761325,0.03419975658709211,0.0597674528151899,0.030361339642107184,0.06360586976017482,0.03419975658709211,0.0597674528151899
18,R2,Lille Bane,'24-R2,Lille bane 3,0.03791510654773859,0.02446212021187604,-0.03905729820458248,0.027024535805432542,0.04880567729004463,0.011581828677250938,0.06424838441822624,0.027024535805432542,0.04880567729004463
19,R3,Lille Bane,'24-R3,Lille bane 3,0.021497829822880538,0.013589189478202349,-0.031890205352770096,0.009131488089873574,0.0338641715558875,-0.01342277322171103,0.056418432867472106,0.009131488089873574,0.0338641715558875
20,R4,Lille Bane,'24-R4,Lille bane 3,0.01859465151866275,0.03252092849443999,0.08862718809166381,0.008019740183676847,0.029169562853648648,-0.00519642112627558,0.04238572416360108,0.008019740183676847,0.029169562853648648
21,R5,Lille Bane,'24-R5,Lille bane 3,0.03222280781756843,,,0.021647605145848008,0.04279801048928885,0.007391594127492091,0.05705402150764477,0.021647605145848008,0.04279801048928885
