x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,0.0,,,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 1,-1.2579636406625146e-16,,,-0.021748981782583186,0.021748981782582937,-0.022465731621221487,0.022465731621221237,-0.021748981782583186,0.021748981782582937
3,R3,Lille Bane,'23-R3,Lille bane 1,2.6653447967224987e-15,,,-0.021213051690277086,0.021213051690282415,-0.030047361010983206,0.030047361010988535,-0.021213051690277086,0.021213051690282415
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.0049496218469019,-0.020446587834274183,-0.028561010485463,-0.025833921771999124,0.015934678078195322,-0.041612125292454616,0.03171288159865082,-0.025833921771999124,0.015934678078195322
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.02041287926409045,-0.020092615388572377,-0.01962199392183983,-0.03760683423531108,-0.003218924292869813,-0.042704589887496314,0.0018788313593154152,-0.03760683423531108,-0.003218924292869813
6,R6,Lille Bane,'23-R6,Lille bane 1,-0.020135473007651852,-0.020490377948621272,-0.026590069134321936,-0.032213790624080675,-0.00805715539122303,-0.060244856406857526,0.01997391039155382,-0.032213790624080675,-0.00805715539122303
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.020445708642939563,-0.01992041745377608,-0.01577406493218625,-0.032540352637393716,-0.008351064648485406,-0.049341633263904124,0.008450215978024998,-0.032540352637393716,-0.008351064648485406
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.019929940008332286,-0.016623819474265823,0.010727868044703825,-0.03192010156900503,-0.007939778447659543,-0.05683758514830176,0.01697770513163719,-0.03192010156900503,-0.007939778447659543
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.01672967356393523,0.0038061827533549166,0.08215693995716933,-0.030320656043546973,-0.0031386910843234864,-0.046994291223679666,0.013534944095809211,-0.030320656043546973,-0.0031386910843234864
10,R11,Lille Bane,'23-R11,Lille bane 1,0.003296102787689839,0.004322600957703399,0.006518177768793265,-0.009258166213822005,0.015850371789201685,-0.02220180570658871,0.028794011281968387,-0.009258166213822005,0.015850371789201685
11,R12,Lille Bane,'23-R12,Lille bane 1,0.0019222257898714595,-0.016866653508297944,-0.01686725526067967,-0.008950362028811195,0.012794813608554114,-0.008950571239375323,0.012795022819118242,-0.008950362028811195,0.012794813608554114
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.015495556757162082,-0.013527367282849066,0.007569555269009598,-0.019308332908624676,-0.011682780605699487,-0.02879225551003512,-0.002198858004289043,-0.019308332908624676,-0.011682780605699487
13,R14,Lille Bane,'23-R14,Lille bane 1,0.00136108619156481,-0.00015374759599862814,-0.038480675929523755,-0.01864512867341959,0.02136730105654921,-0.10143544039258368,0.10415761277571331,-0.01864512867341959,0.02136730105654921
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.009508352477861845,-0.01172841745838873,-0.052009264692088664,-0.0188933778990502,-0.0001233270566734935,-0.05093383152464273,0.03191712656891904,-0.0188933778990502,-0.0001233270566734935
15,R16,Lille Bane,'23-R16,Lille bane 1,-0.014920726014923629,-0.021234440788678047,-0.04606425032733874,-0.02124260740377637,-0.00859884462607089,-0.029260234407557845,-0.0005812176222894146,-0.02124260740377637,-0.00859884462607089
16,R17,Lille Bane,'23-R17,Lille bane 1,-0.020956941752613895,-0.021557853984166174,-0.02714106896542745,-0.02780331788776478,-0.01411056561746301,-0.041893830453202,-2.005305202579591e-05,-0.02780331788776478,-0.01411056561746301
17,R1,Lille Bane,'24-R1,Lille bane 2,-0.021213260301730756,-0.027935640424999058,-0.030331559586908696,-0.033647744357207104,-0.008778776246254408,-0.037568360937789244,-0.0048581596656722716,-0.033647744357207104,-0.008778776246254408
18,R2,Lille Bane,'24-R2,Lille bane 2,-0.02778240946712119,,,-0.03839365111887562,-0.017171167815366758,-0.054001399564054184,-0.001563419370188196,-0.03839365111887562,-0.017171167815366758
19,R3,Lille Bane,'24-R3,Lille bane 2,-0.027837612301514766,,,-0.040348851478163,-0.015326373124866535,-0.06280979002718301,0.007134565424153475,-0.040348851478163,-0.015326373124866535
20,R4,Lille Bane,'24-R4,Lille bane 2,-0.02946749339071969,-0.032014422244411214,-0.04049525235905449,-0.04059674851567653,-0.01833823826576285,-0.0535100953191778,-0.005424891462261581,-0.04059674851567653,-0.01833823826576285
21,R5,Lille Bane,'24-R5,Lille bane 2,-0.032033341121680506,,,-0.043023912455944016,-0.021042769787416992,-0.05704427713031095,-0.007022405113050068,-0.043023912455944016,-0.021042769787416992
22,R6,Lille Bane,'24-R6,Lille bane 2,-0.032807323968178335,-0.03544186545584944,-0.05492001634758559,-0.046684136641006804,-0.018930511295349867,-0.07233472422489934,0.006720076288542667,-0.046684136641006804,-0.018930511295349867
23,R7,Lille Bane,'24-R7,Lille bane 2,-0.034231623085413665,-0.029205033595852137,-0.01973138332663993,-0.04483120985320142,-0.023632036317625907,-0.05237150198046886,-0.016091744190358474,-0.04483120985320142,-0.023632036317625907
24,R8,Lille Bane,'24-R8,Lille bane 2,-0.02924449800044164,,,-0.0393109090326902,-0.019178086968193078,-0.050559423119104566,-0.007929572881778719,-0.0393109090326902,-0.019178086968193078
25,R9,Lille Bane,'24-R9,Lille bane 2,-0.029270268759584526,-0.017748487404701894,0.093126032342564,-0.04602219423542347,-0.012518343283745584,-0.08435784824217077,0.02581731072300172,-0.04602219423542347,-0.012518343283745584
26,R10,Lille Bane,'24-R10,Lille bane 2,-0.016990701981633653,-0.017796974949623793,-0.02614307356544643,-0.0370582850299072,0.003076881066639895,-0.07826671135375118,0.04428530739048388,-0.0370582850299072,0.003076881066639895
27,R11,Lille Bane,'24-R11,Lille bane 2,-0.01837107334759461,,,-0.03726837024851187,0.0005262235533226474,-0.07504286894355537,0.038300722248366156,-0.03726837024851187,0.0005262235533226474
28,R12,Lille Bane,'24-R12,Lille bane 2,-0.0212822498468667,-0.013939941947216945,0.01542835720799296,-0.035936103050011256,-0.0066283966437221484,-0.053875293681700576,0.01131079398796717,-0.035936103050011256,-0.0066283966437221484
29,R13,Lille Bane,'24-R13,Lille bane 2,-0.011571823311451733,-0.013479854353654862,-0.02390191575372924,-0.02770730061813085,0.004563653995227386,-0.05518339227705324,0.03203974565414977,-0.02770730061813085,0.004563653995227386
30,R14,Lille Bane,'24-R14,Lille bane 2,-0.01666054210682007,-0.01664940956138885,-0.01518117364175886,-0.02991431799057804,-0.003406766223062104,-0.04374635840099088,0.01042527418735074,-0.02991431799057804,-0.003406766223062104
31,R15,Lille Bane,'24-R15,Lille bane 2,-0.014975460821958884,-0.006640165643439102,0.036974098938994615,-0.028860316491128187,-0.001090605152789581,-0.050131253152144124,0.020180331508226353,-0.028860316491128187,-0.001090605152789581
32,R16,Lille Bane,'24-R16,Lille bane 2,0.003302792447201105,0.013120886004292514,0.11495026674566589,-0.017272822752120106,0.023878407646522316,-0.06648785398263027,0.07309343887703248,-0.017272822752120106,0.023878407646522316
33,R17,Lille Bane,'24-R17,Lille bane 2,0.0031203382675621238,0.0025437846277827723,-0.001611315157305171,-0.012257534243254063,0.01849821077837831,-0.04101561753461734,0.04725629406974159,-0.012257534243254063,0.01849821077837831
