x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,0.0,0.057829645355238116,0.09396356498825575,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 2,0.05780100390165399,0.06350199805661894,0.06435894269408315,0.04360758523347724,0.07199442256983074,0.042531949504352115,0.07307005829895587,0.04360758523347724,0.07199442256983074
3,R3,Lille Bane,'23-R3,Lille bane 2,0.06354602680914899,0.06666817107867838,0.10286207038482154,0.057125829246923054,0.06996622437137492,0.041318357600524235,0.08577369601777374,0.057125829246923054,0.06996622437137492
4,R4,Lille Bane,'23-R4,Lille bane 2,0.06678722811716167,0.06567827678869075,0.0548776581665944,0.05982032725333403,0.07375412898098932,0.035859523980253105,0.09771493225407024,0.05982032725333403,0.07375412898098932
5,R5,Lille Bane,'23-R5,Lille bane 2,0.06550847733214318,,,0.058428951447018235,0.07258800321726813,0.049652627883959806,0.08136432678032657,0.058428951447018235,0.07258800321726813
6,R6,Lille Bane,'23-R6,Lille bane 2,0.06573646843867526,0.06843319754317836,0.11935890717948716,0.057116386752972384,0.07435655012437813,0.026529547002666916,0.1049433898746836,0.057116386752972384,0.07435655012437813
7,R8,Lille Bane,'23-R8,Lille bane 2,0.06811001605636983,0.07463442271720075,0.12733786758025012,0.059007585198219026,0.07721244691452064,0.04033325789643879,0.09588677421630087,0.059007585198219026,0.07721244691452064
8,R9,Lille Bane,'23-R9,Lille bane 2,0.07515548772532338,0.07280650044953527,0.0443685031562957,0.06536950129791479,0.08494147415273197,0.038903924643377476,0.11140705080726929,0.06536950129791479,0.08494147415273197
9,R10,Lille Bane,'23-R10,Lille bane 2,0.07245221706679651,,,0.060472208923148835,0.08443222521044419,0.042875995664270014,0.10202843846932301,0.060472208923148835,0.08443222521044419
10,R11,Lille Bane,'23-R11,Lille bane 2,0.07216593135605061,,,0.060118466853037116,0.0842133958590641,0.046913702377767305,0.09741816033433391,0.060118466853037116,0.0842133958590641
11,R12,Lille Bane,'23-R12,Lille bane 2,0.07128869550300554,,,0.05964204629380847,0.08293534471220261,0.05964185098758756,0.08293554001842351,0.05964204629380847,0.08293534471220261
12,R13,Lille Bane,'23-R13,Lille bane 2,0.06913537683895124,,,0.057641901522811526,0.08062885215509095,0.05197831093052137,0.08629244274738111,0.057641901522811526,0.08062885215509095
13,R14,Lille Bane,'23-R14,Lille bane 2,0.07125126301923142,,,0.04805469497632241,0.09444783106214043,-0.03221350399597492,0.17471603003443775,0.04805469497632241,0.09444783106214043
14,R15,Lille Bane,'23-R15,Lille bane 2,0.06842571133937114,,,0.0541545804270768,0.08269684225166549,0.02562785170112785,0.11122357097761443,0.0541545804270768,0.08269684225166549
15,R16,Lille Bane,'23-R16,Lille bane 2,0.0664845823518564,,,0.054324201407198174,0.07864496329651463,0.048777798867357836,0.08419136583635498,0.054324201407198174,0.07864496329651463
16,R17,Lille Bane,'23-R17,Lille bane 2,0.0681867442345396,,,0.055532277963045724,0.08084121050603349,0.044700238345130976,0.09167325012394822,0.055532277963045724,0.08084121050603349
