x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 2,0.0,5.953448371460945,9.851972060909532,-2.186992526583653,2.235891302266757,-2.816662809212467,2.8982980937183545,-2.186992526583653,2.235891302266757
2,R2,'23-R2,Lille Bane,Lille bane 2,5.950413754145467,6.556161485177725,6.647513352507262,4.457236882918281,7.46493502653911,4.344939353206234,7.580590340624793,4.457236882918281,7.46493502653911
3,R3,'23-R3,Lille Bane,Lille bane 2,6.560853123325039,6.8940713873286485,10.833852582633096,5.878902864007274,7.247195722793709,4.218383988417429,8.955972869746699,5.878902864007274,7.247195722793709
4,R4,'23-R4,Lille Bane,Lille bane 2,6.906798636518707,6.788309911405577,5.641136346620357,6.164578059476589,7.6542082454870375,3.6510231431712725,10.264841080462839,6.164578059476589,7.6542082454870375
5,R5,'23-R5,Lille Bane,Lille bane 2,6.770178853782416,,,6.016965949849773,7.528743067984767,5.090597753046855,8.476603389937164,6.016965949849773,7.528743067984767
6,R6,'23-R6,Lille Bane,Lille bane 2,6.794524280168801,7.082908854765124,12.6774253093777,5.877903107827587,7.719080955092927,2.6884588175103863,11.064773466857968,5.877903107827587,7.719080955092927
7,R8,'23-R8,Lille Bane,Lille bane 2,7.048307232672646,7.7490172944658875,13.58007031956403,6.078328696114199,8.027155237415151,4.115769040465933,10.06344367419365,6.078328696114199,8.027155237415151
8,R9,'23-R9,Lille Bane,Lille bane 2,7.805176166978689,7.552240367688268,4.536750514467758,6.755341388801361,8.865335047417622,3.967059212876922,11.784983593667553,6.755341388801361,8.865335047417622
9,R10,'23-R10,Lille Bane,Lille bane 2,7.514143145154595,,,6.23380736410295,8.809909604564803,4.3808450051442405,10.741496446662335,6.23380736410295,8.809909604564803
10,R11,'23-R11,Lille Bane,Lille bane 2,7.483367787751782,,,6.196234643087983,8.786101407683455,4.803156254517882,10.232122427124901,6.196234643087983,8.786101407683455
11,R12,'23-R12,Lille Bane,Lille bane 2,7.389120868354615,,,6.145652623705078,8.64715601458923,6.145631892800818,8.647177234056747,6.145652623705078,8.64715601458923
12,R13,'23-R13,Lille Bane,Lille bane 2,7.158126661396769,,,5.93355813219818,8.39685093226159,5.335289602145865,9.012508086805738,5.93355813219818,8.39685093226159
13,R14,'23-R14,Lille Bane,Lille bane 2,7.385101102065583,,,4.9228041257968425,9.905182527099843,-3.1700175873594416,19.090798649112138,4.9228041257968425,9.905182527099843
14,R15,'23-R15,Lille Bane,Lille bane 2,7.082107213285793,,,5.564777202676341,8.621246490414848,2.595906849780394,11.76447518541699,5.564777202676341,8.621246490414848
15,R16,'23-R16,Lille Bane,Lille bane 2,6.87444864217035,,,5.582684722354347,8.182016801373937,4.998701651309467,8.78370487379696,5.582684722354347,8.182016801373937
16,R17,'23-R17,Lille Bane,Lille bane 2,7.056521169378938,,,5.710313765776132,8.419872353081882,4.571434785818473,9.600664353167954,5.710313765776132,8.419872353081882
