x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,0.0020400397473678586,,,-0.02208740435230114,0.02616748384703686,-0.026336100833580896,0.030416180328316614,-0.02208740435230114,0.02616748384703686
2,R2,Lille Bane,'24-R2,Lille bane 3,-0.007989022276494262,,,-0.030716424173430373,0.014738379620441852,-0.04035549008098746,0.024377445527998934,-0.030716424173430373,0.014738379620441852
3,R3,Lille Bane,'24-R3,Lille bane 3,-0.012642437871129043,,,-0.0352893736171995,0.010004497874941409,-0.05270633503439115,0.027421459292133063,-0.0352893736171995,0.010004497874941409
4,R4,Lille Bane,'24-R4,Lille bane 3,-0.03248555849610194,,,-0.05476409243206023,-0.010207024560143656,-0.0645142641733191,-0.00045685281888479395,-0.05476409243206023,-0.010207024560143656
5,R5,Lille Bane,'24-R5,Lille bane 3,-0.033776793561686315,,,-0.05611010937524852,-0.011443477748124112,-0.06537418084942442,-0.002179406273948206,-0.05611010937524852,-0.011443477748124112
6,R6,Lille Bane,'24-R6,Lille bane 3,-0.0430636132815957,,,-0.06507926431033627,-0.021047962252855133,-0.08709495092845003,0.000967724365258632,-0.06507926431033627,-0.021047962252855133
7,R7,Lille Bane,'24-R7,Lille bane 3,-0.04277966149605444,,,-0.06483362186920236,-0.020725701122906524,-0.0682173718190224,-0.01734195117308647,-0.06483362186920236,-0.020725701122906524
8,R8,Lille Bane,'24-R8,Lille bane 3,-0.038748216511064776,,,-0.06079009460688489,-0.01670633841524466,-0.0647280054326943,-0.012768427589435256,-0.06079009460688489,-0.01670633841524466
9,R9,Lille Bane,'24-R9,Lille bane 3,-0.031050455956389188,,,-0.05302933510065817,-0.009071576812120199,-0.09060168566950288,0.02850077375672451,-0.05302933510065817,-0.009071576812120199
10,R10,Lille Bane,'24-R10,Lille bane 3,-0.029325670235466846,,,-0.05257965443800677,-0.006071686032926921,-0.09132850234351056,0.03267716187257687,-0.05257965443800677,-0.006071686032926921
11,R11,Lille Bane,'24-R11,Lille bane 3,-0.026036509627021347,,,-0.04911560241338686,-0.0029574168406558375,-0.0838729874470067,0.03179996819296402,-0.04911560241338686,-0.0029574168406558375
12,R12,Lille Bane,'24-R12,Lille bane 3,-0.02286955382417739,,,-0.04583667284951545,9.75652011606723e-05,-0.05875290728728576,0.013013799638930974,-0.04583667284951545,9.75652011606723e-05
13,R13,Lille Bane,'24-R13,Lille bane 3,-0.027818729742489962,,,-0.050328413680688924,-0.005309045804291004,-0.07247742700013644,0.016839967515156515,-0.050328413680688924,-0.005309045804291004
14,R14,Lille Bane,'24-R14,Lille bane 3,-0.033069235282676884,,,-0.055558965543808875,-0.010579505021544897,-0.06494099817964565,-0.0011974723857081232,-0.055558965543808875,-0.010579505021544897
15,R15,Lille Bane,'24-R15,Lille bane 3,-0.04197279282821043,,,-0.06415429583581772,-0.01979128982060315,-0.1150828752689664,0.031137289612545534,-0.06415429583581772,-0.01979128982060315
16,R16,Lille Bane,'24-R16,Lille bane 3,-0.0398391858909899,,,-0.062089025722264185,-0.017589346059715613,-0.11904428533505387,0.03936591355307407,-0.062089025722264185,-0.017589346059715613
17,R17,Lille Bane,'24-R17,Lille bane 3,-0.038551866352823094,,,-0.060856796397660715,-0.016246936307985477,-0.08849093099244269,0.011387198286796504,-0.060856796397660715,-0.016246936307985477
18,R18,Lille Bane,'24-R18,Lille bane 3,-0.038906210583820676,,,-0.06106892829459498,-0.01674349287304637,-0.06185552807105273,-0.01595689309658862,-0.06106892829459498,-0.01674349287304637
