x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,Lille bane 3,0.20612731636553416,,,-2.211933481872741,2.683980870838454,-2.5395710507569835,3.0291787138871262,-2.211933481872741,2.683980870838454
2,R2,'24-R2,Lille Bane,Lille bane 3,-0.8426008908943738,,,-3.0999139547509102,1.4672968761984206,-4.021212217437952,2.441279216373138,-3.0999139547509102,1.4672968761984206
3,R3,'24-R3,Lille Bane,Lille bane 3,-1.2614825411404018,,,-3.523199927010323,1.0532565611387934,-5.115086764751187,2.748629867026686,-3.523199927010323,1.0532565611387934
4,R4,'24-R4,Lille Bane,Lille bane 3,-3.440716973800173,,,-5.62880603514031,-1.2018949129163348,-6.526748748813294,-0.25279945084405453,-5.62880603514031,-1.2018949129163348
5,R5,'24-R5,Lille Bane,Lille bane 3,-3.599324701685047,,,-5.806778223710152,-1.3401386774691493,-6.649604373431162,-0.44937532834402605,-5.806778223710152,-1.3401386774691493
6,R6,'24-R6,Lille Bane,Lille bane 3,-4.519494261842594,,,-6.6887972748343465,-2.299759195413098,-8.633051053502284,-0.22073538481920396,-6.6887972748343465,-2.299759195413098
7,R7,'24-R7,Lille Bane,Lille bane 3,-4.490148208758493,,,-6.680736982955859,-2.248137262734029,-7.051427507813079,-1.858290616010183,-6.680736982955859,-2.248137262734029
8,R8,'24-R8,Lille Bane,Lille bane 3,-4.154785726705567,,,-6.369860170272679,-1.8873077002807714,-6.843266977560725,-1.3887155437175225,-6.369860170272679,-1.8873077002807714
9,R9,'24-R9,Lille Bane,Lille bane 3,-3.494914686379369,,,-5.738869814801584,-1.1975405653302018,-8.960532755238827,2.298835584685621,-5.738869814801584,-1.1975405653302018
10,R10,'24-R10,Lille Bane,Lille bane 3,-3.314776637556882,,,-5.680174398818661,-0.8900582983220273,-9.099709888934282,2.8383122344681766,-5.680174398818661,-0.8900582983220273
11,R11,'24-R11,Lille Bane,Lille bane 3,-2.9738914982925135,,,-5.342824284771752,-0.5456727411042195,-8.348435054651892,2.7158209093181007,-5.342824284771752,-0.5456727411042195
12,R12,'24-R12,Lille Bane,Lille bane 3,-2.645469209524509,,,-5.022840713647536,-0.2085897635859535,-6.2517867483367855,1.099576585962203,-5.022840713647536,-0.2085897635859535
13,R13,'24-R13,Lille Bane,Lille bane 3,-3.17511036585284,,,-5.50220698279118,-0.79070681621628,-7.4457876617389225,1.2926264058239267,-5.50220698279118,-0.79070681621628
14,R14,'24-R14,Lille Bane,Lille bane 3,-3.79365769640595,,,-6.117333364921873,-1.4124690832115427,-6.8990314237777355,-0.5847045312031285,-6.117333364921873,-1.4124690832115427
15,R15,'24-R15,Lille Bane,Lille bane 3,-4.888257004419971,,,-7.160777631291026,-2.5601095652190597,-11.564840064221704,2.2923875778215086,-7.160777631291026,-2.5601095652190597
16,R16,'24-R16,Lille Bane,Lille bane 3,-4.681906875936537,,,-6.980877621742765,-2.3261169906357293,-11.86079078761022,3.0816926767987862,-6.980877621742765,-2.3261169906357293
17,R17,'24-R17,Lille Bane,Lille bane 3,-4.564001862470002,,,-6.8854313176630715,-2.18469709526401,-9.21366627412814,0.3237972799761346,-6.8854313176630715,-2.18469709526401
18,R18,'24-R18,Lille Bane,Lille bane 3,-4.649486020091764,,,-6.970766840453468,-2.27028421657266,-7.120924310624199,-2.112284723429314,-6.970766840453468,-2.27028421657266
