x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 2,0.0,,,-2.186992526583653,2.235891302266757,-2.816662809212467,2.8982980937183545,-2.186992526583653,2.235891302266757
2,R2,'23-R2,Lille Bane,Lille bane 2,-1.1102230246251565e-14,,,-2.1514178006673323,2.198721486106492,-2.221525628281251,2.271998660805208,-2.1514178006673323,2.198721486106492
3,R3,'23-R3,Lille Bane,Lille bane 2,2.6645352591003757e-13,2.313464221752115,4.695928348767753,-2.098963746379634,2.14396479005865,-2.9600426644695643,3.0503338477729347,-2.098963746379634,2.14396479005865
4,R4,'23-R4,Lille Bane,Lille bane 2,2.3195928634743623,,,0.7595226366869934,3.903817820741007,-1.0833732444826327,5.839629060775664,0.7595226366869934,3.903817820741007
5,R5,'23-R5,Lille Bane,Lille bane 2,1.8198767394157933,,,0.27608699712731166,3.3874337311030622,-0.2810547940847896,3.9650718107961946,0.27608699712731166,3.3874337311030622
6,R6,'23-R6,Lille Bane,Lille bane 2,1.7984557291156111,,,0.19816114003714524,3.424309098342304,-2.329933771417403,6.101347004104518,0.19816114003714524,3.424309098342304
7,R8,'23-R8,Lille Bane,Lille bane 2,1.8492269700528974,2.726649168972406,4.967829150745917,0.2164802440275393,3.5085747288111424,-1.2418817979287455,5.037086806092983,0.2164802440275393,3.5085747288111424
8,R9,'23-R9,Lille Bane,Lille bane 2,2.744942991891919,3.127969077882553,5.2148267340209165,1.2505283929478805,4.26141451270079,-1.0718772347758754,6.709022827207822,1.2505283929478805,4.26141451270079
9,R10,'23-R10,Lille Bane,Lille bane 2,3.102548546418027,,,1.5159029683379233,4.713992644895737,-0.061879463240654964,6.367174604374326,1.5159029683379233,4.713992644895737
10,R11,'23-R11,Lille Bane,Lille bane 2,3.019437633208999,3.576712686218908,4.5059921485321786,1.4304281625421078,4.633340532244556,0.26555032302419956,5.848963039357602,1.4304281625421078,4.633340532244556
11,R12,'23-R12,Lille Bane,Lille bane 2,3.473473407656602,,,2.1621383629804924,4.8016405158246345,2.162120142644164,4.8016592069122455,2.1621383629804924,4.8016405158246345
12,R13,'23-R13,Lille Bane,Lille bane 2,2.8450836181121764,3.5331684327728707,4.311691122611405,1.5847038364215527,4.121101159564855,1.0378190989153602,4.6846746965268915,1.5847038364215527,4.121101159564855
13,R14,'23-R14,Lille Bane,Lille bane 2,4.148481638200097,4.324373920498159,8.137841038592054,1.880818843610954,6.466618060782547,-6.064203091894472,15.471487809420449,1.880818843610954,6.466618060782547
