x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,0.013901860103457533,,,0.0019443635511163012,0.025859356655798763,0.00035101487046020584,0.027452705336454858,0.0019443635511163012,0.025859356655798763
2,R2,Lille Bane,'23-R2,Lille bane 2,0.022109905532836052,,,0.006414319837361869,0.037805491228310235,-0.001689351665161435,0.045909162730833536,0.006414319837361869,0.037805491228310235
3,R3,Lille Bane,'23-R3,Lille bane 2,0.02137802122511465,,,0.004772315136274189,0.03798372731395511,-0.0044541295728708526,0.047210172023100155,0.004772315136274189,0.03798372731395511
4,R4,Lille Bane,'23-R4,Lille bane 2,0.020153538433256596,0.05667165964521208,0.11397776182095498,0.002052751397878475,0.03825432546863472,-0.008960170969396646,0.04926724783590984,0.002052751397878475,0.03825432546863472
5,R5,Lille Bane,'23-R5,Lille bane 2,0.04003122952702483,,,0.029796094573885303,0.050266364480164354,0.028972188765693192,0.051090270288356464,0.029796094573885303,0.050266364480164354
6,R6,Lille Bane,'23-R6,Lille bane 2,0.06887002985314339,,,0.045929036527766046,0.09181102317852073,0.024651341969590283,0.11308871773669649,0.045929036527766046,0.09181102317852073
7,R8,Lille Bane,'23-R8,Lille bane 2,0.05410655847191327,,,0.0388468147993304,0.06936630214449614,0.02768489732656641,0.08052821961726013,0.0388468147993304,0.06936630214449614
8,R9,Lille Bane,'23-R9,Lille bane 2,0.07118758077020389,,,0.04678165066192427,0.0955935108784835,0.023802035249057135,0.11857312629135064,0.04678165066192427,0.0955935108784835
9,R10,Lille Bane,'23-R10,Lille bane 2,0.05931541530115696,,,0.04145195501848298,0.07717887558383094,0.02694633447376993,0.09168449612854399,0.04145195501848298,0.07717887558383094
10,R11,Lille Bane,'23-R11,Lille bane 2,0.05481613967652771,0.03943456651085976,0.008452429779632453,0.039040621433110025,0.0705916579199454,0.0275054242542522,0.08212685509880321,0.039040621433110025,0.0705916579199454
11,R12,Lille Bane,'23-R12,Lille bane 2,0.032796600207079286,,,0.022764609292714996,0.04282859112144358,0.019896148567561327,0.045697051846597246,0.022764609292714996,0.04282859112144358
12,R13,Lille Bane,'23-R13,Lille bane 2,0.03565914838060825,,,0.024079149819732276,0.04723914694148422,0.016949356708471187,0.05436894005274531,0.024079149819732276,0.04723914694148422
13,R14,Lille Bane,'23-R14,Lille bane 2,0.07911794183000223,0.07404655572380553,0.05385871201211945,0.02626021964663746,0.131975664013367,-0.03889066825298776,0.19712655191299222,0.02626021964663746,0.131975664013367
14,R15,Lille Bane,'23-R15,Lille bane 2,0.046279812067104575,0.044451955463654144,0.037782331945246383,0.026589352534948717,0.06597027159926043,0.0021202091087300784,0.09043941502547907,0.026589352534948717,0.06597027159926043
15,R16,Lille Bane,'23-R16,Lille bane 2,0.03419875808615361,,,0.023859275882188467,0.04453824029011875,0.017510212782562044,0.050887303389745175,0.023859275882188467,0.04453824029011875
16,R17,Lille Bane,'23-R17,Lille bane 2,0.04104737276457348,0.029231568472174663,-0.013460479198935005,0.027046472819733783,0.055048272709413176,0.010886908042772463,0.07120783748637449,0.027046472819733783,0.055048272709413176
