x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 2,0.05862178779320634,0.06507632268672711,0.08832499477115796,0.05108819524703833,0.06615538033937436,0.04459055385701183,0.07265302172940086,0.05108819524703833,0.06615538033937436
2,R2,Lille Bane,'24-R2,Lille bane 2,0.0717165563531602,0.08197932180645472,0.14057042535951325,0.06080867786879968,0.08262443483752072,0.04335000569024698,0.10008310701607341,0.06080867786879968,0.08262443483752072
3,R3,Lille Bane,'24-R3,Lille bane 2,0.07885226122229361,0.0816522156264578,0.09817435913525507,0.0695755071420772,0.08812901530251001,0.05495395465606194,0.10275056778852527,0.0695755071420772,0.08812901530251001
4,R4,Lille Bane,'24-R4,Lille bane 2,0.08358081897631402,,,0.0740404201818536,0.09312121777077444,0.05745036076110975,0.10971127719151828,0.0740404201818536,0.09312121777077444
5,R5,Lille Bane,'24-R5,Lille bane 2,0.07855366810672945,0.07451513922186952,0.0540833478419227,0.07044468886936434,0.08666264734409457,0.058451245957864335,0.09865609025559458,0.07044468886936434,0.08666264734409457
6,R6,Lille Bane,'24-R6,Lille bane 2,0.08958167726380484,0.0791769109778372,-0.012140588672391317,0.07634939199602925,0.10281396253158043,0.048157444020866746,0.13100591050674293,0.07634939199602925,0.10281396253158043
7,R7,Lille Bane,'24-R7,Lille bane 2,0.06685482949676141,0.05850770023089732,0.022142793455330434,0.05988623982539184,0.07382341916813098,0.05057905892004823,0.0831306000734746,0.05988623982539184,0.07382341916813098
8,R8,Lille Bane,'24-R8,Lille bane 2,0.06017667240803714,,,0.052349459271953475,0.0680038855441208,0.03822699153932206,0.08212635327675222,0.052349459271953475,0.0680038855441208
9,R9,Lille Bane,'24-R9,Lille bane 2,0.06906952145351349,0.0725829672834176,0.11166118816186987,0.053725735839924196,0.08441330706710277,0.016067537726268732,0.12207150518075824,0.053725735839924196,0.08441330706710277
10,R10,Lille Bane,'24-R10,Lille bane 2,0.07581845010773139,0.07842078086326577,0.10965015682887902,0.05843676992797426,0.09320013028748853,0.013371771156388733,0.13826512905907404,0.05843676992797426,0.09320013028748853
11,R11,Lille Bane,'24-R11,Lille bane 2,0.07635217903796612,0.07987725849793512,0.12223092967548688,0.0607942930517754,0.09191006502415684,0.01952634075237651,0.13317801732355572,0.0607942930517754,0.09191006502415684
