x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,-1.734723475976807e-18,-2.0470666412394288e-05,-3.7050233563819604e-05,-0.016566874004712732,0.016566874004712726,-0.022641344890753874,0.022641344890753867,-0.016566874004712732,0.016566874004712726
2,R2,Stor Bane,'23-R2,Stor bane 1,-2.0470666412394752e-05,-0.009798705464425695,-0.03356175501749867,-0.011481634446248003,0.011440693113423212,-0.021765972232031076,0.021725030899206285,-0.011481634446248003,0.011440693113423212
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.009798705464425695,-0.0038685872831910385,0.008923336194698804,-0.01985812835139279,0.0002607174225413983,-0.027256895963417564,0.007659485034566175,-0.01985812835139279,0.0002607174225413983
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.0038685872831910385,-0.00793920945032703,-0.031909744092380656,-0.012285601349663056,0.0045484267832809795,-0.027805273749843224,0.020068099183461145,-0.012285601349663056,0.0045484267832809795
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.00793920945032703,-0.0036920967866525666,-0.0034662620967201036,-0.016138226908263997,0.0002598080076099355,-0.016368315308337794,0.0004898964076837341,-0.016138226908263997,0.0002598080076099355
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.0036920967866525657,,,-0.006733799962816616,-0.0006503936104885156,-0.052884472610503226,0.04550027903719809,-0.006733799962816616,-0.0006503936104885156
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.003726762930294887,-0.0036732560189772783,-0.00360053362398421,-0.008216109381315534,0.0007625835207257601,-0.012818956156378375,0.0053654302957886,-0.008216109381315534,0.0007625835207257601
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.0036732560189772787,-0.004747413208724609,-0.03236769785121363,-0.008187344831817397,0.0008408327938628397,-0.02841359654784504,0.021067084509890484,-0.008187344831817397,0.0008408327938628397
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.00474741320872461,,,-0.012038183431796502,0.0025433570143472816,-0.012284016500898193,0.002789190083448973,-0.012038183431796502,0.0025433570143472816
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.004757684899498142,-0.0068713107832053975,-0.053574818136620475,-0.012172299721405311,0.002656929922409028,-0.04563107012773965,0.036115700328743366,-0.012172299721405311,0.002656929922409028
11,R12,Stor Bane,'23-R12,Stor bane 1,-0.006871310783205395,-0.012924641314236594,-0.057785961891759705,-0.014512590534247916,0.0007699689678371266,-0.029628295844560535,0.015885674278149745,-0.014512590534247916,0.0007699689678371266
12,R13,Stor Bane,'23-R13,Stor bane 1,-0.012924641314236594,-0.02630787978660558,-0.037344661848698835,-0.020454235775102185,-0.005395046853371004,-0.023350142283062106,-0.002499140345411084,-0.020454235775102185,-0.005395046853371004
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.02630787978660558,-0.02759494879640979,-0.30641733793723896,-0.03200592183603458,-0.020609837737176572,-0.11592948399779562,0.06331372442458447,-0.03200592183603458,-0.020609837737176572
14,R15,Stor Bane,'23-R15,Stor bane 1,-0.02759494879640979,-0.029687082259719808,-0.05696026774887099,-0.03372631754353621,-0.021463580049283372,-0.05285059266206351,-0.00233930493075607,-0.03372631754353621,-0.021463580049283372
15,R16,Stor Bane,'23-R16,Stor bane 1,-0.029687082259719808,-0.03137748268230601,-0.04055957680120223,-0.036059746156570496,-0.02331441836286912,-0.046863443582518385,-0.012510720936921235,-0.036059746156570496,-0.02331441836286912
16,R17,Stor Bane,'23-R17,Stor bane 1,-0.03137748268230601,-0.027548301121800685,-0.011623093704376315,-0.037462332410672615,-0.025292632953939402,-0.04600303994635605,-0.016751925418255965,-0.037462332410672615,-0.025292632953939402
17,R1,Stor Bane,'24-R1,Stor bane 1,-0.027548301121800685,-0.03628122327777015,-0.07565777334242257,-0.041983641138371094,-0.013112961105230277,-0.06155328000572114,0.006456677762119771,-0.041983641138371094,-0.013112961105230277
18,R2,Stor Bane,'24-R2,Stor bane 1,-0.03628122327777015,-0.02318442004584444,-0.02285885093996485,-0.04924582359702562,-0.02331662295851468,-0.049395731676871675,-0.023166714878668622,-0.04924582359702562,-0.02331662295851468
19,R3,Stor Bane,'24-R3,Stor bane 1,-0.02318442004584444,-0.02361248668826769,-0.04601295881986413,-0.02625929421724386,-0.02010954587444502,-0.046193357180358316,-0.00017548291133056074,-0.02625929421724386,-0.02010954587444502
20,R4,Stor Bane,'24-R4,Stor bane 1,-0.02361248668826769,-0.02188638896007987,-0.005604787360936652,-0.027438278181959264,-0.01978669519457612,-0.03593511501882225,-0.011289858357713128,-0.027438278181959264,-0.01978669519457612
21,R5,Stor Bane,'24-R5,Stor bane 1,-0.02188638896007987,-0.024840228347899992,-0.050029796858765394,-0.02619950590395928,-0.01757327201620046,-0.03537553008056091,-0.008397247839598828,-0.02619950590395928,-0.01757327201620046
22,R6,Stor Bane,'24-R6,Stor bane 1,-0.024840228347899992,-0.022354445293397057,-0.00559568677117471,-0.02953972481496179,-0.020140731880838196,-0.03812127016238938,-0.01155918653341061,-0.02953972481496179,-0.020140731880838196
