x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,0.0,-0.0020470456889687405,-0.0037049547212397727,-1.643039804689972,1.6704865638663025,-2.2386953181987357,2.28996055799926,-1.643039804689972,1.6704865638663025
2,R2,'23-R2,Stor Bane,Stor bane 1,-0.0020470456889687405,-0.975085456984881,-3.3004807417580273,-1.1415972025703325,1.1506388136041323,-2.1530802779335834,2.196273765759593,-1.1415972025703325,1.1506388136041323
3,R3,'23-R3,Stor Bane,Stor bane 1,-0.975085456984881,-0.3861113939607197,0.8963267845260248,-1.966225442652747,0.026075141228254495,-2.6888778933559676,0.7688893927771723,-1.966225442652747,0.026075141228254495
4,R4,'23-R4,Stor Bane,Stor bane 1,-0.3861113939607197,-0.7907777164483654,-3.140600053529319,-1.2210441459081345,0.455878657734865,-2.742226522153013,2.027081727062252,-1.2210441459081345,0.455878657734865
5,R5,'23-R5,Stor Bane,Stor bane 1,-0.7907777164483654,-0.3685289377759471,-0.34602615454218943,-1.6008703420235415,0.0259841760633428,-1.623508235876936,0.04900164265269069,-1.6008703420235415,0.0259841760633428
6,R6,'23-R6,Stor Bane,Stor bane 1,-0.3685289377759471,,,-0.6711178735932521,-0.06501821504107941,-5.151041732155138,4.655129664064939,-0.6711178735932521,-0.06501821504107941
7,R8,'23-R8,Stor Bane,Stor bane 1,-0.371982716798136,-0.36665178669308407,-0.35940594752563726,-0.8182449402404202,0.07628743614642719,-1.2737143296188358,0.5379849994679553,-0.8182449402404202,0.07628743614642719
8,R9,'23-R9,Stor Bane,Stor bane 1,-0.36665178669308407,-0.4736162054305382,-3.184947024607021,-0.8153919807058374,0.08411863928554641,-2.8013726512491677,2.129056211632241,-0.8153919807058374,0.08411863928554641
9,R10,'23-R10,Stor Bane,Stor bane 1,-0.4736162054305382,,,-1.196601438664513,0.254659409056357,-1.220887596077902,0.27930834930880444,-1.196601438664513,0.254659409056357
10,R11,'23-R11,Stor Bane,Stor bane 1,-0.474638504418301,-0.6847757305896707,-5.216497689938848,-1.2098516953228056,0.2660462688793386,-4.460562929715451,3.6775794852055066,-1.2098516953228056,0.2660462688793386
11,R12,'23-R12,Stor Bane,Stor bane 1,-0.6847757305896707,-1.2841476813697406,-5.614805389667598,-1.4407790478205174,0.07702654700372236,-2.919368076542872,1.6012522400979279,-1.4407790478205174,0.07702654700372236
12,R13,'23-R13,Stor Bane,Stor bane 1,-1.2841476813697406,-2.596484229686702,-3.665594981747178,-2.0246466890413206,-0.5380519724683785,-2.3079637244929674,-0.24960200940347121,-2.0246466890413206,-0.5380519724683785
13,R14,'23-R14,Stor Bane,Stor bane 1,-2.596484229686702,-2.7217686341484915,-26.39206384970143,-3.1499153240998057,-2.0398906602247746,-10.946198173571942,6.536101658066773,-3.1499153240998057,-2.0398906602247746
14,R15,'23-R15,Stor Bane,Stor bane 1,-2.7217686341484915,-2.9250749311306445,-5.536839903909518,-3.3163925496342173,-2.1234876602410524,-5.147828199902616,-0.23365708893109405,-3.3163925496342173,-2.1234876602410524
15,R16,'23-R16,Stor Bane,Stor bane 1,-2.9250749311306445,-3.089031810059284,-3.9748045932549214,-3.541733834522831,-2.304473719647615,-4.578230675649819,-1.2432787208667362,-3.541733834522831,-2.304473719647615
16,R17,'23-R17,Stor Bane,Stor bane 1,-3.089031810059284,-2.7172307250245553,-1.155580649822452,-3.6769300384087655,-2.497545403643686,-4.49609410812053,-1.661239215240673,-3.6769300384087655,-2.497545403643686
17,R1,'24-R1,Stor Bane,Stor bane 1,-2.7172307250245553,-3.5630947680627245,-7.28665579479334,-4.1114533281151555,-1.3027360797095655,-5.96971549362062,0.6477567040226839,-4.1114533281151555,-1.3027360797095655
18,R2,'24-R2,Stor Bane,Stor bane 1,-3.5630947680627245,-2.2917726401087357,-2.2599566810244553,-4.80529101243834,-2.3046890985420343,-4.819560398899291,-2.2900426842943467,-4.80529101243834,-2.3046890985420343
19,R3,'24-R3,Stor Bane,Stor bane 1,-2.2917726401087357,-2.3335893221299364,-4.497041394584588,-2.5917517094499964,-1.9908697532918351,-4.514268417829248,-0.017546751510510994,-2.5917517094499964,-1.9908697532918351
20,R4,'24-R4,Stor Bane,Stor bane 1,-2.3335893221299364,-2.164861974485255,-0.5589109843648021,-2.7065267999251574,-1.9592223305372358,-3.5297113818949954,-1.1226367067362908,-2.7065267999251574,-1.9592223305372358
21,R5,'24-R5,Stor Bane,Stor bane 1,-2.164861974485255,-2.4534248646691403,-4.879891872582965,-2.585927660481402,-1.7419762607696399,-3.475712954450305,-0.8362089434067355,-2.585927660481402,-1.7419762607696399
